layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,2.339046295674052e-05,2.3390448404825293e-05,2.339043203392066e-05,2.339041566301603e-05,2.33904011111008e-05,2.339038474019617e-05,2.3390372007270344e-05,2.3390357455355115e-05,2.3390341084450483e-05,2.339032471354585e-05,2.3390311980620027e-05,2.3390297428704798e-05,2.3390281057800166e-05,2.3390264686895534e-05,2.3390248315990902e-05,2.3390233764075674e-05,2.3390219212160446e-05,2.3390204660245217e-05,2.3390188289340585e-05,2.3390173737425357e-05
encoder.layers.0.self_connection.bias,8.185221304302104e-06,8.1852194853127e-06,8.185218575817998e-06,8.185217666323297e-06,8.185214937839191e-06,8.18521402834449e-06,8.185212209355086e-06,8.185211299860384e-06,8.18520948087098e-06,8.185207661881577e-06,8.185205842892174e-06,8.18520402390277e-06,8.185202204913367e-06,8.185201295418665e-06,8.185199476429261e-06,8.18519856693456e-06,8.185196747945156e-06,8.185195838450454e-06,8.18519401946105e-06,8.185192200471647e-06
encoder.layers.0.scale_self_conn.weight,5.393568699219031e-06,5.3935677897243295e-06,5.393566880229628e-06,5.393565970734926e-06,5.393564606492873e-06,5.3935636969981715e-06,5.39356278750347e-06,5.393561878008768e-06,5.393560968514066e-06,5.393560059019364e-06,5.393558694777312e-06,5.39355778528261e-06,5.393556875787908e-06,5.3935555115458556e-06,5.393554602051154e-06,5.393553692556452e-06,5.393552328314399e-06,5.3935514188196976e-06,5.393550964072347e-06,5.393549145082943e-06
encoder.layers.0.scale_self_conn.bias,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07,4.778872835231596e-07
encoder.layers.0.forward_edge.weight,2.4494849640177563e-05,2.4494835088262334e-05,2.4494820536347106e-05,2.4494804165442474e-05,2.449478597554844e-05,2.449477142363321e-05,2.449475505272858e-05,2.449474050081335e-05,2.4494724129908718e-05,2.4494707759004086e-05,2.4494691388099454e-05,2.4494676836184226e-05,2.4494662284268998e-05,2.4494644094374962e-05,2.4494625904480927e-05,2.4494613171555102e-05,2.449459680065047e-05,2.4494580429745838e-05,2.449456587783061e-05,2.4494549506925978e-05
encoder.layers.0.forward_edge.bias,7.430284767906414e-06,7.430281129927607e-06,7.430278856190853e-06,7.430276582454098e-06,7.430274763464695e-06,7.4302720349805895e-06,7.430269761243835e-06,7.430266578012379e-06,7.4302638495282736e-06,7.430262485286221e-06,7.430259756802116e-06,7.43025702831801e-06,7.430253845086554e-06,7.4302515713498e-06,7.430248842865694e-06,7.430247023876291e-06,7.430244750139536e-06,7.430242021655431e-06,7.430238383676624e-06,7.43023656468722e-06
encoder.layers.0.scale_forward.weight,6.597288120246958e-06,6.5972858465102036e-06,6.597284482268151e-06,6.597283118026098e-06,6.597281299036695e-06,6.597279934794642e-06,6.5972781158052385e-06,6.597276296815835e-06,6.597274932573782e-06,6.597273113584379e-06,6.597271294594975e-06,6.597269475605572e-06,6.597267656616168e-06,6.5972662923741154e-06,6.597264473384712e-06,6.597263109142659e-06,6.597261290153256e-06,6.597259925911203e-06,6.5972581069217995e-06,6.597256287932396e-06
encoder.layers.0.scale_forward.bias,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07,7.553580871899612e-07
encoder.layers.0.back_edge.weight,2.429851701890584e-05,2.429850064800121e-05,2.4298482458107173e-05,2.4298467906191945e-05,2.4298451535287313e-05,2.429843516438268e-05,2.4298416974488646e-05,2.4298402422573417e-05,2.4298386051668786e-05,2.4298369680764154e-05,2.4298355128848925e-05,2.4298338757944293e-05,2.429832238703966e-05,2.429830601613503e-05,2.4298289645230398e-05,2.4298273274325766e-05,2.4298258722410537e-05,2.4298242351505905e-05,2.4298225980601273e-05,2.4298211428686045e-05
encoder.layers.0.back_edge.bias,8.524277291144244e-06,8.52427547215484e-06,8.524273653165437e-06,8.524271834176034e-06,8.524270924681332e-06,8.524269105691928e-06,8.524267286702525e-06,8.524266377207823e-06,8.52426455821842e-06,8.524262739229016e-06,8.524261829734314e-06,8.52426001074491e-06,8.524258191755507e-06,8.524257282260805e-06,8.524255463271402e-06,8.5242545537767e-06,8.524252734787297e-06,8.524250915797893e-06,8.52424909680849e-06,8.524248187313788e-06
encoder.layers.0.scale_back.weight,5.609823347185738e-06,5.609821528196335e-06,5.609820163954282e-06,5.6098187997122295e-06,5.609817435470177e-06,5.609816525975475e-06,5.6098151617334224e-06,5.60981379749137e-06,5.609812433249317e-06,5.6098110690072645e-06,5.609809250017861e-06,5.609808340523159e-06,5.6098069762811065e-06,5.609805612039054e-06,5.609804247797001e-06,5.6098028835549485e-06,5.609801519312896e-06,5.609799700323492e-06,5.6097987908287905e-06,5.609797426586738e-06
encoder.layers.0.scale_back.bias,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06,1.553564970890875e-06
encoder.layers.1.self_connection.weight,2.058304198726546e-05,2.0583032892318442e-05,2.0583023797371425e-05,2.0583014702424407e-05,2.0583003788487986e-05,2.0582992874551564e-05,2.0582981960615143e-05,2.0582972865668125e-05,2.0582961951731704e-05,2.0582951037795283e-05,2.058294012385886e-05,2.0582931028911844e-05,2.0582921933964826e-05,2.0582911020028405e-05,2.058289828710258e-05,2.0582889192155562e-05,2.0582880097208545e-05,2.0582869183272123e-05,2.0582858269335702e-05,2.0582850993378088e-05
