epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,14.735251426696777,26.495410680770874,108.42711186408997
1,18.528533935546875,26.680691480636597,108.92435002326965
2,21.930133819580078,23.800220489501953,104.95182180404663
3,16.796953201293945,23.688493728637695,105.14490985870361
4,18.58368492126465,23.608745336532593,104.46831512451172
5,17.14664077758789,23.842721223831177,105.83852314949036
6,19.172090530395508,23.99381685256958,105.15599513053894
7,18.460189819335938,23.58395791053772,105.6843512058258
8,19.725549697875977,23.814436197280884,104.82523226737976
9,21.469419479370117,23.637274503707886,104.65451455116272
10,17.438190460205078,24.36402153968811,106.07333254814148
