epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,18.74081802368164,27.151395797729492,88.29912042617798
1,19.565460205078125,28.08668851852417,89.58484816551208
2,14.367521286010742,27.508694410324097,88.68493175506592
3,18.191129684448242,26.990421056747437,88.0457398891449
4,17.31300926208496,27.05768656730652,88.30471539497375
5,16.81289291381836,26.712421655654907,88.1997880935669
6,18.23992347717285,27.75130796432495,88.74736976623535
7,17.560470581054688,27.217454195022583,88.51680636405945
8,18.251296997070312,27.47394633293152,88.86561560630798
9,17.241748809814453,27.14384889602661,88.50769376754761
10,15.262150764465332,26.87810707092285,88.24863123893738
