epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,22.786569595336914,26.67778778076172,108.06777048110962
1,21.813968658447266,25.84017848968506,108.11583757400513
2,19.600223541259766,26.51002788543701,107.79223442077637
3,21.00753402709961,26.039914846420288,107.10773038864136
4,23.766942977905273,26.094420909881592,107.54076433181763
5,18.61897087097168,26.27873682975769,107.09119200706482
6,21.780153274536133,26.796727895736694,108.30829811096191
7,24.844491958618164,25.929465770721436,107.20099449157715
8,23.724424362182617,26.16199231147766,107.72588872909546
9,22.482425689697266,26.718626737594604,108.54509925842285
10,23.888498306274414,26.519423961639404,108.80972146987915
