layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.259657751186751e-05,3.2594743970548734e-05,3.2592903153272346e-05,3.259106233599596e-05,3.258922879467718e-05,3.258739525335841e-05,3.25855435221456e-05,3.258371361880563e-05,3.258186552557163e-05,3.2580031984252855e-05,3.257818389101885e-05,3.257635034970008e-05,3.257450589444488e-05,3.257266143918969e-05,3.25708206219133e-05,3.256896525272168e-05,3.2567124435445294e-05,3.25652799801901e-05,3.256343916291371e-05,3.256159106967971e-05
encoder.layers.0.self_connection.bias,8.718981916899793e-06,8.718833669263404e-06,8.718686331121717e-06,8.71853899298003e-06,8.71839074534364e-06,8.718243407201953e-06,8.718095159565564e-06,8.717947821423877e-06,8.71780048328219e-06,8.717653145140503e-06,8.717505806998815e-06,8.717357559362426e-06,8.71721022122074e-06,8.71706197358435e-06,8.716914635442663e-06,8.716766387806274e-06,8.716619049664587e-06,8.7164717115229e-06,8.716324373381212e-06,8.716176125744823e-06
encoder.layers.0.scale_self_conn.weight,6.598009804292815e-06,6.5978997554339e-06,6.597788797080284e-06,6.597677838726668e-06,6.5975664256257005e-06,6.597455012524733e-06,6.597343599423766e-06,6.597231731575448e-06,6.59711986372713e-06,6.597007995878812e-06,6.596896128030494e-06,6.596783805434825e-06,6.596671482839156e-06,6.596559160243487e-06,6.596446837647818e-06,6.596334060304798e-06,6.596221282961778e-06,6.5961085056187585e-06,6.595995273528388e-06,6.595882496185368e-06
encoder.layers.0.scale_self_conn.bias,2.9046580038993852e-06,2.904645043599885e-06,2.9046320833003847e-06,2.9046186682535335e-06,2.9046052532066824e-06,2.9045913834124804e-06,2.9045777409919538e-06,2.9045638711977517e-06,2.9045497740298742e-06,2.9045356768619968e-06,2.904521352320444e-06,2.9045072551525664e-06,2.9044929306110134e-06,2.9044781513221096e-06,2.9044635994068813e-06,2.904449047491653e-06,2.9044344955764245e-06,2.9044197162875207e-06,2.904404936998617e-06,2.9043899303360377e-06
encoder.layers.0.forward_edge.weight,3.290327367722057e-05,3.290181848569773e-05,3.290035601821728e-05,3.289890810265206e-05,3.289743108325638e-05,3.289597589173354e-05,3.289450614829548e-05,3.2893032766878605e-05,3.2891570299398154e-05,3.2890104193938896e-05,3.2888641726458445e-05,3.2887164707062766e-05,3.28856949636247e-05,3.288421794422902e-05,3.2882751838769764e-05,3.288127118139528e-05,3.287979052402079e-05,3.2878320780582726e-05,3.287684012320824e-05,3.287537401774898e-05
encoder.layers.0.forward_edge.bias,8.640758096589707e-06,8.640608029963914e-06,8.640458872832824e-06,8.640308806207031e-06,8.640160558570642e-06,8.640011401439551e-06,8.63986224430846e-06,8.639713996672072e-06,8.63956483954098e-06,8.639416591904592e-06,8.639267434773501e-06,8.639120096631814e-06,8.638970939500723e-06,8.638821782369632e-06,8.638673534733243e-06,8.638525287096854e-06,8.638377039460465e-06,8.638228791824076e-06,8.638080544187687e-06,8.637932296551298e-06
encoder.layers.0.scale_forward.weight,8.996887117973529e-06,8.996494216262363e-06,8.996100405056495e-06,8.995706593850628e-06,8.99531278264476e-06,8.99491806194419e-06,8.994521522254217e-06,8.994125892058946e-06,8.993729352368973e-06,8.993332812679e-06,8.992934453999624e-06,8.99253791430965e-06,8.992138646135572e-06,8.991741196950898e-06,8.99134192877682e-06,8.990942660602741e-06,8.990543392428663e-06,8.990143214759883e-06,8.989743037091102e-06,8.98934194992762e-06
encoder.layers.0.scale_forward.bias,2.362206259931554e-06,2.3621946638741065e-06,2.362183067816659e-06,2.362171244385536e-06,2.3621596483280882e-06,2.3621475975232897e-06,2.3621357740921667e-06,2.362123723287368e-06,2.3621116724825697e-06,2.362099621677771e-06,2.3620873434992973e-06,2.3620750653208233e-06,2.3620627871423494e-06,2.3620505089638755e-06,2.3620382307854015e-06,2.362025725233252e-06,2.3620134470547782e-06,2.362000941502629e-06,2.3619884359504795e-06,2.36197593039833e-06
encoder.layers.0.back_edge.weight,3.148768519167788e-05,3.14860008074902e-05,3.14843091473449e-05,3.14826138492208e-05,3.1480929465033114e-05,3.1479226890951395e-05,3.14775352308061e-05,3.1475836294703186e-05,3.147414099657908e-05,3.147244206047617e-05,3.1470746762352064e-05,3.146904055029154e-05,3.1467345252167434e-05,3.1465642678085715e-05,3.14639437419828e-05,3.1462241167901084e-05,3.1460538593819365e-05,3.145882874378003e-05,3.14571188937407e-05,3.145541268168017e-05
encoder.layers.0.back_edge.bias,9.249954018741846e-06,9.249829417967703e-06,9.249706636182964e-06,9.249582944903523e-06,9.24945834412938e-06,9.249334652849939e-06,9.249210961570498e-06,9.249087270291056e-06,9.248962669516914e-06,9.248838978237472e-06,9.248715286958031e-06,9.248589776689187e-06,9.248466085409746e-06,9.248342394130304e-06,9.24821688386146e-06,9.248092283087317e-06,9.247968591807876e-06,9.247843081539031e-06,9.247718480764888e-06,9.247593879990745e-06
encoder.layers.0.scale_back.weight,7.287805601663422e-06,7.2873140197771136e-06,7.286822437890805e-06,7.286329946509795e-06,7.285837000381434e-06,7.285342690011021e-06,7.284849289135309e-06,7.2843545240175445e-06,7.283859304152429e-06,7.283364084287314e-06,7.282867954927497e-06,7.2823718255676795e-06,7.2818747867131606e-06,7.281377747858642e-06,7.280880254256772e-06,7.280382305907551e-06,7.2798843575583305e-06,7.27938640920911e-06,7.278887551365187e-06,7.278388238773914e-06
