layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,5.286887608235702e-05,5.28595301148016e-05,5.285018414724618e-05,5.2840834541711956e-05,5.283148857415654e-05,5.2822135330643505e-05,5.2812789363088086e-05,5.2803432481596246e-05,5.2794079238083214e-05,5.278472963254899e-05,5.277537275105715e-05,5.276601586956531e-05,5.275665898807347e-05,5.274729846860282e-05,5.2737937949132174e-05,5.272857742966153e-05,5.271922054816969e-05,5.270985639072023e-05,5.270049223327078e-05,5.2691128075821325e-05
encoder.layers.0.self_connection.bias,9.007722837850451e-06,9.007266271510161e-06,9.006809705169871e-06,9.006354048324283e-06,9.005896572489291e-06,9.005440006149001e-06,9.00498253031401e-06,9.004525054479018e-06,9.004068488138728e-06,9.003611012303736e-06,9.003152626974043e-06,9.00269515113905e-06,9.002235856314655e-06,9.001777470984962e-06,9.001319085655268e-06,9.000859790830873e-06,9.000400496006478e-06,8.999942110676784e-06,8.999481906357687e-06,8.999022611533292e-06
encoder.layers.0.scale_self_conn.weight,1.5178771718638018e-05,1.5177791283349507e-05,1.5176809938566294e-05,1.517582859378308e-05,1.5174846339505166e-05,1.5173864085227251e-05,1.5172881830949336e-05,1.517189866717672e-05,1.5170914593909401e-05,1.5169931430136785e-05,1.5168946447374765e-05,1.5167961464612745e-05,1.5166975572356023e-05,1.5165990589594003e-05,1.516500378784258e-05,1.5164016986091156e-05,1.516302927484503e-05,1.5162042473093607e-05,1.5161055671342183e-05,1.5160066141106654e-05
encoder.layers.0.scale_self_conn.bias,4.057200385432225e-06,4.0571612771600485e-06,4.057122168887872e-06,4.057083515363047e-06,4.057044407090871e-06,4.0570052988186944e-06,4.056966190546518e-06,4.056927082274342e-06,4.056887974002166e-06,4.0568488657299895e-06,4.056809302710462e-06,4.056770194438286e-06,4.056730631418759e-06,4.056691523146583e-06,4.056651960127056e-06,4.056612851854879e-06,4.056573288835352e-06,4.056534180563176e-06,4.056494617543649e-06,4.056455509271473e-06
encoder.layers.0.forward_edge.weight,3.140492844977416e-05,3.1395142286783084e-05,3.1385359761770815e-05,3.1375577236758545e-05,3.136579834972508e-05,3.135602310067043e-05,3.1346255127573386e-05,3.133648351649754e-05,3.132671190542169e-05,3.1316947570303455e-05,3.130718323518522e-05,3.12974261760246e-05,3.128766911686398e-05,3.127791569568217e-05,3.1268162274500355e-05,3.125841249129735e-05,3.1248662708094344e-05,3.123892020084895e-05,3.122918133158237e-05,3.1219438824336976e-05
encoder.layers.0.forward_edge.bias,8.066995178523939e-06,8.066654118010774e-06,8.06631305749761e-06,8.065971996984445e-06,8.065630026976578e-06,8.065288056968711e-06,8.064946086960845e-06,8.064604116952978e-06,8.064262146945111e-06,8.063920176937245e-06,8.06357911642408e-06,8.063236236921512e-06,8.062894266913645e-06,8.062551387411077e-06,8.062207598413806e-06,8.061864718911238e-06,8.061520929913968e-06,8.0611780504114e-06,8.060835170908831e-06,8.060491381911561e-06
encoder.layers.0.scale_forward.weight,8.888293450581841e-06,8.886463547241874e-06,8.884632734407205e-06,8.882801921572536e-06,8.880972018232569e-06,8.8791412053979e-06,8.87730948306853e-06,8.875476851244457e-06,8.873646038409788e-06,8.87181522557512e-06,8.86998441274045e-06,8.868151780916378e-06,8.866320058587007e-06,8.864489245752338e-06,8.862656613928266e-06,8.860824891598895e-06,8.858993169269525e-06,8.857161446940154e-06,8.855328815116081e-06,8.853496183292009e-06
encoder.layers.0.scale_forward.bias,1.801471285034495e-06,1.8014400211541215e-06,1.801408757273748e-06,1.8013774933933746e-06,1.8013462295130012e-06,1.80131485194579e-06,1.8012833606917411e-06,1.80125198312453e-06,1.801220491870481e-06,1.8011892279901076e-06,1.801157623049221e-06,1.8011262454820098e-06,1.8010948679147987e-06,1.801063262973912e-06,1.8010316580330255e-06,1.8010000530921388e-06,1.8009684481512522e-06,1.8009368432103656e-06,1.800905238269479e-06,1.8008736333285924e-06
encoder.layers.0.back_edge.weight,3.207385088899173e-05,3.20633189403452e-05,3.205279426765628e-05,3.204226595698856e-05,3.203174128429964e-05,3.202122752554715e-05,3.201071376679465e-05,3.200019637006335e-05,3.198968988726847e-05,3.197917976649478e-05,3.196867692167871e-05,3.195817407686263e-05,3.1947674870025367e-05,3.1937182939145714e-05,3.192669100826606e-05,3.191619907738641e-05,3.190571442246437e-05,3.189522976754233e-05,3.1884745112620294e-05,3.187427137163468e-05
encoder.layers.0.back_edge.bias,7.152335911086993e-06,7.15192891220795e-06,7.151521003834205e-06,7.1511135502078105e-06,7.1507047323393635e-06,7.150296823965618e-06,7.149888460844522e-06,7.1494791882287245e-06,7.1490708251076285e-06,7.148661552491831e-06,7.148253189370735e-06,7.147843462007586e-06,7.147434644139139e-06,7.147024462028639e-06,7.1466156441601925e-06,7.146205916797044e-06,7.145795734686544e-06,7.1453860073233955e-06,7.144975370465545e-06,7.144565188355045e-06
encoder.layers.0.scale_back.weight,8.344041816599201e-06,8.34265119920019e-06,8.341259672306478e-06,8.339868145412765e-06,8.338475709024351e-06,8.337083272635937e-06,8.335690836247522e-06,8.334296580869704e-06,8.332903234986588e-06,8.33150897960877e-06,8.33011381473625e-06,8.328718649863731e-06,8.327323484991211e-06,8.325928320118692e-06,8.324531336256769e-06,8.323135261889547e-06,8.321738278027624e-06,8.3203412941657e-06,8.318943400809076e-06,8.317544597957749e-06
encoder.layers.0.scale_back.bias,1.9083594793301017e-07,1.9083300628608413e-07,1.9083006463915808e-07,1.908270803596679e-07,1.908240960801777e-07,1.908211118006875e-07,1.9081809909948788e-07,1.908151148199977e-07,1.9081211632965278e-07,1.9080908941759844e-07,1.9080607671639882e-07,1.908030640151992e-07,1.9080003710314486e-07,1.907969959802358e-07,1.9079394064647204e-07,1.9079092794527241e-07,1.9078788682236336e-07,1.907848314885996e-07,1.9078177615483582e-07,1.9077870661021734e-07
encoder.layers.1.self_connection.weight,4.6472225221805274e-05,4.646780507755466e-05,4.646337765734643e-05,4.6458953875117004e-05,4.645453009288758e-05,4.645009903470054e-05,4.644567525247112e-05,4.644124783226289e-05,4.643680949811824e-05,4.64323784399312e-05,4.642794738174416e-05,4.6423512685578316e-05,4.6419074351433665e-05,4.641463601728901e-05,4.641020132112317e-05,4.6405762986978516e-05,4.640132101485506e-05,4.63968790427316e-05,4.639243707060814e-05,4.638799146050587e-05
encoder.layers.1.self_connection.bias,5.413793587649707e-06,5.413623512140475e-06,5.413453436631244e-06,5.413284270616714e-06,5.413114195107482e-06,5.412944119598251e-06,5.412773589341668e-06,5.412603513832437e-06,5.4124329835758545e-06,5.412261998571921e-06,5.412091468315339e-06,5.411921392806107e-06,5.411750407802174e-06,5.4115798775455914e-06,5.411408892541658e-06,5.411237452790374e-06,5.411066467786441e-06,5.4108950280351564e-06,5.410724043031223e-06,5.410552603279939e-06
encoder.layers.1.scale_self_conn.weight,1.0344392649130896e-05,1.03433685580967e-05,1.0342344467062503e-05,1.0341321285523009e-05,1.0340299013478216e-05,1.0339276741433423e-05,1.0338252650399227e-05,1.0337232197343837e-05,1.0336209925299045e-05,1.0335187653254252e-05,1.0334168109693564e-05,1.0333147656638175e-05,1.0332127203582786e-05,1.0331106750527397e-05,1.033008720696671e-05,1.0329067663406022e-05,1.0328049029340036e-05,1.032703039527405e-05,1.0326011761208065e-05,1.0324994036636781e-05
encoder.layers.1.scale_self_conn.bias,2.060978886220255e-06,2.06093523047457e-06,2.06089180210256e-06,2.0608483737305505e-06,2.0608047179848654e-06,2.060760834865505e-06,2.0607171791198198e-06,2.0606735233741347e-06,2.0606298676284496e-06,2.060585984509089e-06,2.060542328763404e-06,2.060498673017719e-06,2.0604550172720337e-06,2.0604106794053223e-06,2.0603667962859618e-06,2.060322913166601e-06,2.060279257420916e-06,2.06023514692788e-06,2.060191036434844e-06,2.060147380689159e-06
encoder.layers.1.forward_edge.weight,3.23283820762299e-05,3.232343078707345e-05,3.2318483135895804e-05,3.231353184673935e-05,3.23085805575829e-05,3.230362563044764e-05,3.229867434129119e-05,3.229372305213474e-05,3.228876812499948e-05,3.228381683584303e-05,3.2278865546686575e-05,3.227390698157251e-05,3.226895569241606e-05,3.22640007652808e-05,3.225904583814554e-05,3.225409091101028e-05,3.224913598387502e-05,3.224418105673976e-05,3.2239226129604504e-05,3.223427484044805e-05
encoder.layers.1.forward_edge.bias,4.352834821474971e-06,4.352683845354477e-06,4.352533778728684e-06,4.35238280260819e-06,4.352232281235047e-06,4.352081305114552e-06,4.351930328994058e-06,4.351778898126213e-06,4.3516279220057186e-06,4.351476945885224e-06,4.35132596976473e-06,4.351174538896885e-06,4.35102310802904e-06,4.350871677161194e-06,4.350720246293349e-06,4.350568815425504e-06,4.350416475062957e-06,4.350265044195112e-06,4.350113158579916e-06,4.34996127296472e-06
encoder.layers.1.scale_forward.weight,8.997052646009251e-06,8.995854841487017e-06,8.994658855954185e-06,8.993460141937248e-06,8.992263246909715e-06,8.99106544238748e-06,8.989868547359947e-06,8.988670742837712e-06,8.987473847810179e-06,8.986276952782646e-06,8.985079148260411e-06,8.983882253232878e-06,8.982684448710643e-06,8.981488463177811e-06,8.980291568150278e-06,8.979092854133341e-06,8.97789686860051e-06,8.976699973572977e-06,8.975503078545444e-06,8.974305274023209e-06
encoder.layers.1.scale_forward.bias,1.073977387022751e-06,1.0739552180893952e-06,1.073933276529715e-06,1.0739111075963592e-06,1.0738890523498412e-06,1.073867110790161e-06,1.073845055543643e-06,1.073823000297125e-06,1.0738007176769315e-06,1.0737785487435758e-06,1.0737566071838955e-06,1.0737344382505398e-06,1.0737122693171841e-06,1.0736901003838284e-06,1.0736679314504727e-06,1.0736456488302792e-06,1.0736233662100858e-06,1.0736013109635678e-06,1.073579142030212e-06,1.0735568594100187e-06
encoder.layers.1.back_edge.weight,3.111790647380985e-05,3.111317346338183e-05,3.11084404529538e-05,3.110370380454697e-05,3.1098967156140134e-05,3.109423414571211e-05,3.1089497497305274e-05,3.108476084889844e-05,3.1080027838470414e-05,3.107529119006358e-05,3.1070558179635555e-05,3.1065817893249914e-05,3.106108124484308e-05,3.1056348234415054e-05,3.105161158600822e-05,3.104687493760139e-05,3.104214192717336e-05,3.103740164078772e-05,3.103266499238089e-05,3.102793198195286e-05
encoder.layers.1.back_edge.bias,5.014877388020977e-06,5.014707767259097e-06,5.014538146497216e-06,5.014368980482686e-06,5.014199359720806e-06,5.014030193706276e-06,5.013860118197044e-06,5.013690497435164e-06,5.013520421925932e-06,5.0133508011640515e-06,5.01318072565482e-06,5.0130101953982376e-06,5.012840119889006e-06,5.0126700443797745e-06,5.012499059375841e-06,5.012328529119259e-06,5.012157998862676e-06,5.011987013858743e-06,5.01181602885481e-06,5.011645498598227e-06
encoder.layers.1.scale_back.weight,9.290062735090032e-06,9.288818546338007e-06,9.287575267080683e-06,9.286331078328658e-06,9.28508598008193e-06,9.283841791329905e-06,9.282596693083178e-06,9.281351594836451e-06,9.280106496589724e-06,9.278860488848295e-06,9.277615390601568e-06,9.27637029235484e-06,9.27512337511871e-06,9.273877367377281e-06,9.27263045014115e-06,9.27138353290502e-06,9.270136615668889e-06,9.268889698432758e-06,9.267641871701926e-06,9.266394044971094e-06
encoder.layers.1.scale_back.bias,2.367409024373046e-06,2.3673644591326592e-06,2.3673194391449215e-06,2.367274646530859e-06,2.3672296265431214e-06,2.367184833929059e-06,2.3671398139413213e-06,2.3670947939535836e-06,2.367049773965846e-06,2.3670045266044326e-06,2.3669597339903703e-06,2.3669151687499834e-06,2.3668696940148948e-06,2.3668244466534816e-06,2.366779426665744e-06,2.3667341793043306e-06,2.366689159316593e-06,2.3666439119551796e-06,2.366598891967442e-06,2.3665534172323532e-06
decoder.layers.0.self_connection.weight,0.0003189373528584838,0.0005009769229218364,7.561112579423934e-05,0.0005453453049995005,0.0001244261220563203,6.914933328516781e-05,0.00023460823285859078,0.00023920592502690852,0.00010539928916841745,8.285415242426097e-05,0.0002500596165191382,7.855799776734784e-05,5.432147372630425e-05,6.256743654375896e-05,8.73995159054175e-05,8.431764581473544e-05,6.875038525322452e-05,0.00011451434693299234,0.00015697894559707493,0.00011577821715036407
decoder.layers.0.self_connection.bias,1.6590889572398737e-05,2.4703036615392193e-05,6.918263352417853e-06,2.7740354198613204e-05,8.230262210418005e-06,7.496400485251797e-06,1.2089717529306654e-05,1.337941375822993e-05,8.720866389921866e-06,7.668742000532802e-06,1.3439328540698625e-05,7.3021619755309075e-06,6.2756671468378045e-06,7.130483936634846e-06,7.102503786882153e-06,5.979105935693951e-06,6.341031166812172e-06,8.211435670091305e-06,9.308884727943223e-06,8.972904652182478e-06
decoder.layers.0.scale_self_conn.weight,9.990090802602936e-06,8.608252755948342e-06,6.304554972302867e-06,1.3783909707854036e-05,6.1011510297248606e-06,6.616398877667962e-06,8.68937058839947e-06,1.0062744877359364e-05,6.15309591012192e-06,6.279644821916008e-06,1.0624527021718677e-05,6.27395638730377e-06,6.98105213814415e-06,7.309654392884113e-06,6.3155162024486344e-06,7.138967703212984e-06,6.51501568427193e-06,8.366406291315798e-06,6.177414434205275e-06,7.5090365498908795e-06
