rec_epoch,batch,class_loss,cont_loss,loss
0,0,0.20647816359996796,0.20131386816501617,0.40779203176498413
1,0,0.1968538612127304,0.17223842442035675,0.36909228563308716
2,0,0.17727617919445038,0.06221934035420418,0.23949551582336426
3,0,0.1673339456319809,0.03352869674563408,0.20086264610290527
4,0,0.13905946910381317,0.028672246262431145,0.16773171722888947
5,0,0.11291245371103287,0.021633988246321678,0.1345464438199997
6,0,0.1034921407699585,0.01774236559867859,0.12123450636863708
7,0,0.08320588618516922,0.011845202185213566,0.09505108743906021
8,0,0.05076746270060539,0.0017277852166444063,0.05249524861574173
9,0,0.03996932879090309,0.001023153425194323,0.040992483496665955
10,0,0.037548016756772995,0.0010686310706660151,0.03861664608120918
11,0,0.03544377163052559,0.0020144532900303602,0.03745822608470917
12,0,0.030901024118065834,0.002297054510563612,0.033198077231645584
13,0,0.027733495458960533,0.002914821496233344,0.03064831718802452
14,0,0.022013401612639427,0.001937643508426845,0.02395104430615902
15,0,0.014841660857200623,0.0013146226992830634,0.016156284138560295
16,0,0.00880083441734314,0.0015840085688978434,0.01038484275341034
17,0,0.003563722362741828,0.0014534530928358436,0.00501717533916235
18,0,0.001975020859390497,0.0009992478881031275,0.0029742687474936247
19,0,0.0010960979852825403,0.0007246179156936705,0.00182071584276855
20,0,0.0007418422610498965,0.0006733223563060164,0.0014151646755635738
21,0,0.0004015397862531245,0.0004897877806797624,0.0008913275669328868
22,0,0.00028419398586265743,0.0005976756801828742,0.0008818696951493621
23,0,0.00018250370339956135,0.0006446191109716892,0.0008271228289231658
24,0,0.0001456751924706623,0.00047520591760985553,0.0006208810955286026
