rec_epoch,batch,class_loss,cont_loss,loss
0,0,0.20626254379749298,0.2306784987449646,0.4369410276412964
1,0,0.19486771523952484,0.18023575842380524,0.3751034736633301
2,0,0.18606823682785034,0.03294751048088074,0.21901574730873108
3,0,0.17504754662513733,0.013863597996532917,0.18891113996505737
4,0,0.15699802339076996,0.010691666975617409,0.16768969595432281
5,0,0.11983106285333633,0.006953700445592403,0.12678475677967072
6,0,0.10665412992238998,0.006543174851685762,0.11319730430841446
7,0,0.1008736714720726,0.006009137723594904,0.10688281059265137
8,0,0.08301714062690735,0.0037345965392887592,0.08675173670053482
9,0,0.04434141516685486,0.0013554556062445045,0.04569686949253082
