epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,16.552501678466797,26.786421537399292,127.84567737579346
1,17.81517791748047,16.25686526298523,117.7964997291565
2,18.85881996154785,26.942478895187378,127.4387035369873
3,14.819377899169922,16.081474781036377,116.881676197052
4,18.33879280090332,27.93156123161316,129.5546474456787
5,17.226850509643555,15.894945859909058,116.94449496269226
6,17.260814666748047,27.098464012145996,127.97974348068237
7,18.907928466796875,15.942458629608154,116.44225287437439
8,21.171606063842773,27.233409643173218,128.55547904968262
9,17.963092803955078,16.006996870040894,116.74666023254395
10,17.72048568725586,27.410560846328735,128.3102524280548
