layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.6202392948325723e-05,3.6200639442540705e-05,3.6198875022819266e-05,3.619711787905544e-05,3.619535709731281e-05,3.6193596315570176e-05,3.619183553382754e-05,3.6190071114106104e-05,3.6188306694384664e-05,3.6186542274663225e-05,3.618477421696298e-05,3.618300615926273e-05,3.6181238101562485e-05,3.6179473681841046e-05,3.61777056241408e-05,3.6175933928461745e-05,3.6174158594803885e-05,3.617239053710364e-05,3.6170618841424584e-05,3.6168843507766724e-05
encoder.layers.0.self_connection.bias,8.371555850317236e-06,8.37146035337355e-06,8.371365765924565e-06,8.37127026898088e-06,8.371174772037193e-06,8.371077456104103e-06,8.370981049665716e-06,8.370882824237924e-06,8.370785508304834e-06,8.370687282877043e-06,8.370589057449251e-06,8.37049083202146e-06,8.370392606593668e-06,8.370292562176473e-06,8.37019342725398e-06,8.370093382836785e-06,8.36999333841959e-06,8.369893294002395e-06,8.3697932495852e-06,8.369693205168005e-06
encoder.layers.0.scale_self_conn.weight,9.101993782678619e-06,9.101569958147593e-06,9.101145224121865e-06,9.100720490096137e-06,9.100294846575707e-06,9.099869203055277e-06,9.099442650040146e-06,9.099015187530313e-06,9.098588634515181e-06,9.098160262510646e-06,9.097733709495515e-06,9.097303518501576e-06,9.096875146497041e-06,9.096446774492506e-06,9.096017492993269e-06,9.095588211494032e-06,9.095158929994795e-06,9.094727829506155e-06,9.094297638512217e-06,9.093866538023576e-06
encoder.layers.0.scale_self_conn.bias,3.990365257777739e-06,3.990341610915493e-06,3.990318418800598e-06,3.990295226685703e-06,3.9902724893181585e-06,3.990248842455912e-06,3.990225195593666e-06,3.990202003478771e-06,3.990178356616525e-06,3.990154255006928e-06,3.990130608144682e-06,3.990106961282436e-06,3.990082859672839e-06,3.990058758063242e-06,3.990034656453645e-06,3.990011009591399e-06,3.989986453234451e-06,3.989962806372205e-06,3.989938704762608e-06,3.989914603153011e-06
encoder.layers.0.forward_edge.weight,3.5028657293878496e-05,3.502667459542863e-05,3.5024691896978766e-05,3.5022701922571287e-05,3.502071194816381e-05,3.501872197375633e-05,3.501672836137004e-05,3.501473838696256e-05,3.5012744774576277e-05,3.501074752421118e-05,3.500875027384609e-05,3.5006756661459804e-05,3.50047557731159e-05,3.500275852275081e-05,3.5000761272385716e-05,3.499875674606301e-05,3.499675585771911e-05,3.49947513313964e-05,3.4992746805073693e-05,3.499073864077218e-05
encoder.layers.0.forward_edge.bias,7.81933431426296e-06,7.81924154580338e-06,7.819150596333202e-06,7.819057827873621e-06,7.81896505941404e-06,7.81887229095446e-06,7.818779522494879e-06,7.818685844540596e-06,7.818592166586313e-06,7.81849848863203e-06,7.818404810677748e-06,7.818311132723466e-06,7.818216545274481e-06,7.818121957825497e-06,7.818028279871214e-06,7.81793369242223e-06,7.817839104973245e-06,7.81774360802956e-06,7.817649020580575e-06,7.817553523636889e-06
encoder.layers.0.scale_forward.weight,8.272804734588135e-06,8.272635568573605e-06,8.272464583569672e-06,8.27229450806044e-06,8.272122613561805e-06,8.271951628557872e-06,8.271778824564535e-06,8.2716069300659e-06,8.271435035567265e-06,8.271262231573928e-06,8.271090337075293e-06,8.270916623587254e-06,8.270742910099216e-06,8.270570106105879e-06,8.270395483123139e-06,8.2702217696351e-06,8.270048056147061e-06,8.269874342659023e-06,8.269699719676282e-06,8.269525096693542e-06
encoder.layers.0.scale_forward.bias,2.248525106551824e-06,2.2485151021101046e-06,2.248505097668385e-06,2.24849486585299e-06,2.2484846340375952e-06,2.248474174848525e-06,2.2484637156594545e-06,2.248453256470384e-06,2.2484425699076382e-06,2.248431655971217e-06,2.2484205146611203e-06,2.2484098280983744e-06,2.2483984594146023e-06,2.2483877728518564e-06,2.2483764041680843e-06,2.248365035484312e-06,2.2483538941742154e-06,2.2483427528641187e-06,2.2483313841803465e-06,2.2483200154965743e-06
encoder.layers.0.back_edge.weight,3.574000584194437e-05,3.573727371986024e-05,3.573453795979731e-05,3.5731802199734375e-05,3.572907007765025e-05,3.57263270416297e-05,3.572358764358796e-05,3.5720844607567415e-05,3.5718105209525675e-05,3.571535853552632e-05,3.5712611861526966e-05,3.570986518752761e-05,3.570711851352826e-05,3.570436456357129e-05,3.570161425159313e-05,3.569886030163616e-05,3.569610635167919e-05,3.569335240172222e-05,3.569059481378645e-05,3.568783722585067e-05
encoder.layers.0.back_edge.bias,7.476915925508365e-06,7.476789050997468e-06,7.476661266991869e-06,7.47653393773362e-06,7.476406608475372e-06,7.476278824469773e-06,7.476150130969472e-06,7.476021892216522e-06,7.475893653463572e-06,7.475764959963271e-06,7.4756362664629705e-06,7.475506663467968e-06,7.475378424715018e-06,7.475248366972664e-06,7.4751196734723635e-06,7.47498961573001e-06,7.474860922229709e-06,7.4747308644873556e-06,7.474601716239704e-06,7.474472113244701e-06
