layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.6131375964032486e-05,3.613048102124594e-05,3.612958244048059e-05,3.612868385971524e-05,3.6127785278949887e-05,3.612688306020573e-05,3.612598811741918e-05,3.6125085898675025e-05,3.612418731790967e-05,3.6123285099165514e-05,3.6122382880421355e-05,3.61214806616772e-05,3.612057480495423e-05,3.611967258621007e-05,3.611877036746591e-05,3.6117868148721755e-05,3.611696229199879e-05,3.611606007325463e-05,3.6115154216531664e-05,3.61142483598087e-05
encoder.layers.0.self_connection.bias,8.367562259081751e-06,8.367511327378452e-06,8.367460395675153e-06,8.367408554477151e-06,8.367358532268554e-06,8.367305781575851e-06,8.367255759367254e-06,8.367203918169253e-06,8.367152076971252e-06,8.367101145267952e-06,8.367049304069951e-06,8.366998372366652e-06,8.36694653116865e-06,8.366895599465352e-06,8.36684375826735e-06,8.36679191706935e-06,8.366740075871348e-06,8.366689144168049e-06,8.366637302970048e-06,8.366584552277345e-06
encoder.layers.0.scale_self_conn.weight,9.084764315048233e-06,9.084546036319807e-06,9.084328667086083e-06,9.084109478862956e-06,9.083892109629232e-06,9.083672921406105e-06,9.08345464267768e-06,9.08323454495985e-06,9.083017175726127e-06,9.082797987503e-06,9.082578799279872e-06,9.082359611056745e-06,9.082139513338916e-06,9.081920325115789e-06,9.08170022739796e-06,9.081481039174832e-06,9.081260941457003e-06,9.081040843739174e-06,9.080820746021345e-06,9.080600648303516e-06
encoder.layers.0.scale_self_conn.bias,3.989402102888562e-06,3.989389824710088e-06,3.989377546531614e-06,3.98936526835314e-06,3.989352990174666e-06,3.989340257248841e-06,3.989328433817718e-06,3.989316610386595e-06,3.98930387746077e-06,3.9892911445349455e-06,3.9892788663564716e-06,3.989266133430647e-06,3.989253400504822e-06,3.989241122326348e-06,3.989228389400523e-06,3.989216111222049e-06,3.989203833043575e-06,3.9891911001177505e-06,3.9891788219392765e-06,3.989165634266101e-06
encoder.layers.0.forward_edge.weight,3.4948388929478824e-05,3.494737757137045e-05,3.4946362575283274e-05,3.4945347579196095e-05,3.4944336221087724e-05,3.494331758702174e-05,3.4942295314976946e-05,3.4941283956868574e-05,3.494026168482378e-05,3.49392466887366e-05,3.493822805467062e-05,3.493720942060463e-05,3.4936190786538646e-05,3.493517215247266e-05,3.493414988042787e-05,3.4933127608383074e-05,3.493210533633828e-05,3.493108306429349e-05,3.493005715426989e-05,3.49290385202039e-05
encoder.layers.0.forward_edge.bias,7.815547178324778e-06,7.815498975105584e-06,7.81545077188639e-06,7.815403478161898e-06,7.815354365448002e-06,7.81530707172351e-06,7.815258868504316e-06,7.815210665285122e-06,7.815162462065928e-06,7.815114258846734e-06,7.81506605562754e-06,7.815017852408346e-06,7.814969649189152e-06,7.814920536475256e-06,7.814872333256062e-06,7.814824130036868e-06,7.814775017322972e-06,7.814726814103778e-06,7.814678610884584e-06,7.81463040766539e-06
encoder.layers.0.scale_forward.weight,8.265833457699046e-06,8.265744327218272e-06,8.2656561062322e-06,8.265567885246128e-06,8.265478754765354e-06,8.26538962428458e-06,8.265301403298508e-06,8.265211363323033e-06,8.265123142336961e-06,8.265034921350889e-06,8.264944881375413e-06,8.264856660389341e-06,8.264766620413866e-06,8.264678399427794e-06,8.264588359452318e-06,8.264500138466246e-06,8.264410098490771e-06,8.264320968009997e-06,8.264231837529223e-06,8.26414270704845e-06
encoder.layers.0.scale_forward.bias,2.2480769530375255e-06,2.248071041321964e-06,2.2480651296064025e-06,2.248059672638192e-06,2.2480537609226303e-06,2.248047849207069e-06,2.248041710117832e-06,2.2480357984022703e-06,2.2480298866867088e-06,2.2480239749711473e-06,2.2480180632555857e-06,2.248012151540024e-06,2.2480062398244627e-06,2.2480001007352257e-06,2.247994189019664e-06,2.2479882773041027e-06,2.2479821382148657e-06,2.247976226499304e-06,2.2479703147837427e-06,2.247964403068181e-06
encoder.layers.0.back_edge.weight,3.562959318514913e-05,3.562819983926602e-05,3.56268064933829e-05,3.5625413147499785e-05,3.5624012525659055e-05,3.562261917977594e-05,3.5621222195914015e-05,3.5619821574073285e-05,3.561842822819017e-05,3.561702396837063e-05,3.561562698450871e-05,3.561422636266798e-05,3.561282210284844e-05,3.56114178430289e-05,3.561001722118817e-05,3.5608612961368635e-05,3.56072087015491e-05,3.5605800803750753e-05,3.5604396543931216e-05,3.560298864613287e-05
encoder.layers.0.back_edge.bias,7.471729077224154e-06,7.471663593605626e-06,7.47159856473445e-06,7.471532626368571e-06,7.4714666880026925e-06,7.471400294889463e-06,7.471335720765637e-06,7.471269327652408e-06,7.471203389286529e-06,7.471137450920651e-06,7.471071967302123e-06,7.4710060289362445e-06,7.470939181075664e-06,7.470873697457137e-06,7.470807304343907e-06,7.4707418207253795e-06,7.47067542761215e-06,7.470609034498921e-06,7.470542641385691e-06,7.470476703019813e-06
encoder.layers.0.scale_back.weight,7.791567441017833e-06,7.791441930748988e-06,7.791315510985442e-06,7.791190000716597e-06,7.791064490447752e-06,7.790937161189504e-06,7.790810741425958e-06,7.790684321662411e-06,7.790557901898865e-06,7.790431482135318e-06,7.79030415287707e-06,7.790176823618822e-06,7.790051313349977e-06,7.789923984091729e-06,7.78979665483348e-06,7.789669325575233e-06,7.789542905811686e-06,7.789415576553438e-06,7.789287337800488e-06,7.78916000854224e-06
encoder.layers.0.scale_back.bias,1.0296180334989913e-06,1.029615305014886e-06,1.0296123491571052e-06,1.0296092796124867e-06,1.0296065511283814e-06,1.0296035952706006e-06,1.0296007530996576e-06,1.0295977972418768e-06,1.029594841384096e-06,1.0295921128999908e-06,1.0295889296685345e-06,1.0295862011844292e-06,1.0295832453266485e-06,1.0295805168425431e-06,1.029577333611087e-06,1.0295743777533062e-06,1.0295716492692009e-06,1.02956869341142e-06,1.0295657375536393e-06,1.0295628953826963e-06
