layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.1782208679942414e-05,3.1779582059243694e-05,3.17769699904602e-05,3.1774376111570746e-05,3.177179314661771e-05,3.176922837155871e-05,3.1766670872457325e-05,3.176412792527117e-05,3.176159953000024e-05,3.175908204866573e-05,3.1756575481267646e-05,3.175407982780598e-05,3.1751598726259544e-05,3.174912853864953e-05,3.174667290295474e-05,3.174422454321757e-05,3.1741790735395625e-05,3.1739364203531295e-05,3.173695222358219e-05,3.1734547519590706e-05
encoder.layers.0.self_connection.bias,7.63553543947637e-06,7.634510438947473e-06,7.633489076397382e-06,7.632471351826098e-06,7.631458174728323e-06,7.630449545104057e-06,7.629444553458598e-06,7.628444109286647e-06,7.627446848346153e-06,7.626454589626519e-06,7.625465514138341e-06,7.62448007662897e-06,7.623498731845757e-06,7.622520570294e-06,7.621546501468401e-06,7.6205765253689606e-06,7.619609277753625e-06,7.618646577611798e-06,7.617687060701428e-06,7.616730727022514e-06
encoder.layers.0.scale_self_conn.weight,6.446390216297004e-06,6.446282895922195e-06,6.446175120800035e-06,6.446067800425226e-06,6.445959570555715e-06,6.445851340686204e-06,6.445743565564044e-06,6.445634880947182e-06,6.445526651077671e-06,6.445417966460809e-06,6.445309281843947e-06,6.4452001424797345e-06,6.445091457862873e-06,6.444981409003958e-06,6.444871360145044e-06,6.44476176603348e-06,6.444652171921916e-06,6.444542123063002e-06,6.4444311647093855e-06,6.44432066110312e-06
encoder.layers.0.scale_self_conn.bias,2.1685389128833776e-06,2.168531409552088e-06,2.1685239062207984e-06,2.1685164028895088e-06,2.1685086721845437e-06,2.1685009414795786e-06,2.168493438148289e-06,2.1684859348169994e-06,2.168477976738359e-06,2.1684707007807447e-06,2.1684629700757796e-06,2.168455011997139e-06,2.168447281292174e-06,2.1684397779608844e-06,2.168431819882244e-06,2.1684243165509542e-06,2.168416585845989e-06,2.168408855141024e-06,2.1684008970623836e-06,2.1683931663574185e-06
encoder.layers.0.forward_edge.weight,2.860811036953237e-05,2.8604110411833972e-05,2.8600132282008417e-05,2.85961741610663e-05,2.859223968698643e-05,2.858832522179e-05,2.8584432584466413e-05,2.858055813703686e-05,2.8576709155458957e-05,2.8572874725796282e-05,2.8569063942995854e-05,2.8565267712110654e-05,2.85614951280877e-05,2.8557737095979974e-05,2.855400089174509e-05,2.8550282877404243e-05,2.854658305295743e-05,2.8542903237394057e-05,2.8539239792735316e-05,2.8535590899991803e-05
encoder.layers.0.forward_edge.bias,8.091719791991636e-06,8.090717528830282e-06,8.089719813142437e-06,8.0887257354334e-06,8.08773620519787e-06,8.086750312941149e-06,8.085768968157936e-06,8.08479126135353e-06,8.083818102022633e-06,8.082848580670543e-06,8.081883606791962e-06,8.080920451902784e-06,8.079962753981818e-06,8.079007784544956e-06,8.078057362581603e-06,8.077110578597058e-06,8.076166523096617e-06,8.075227015069686e-06,8.07429023552686e-06,8.07335709396284e-06
encoder.layers.0.scale_forward.weight,6.662226951448247e-06,6.6617717493500095e-06,6.661319730483228e-06,6.660869985353202e-06,6.66042296870728e-06,6.659978680545464e-06,6.659537120867753e-06,6.659098744421499e-06,6.658662186964648e-06,6.658229267486604e-06,6.657797712250613e-06,6.657369340246078e-06,6.656944151472999e-06,6.656521236436674e-06,6.656100595137104e-06,6.655681772826938e-06,6.655266133748228e-06,6.654853223153623e-06,6.6544416768010706e-06,6.654032858932624e-06
encoder.layers.0.scale_forward.bias,1.585688664818008e-06,1.5856832078497973e-06,1.5856778645684244e-06,1.5856725212870515e-06,1.5856671780056786e-06,1.585661721037468e-06,1.585656377756095e-06,1.585650693414209e-06,1.5856452364459983e-06,1.5856397794777877e-06,1.5856340951359016e-06,1.585628638167691e-06,1.5856231811994803e-06,1.5856174968575942e-06,1.5856121535762213e-06,1.5856066966080107e-06,1.5856012396398e-06,1.5855954416110762e-06,1.5855900983297033e-06,1.5855843003009795e-06
encoder.layers.0.back_edge.weight,2.9625209208461456e-05,2.9621167414006777e-05,2.9617145628435537e-05,2.961314567073714e-05,2.960916026495397e-05,2.960520032502245e-05,2.9601256755995564e-05,2.9597331376862712e-05,2.9593422368634492e-05,2.958953336928971e-05,2.9585662559838966e-05,2.9581808121292852e-05,2.9577971872640774e-05,2.957415381388273e-05,2.9570350307039917e-05,2.9566563171101734e-05,2.956279604404699e-05,2.955903983092867e-05,2.955530180770438e-05,2.9551580155384727e-05
encoder.layers.0.back_edge.bias,9.294562914874405e-06,9.294202754972503e-06,9.293844414060004e-06,9.29348880163161e-06,9.293135008192621e-06,9.292783943237737e-06,9.292435606766958e-06,9.292089998780284e-06,9.291746209783014e-06,9.291404239775147e-06,9.291064998251386e-06,9.29072848521173e-06,9.29039470065618e-06,9.290060916100629e-06,9.289730769523885e-06,9.289402441936545e-06,9.289075933338609e-06,9.288751243730076e-06,9.288428373110946e-06,9.288109140470624e-06
encoder.layers.0.scale_back.weight,5.460175543703372e-06,5.459599833557149e-06,5.459027306642383e-06,5.458457508211723e-06,5.457890438265167e-06,5.457325642055366e-06,5.456764483824372e-06,5.456205144582782e-06,5.455648079077946e-06,5.455094651551917e-06,5.454542588267941e-06,5.453993708215421e-06,5.453447556647006e-06,5.452903224067995e-06,5.4523620747204404e-06,5.451822289614938e-06,5.451285687740892e-06,5.45075090485625e-06,5.450218395708362e-06,5.449688160297228e-06
encoder.layers.0.scale_back.bias,2.4798803224257426e-06,2.4798721369734267e-06,2.4798644062684616e-06,2.47985599344247e-06,2.479848262737505e-06,2.4798398499115137e-06,2.4798318918328732e-06,2.4798239337542327e-06,2.479815975675592e-06,2.479807562849601e-06,2.4797996047709603e-06,2.4797914193186443e-06,2.479783006492653e-06,2.479774821040337e-06,2.4797668629616965e-06,2.479758450135705e-06,2.4797504920570645e-06,2.4797423066047486e-06,2.4797341211524326e-06,2.479725480952766e-06
encoder.layers.1.self_connection.weight,3.199848288204521e-05,3.1996063626138493e-05,3.19936552841682e-05,3.1991246942197904e-05,3.1988845876185223e-05,3.198645208613016e-05,3.1984054658096284e-05,3.198166814399883e-05,3.1979288905858994e-05,3.197690602974035e-05,3.197453042957932e-05,3.1972158467397094e-05,3.1969793781172484e-05,3.1967429094947875e-05,3.196506804670207e-05,3.1962710636435077e-05,3.19603641401045e-05,3.195801400579512e-05,3.1955671147443354e-05,3.195332828909159e-05
