layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,2.6183517547906376e-05,2.6127789169549942e-05,2.6072382752317935e-05,2.601730011519976e-05,2.5962541258195415e-05,2.590810981928371e-05,2.5854003979475237e-05,2.5800225557759404e-05,2.5746776373125613e-05,2.569365460658446e-05,2.5640863896114752e-05,2.5588400603737682e-05,2.5536268367432058e-05,2.5484463549219072e-05,2.5432986149098724e-05,2.5381839805049822e-05,2.533101724111475e-05,2.5280522095272318e-05,2.5230354367522523e-05,2.5180512238875963e-05
encoder.layers.0.self_connection.bias,8.438871191174258e-06,8.432134563918225e-06,8.425453415839002e-06,8.41882501845248e-06,8.412249371758662e-06,8.405725566262845e-06,8.39925451145973e-06,8.392834388359915e-06,8.386464287468698e-06,8.380146027775481e-06,8.37387688079616e-06,8.367657756025437e-06,8.36148774396861e-06,8.355365935130976e-06,8.349293239007238e-06,8.343267836607993e-06,8.337290637427941e-06,8.33135982247768e-06,8.325475391757209e-06,8.319636435771827e-06
encoder.layers.0.scale_self_conn.weight,5.6911871979536954e-06,5.689178124157479e-06,5.68716768611921e-06,5.685153610102134e-06,5.6831354413589e-06,5.681112725142157e-06,5.679084097209852e-06,5.677050012309337e-06,5.675010470440611e-06,5.67296319786692e-06,5.670909104082966e-06,5.668847279594047e-06,5.666778179147514e-06,5.6646999837539624e-06,5.662614967150148e-06,5.660520400851965e-06,5.658418103848817e-06,5.656305802403949e-06,5.654184860759415e-06,5.652055733662564e-06
encoder.layers.0.scale_self_conn.bias,4.240936846144905e-07,4.2427714674886374e-07,4.2444261794116755e-07,4.245918319156772e-07,4.247262097578641e-07,4.2484708728807163e-07,4.2495571506151464e-07,4.250532583682798e-07,4.2514071196819714e-07,4.252189285125496e-07,4.252889311828767e-07,4.2535125999165757e-07,4.254067391684657e-07,4.2545593714748975e-07,4.2549950762804656e-07,4.2553793377919646e-07,4.255716987699998e-07,4.256011436609697e-07,4.2562683688629477e-07,4.256489489762316e-07
encoder.layers.0.forward_edge.weight,2.7688069167197682e-05,2.763071097433567e-05,2.7573674742598087e-05,2.751696047198493e-05,2.7460579076432623e-05,2.7404521460994147e-05,2.7348798539605923e-05,2.729341031226795e-05,2.7238353141001426e-05,2.7183637939742766e-05,2.7129255613544956e-05,2.70752098003868e-05,2.70214986812789e-05,2.696812771318946e-05,2.691509507712908e-05,2.6862398954108357e-05,2.6810035706148483e-05,2.6758010790217668e-05,2.6706316930358298e-05,2.6654955945559777e-05
encoder.layers.0.forward_edge.bias,7.889533662819304e-06,7.877940333855804e-06,7.866457053751219e-06,7.855082003516145e-06,7.843810635677073e-06,7.83264658821281e-06,7.821584404155146e-06,7.81062408350408e-06,7.79976380727021e-06,7.789002665958833e-06,7.778338840580545e-06,7.76777324063005e-06,7.757301318633836e-06,7.746924893581308e-06,7.73664032749366e-06,7.726449439360294e-06,7.71635131968651e-06,7.7063432399882e-06,7.696423381275963e-06,7.6865926530445e-06
encoder.layers.0.scale_forward.weight,7.155480489018373e-06,7.154224476835225e-06,7.1529198066855315e-06,7.151567842811346e-06,7.150172677938826e-06,7.14873795004678e-06,7.1472645686299074e-06,7.145756626414368e-06,7.144215942389565e-06,7.142644790292252e-06,7.141044534364482e-06,7.139416084100958e-06,7.137762167985784e-06,7.136084605008364e-06,7.134382485673996e-06,7.132658993214136e-06,7.130915491870837e-06,7.129151526896749e-06,7.127368462533923e-06,7.125568117771763e-06
encoder.layers.0.scale_forward.bias,7.542088837908523e-07,7.544387585767254e-07,7.546466349594994e-07,7.548345593022532e-07,7.550042369075527e-07,7.551574867648014e-07,7.552957299594709e-07,7.554205012638704e-07,7.555328238595393e-07,7.556340051451116e-07,7.5572489777187e-07,7.558066954516107e-07,7.558800234619412e-07,7.559457912975631e-07,7.560045105492463e-07,7.560569770248549e-07,7.561038160019962e-07,7.561454822280211e-07,7.561823736068618e-07,7.562150585727068e-07
encoder.layers.0.back_edge.weight,2.762121039268095e-05,2.756523826974444e-05,2.750956264208071e-05,2.745418532867916e-05,2.739911542448681e-05,2.7344347472535446e-05,2.728988511080388e-05,2.7235731977270916e-05,2.718188625294715e-05,2.7128351575811394e-05,2.7075126126874238e-05,2.702221172512509e-05,2.6969608370563947e-05,2.691731606319081e-05,2.6865332984016277e-05,2.6813662771019153e-05,2.6762301786220632e-05,2.671124821063131e-05,2.6660503863240592e-05,2.6610066925059073e-05
encoder.layers.0.back_edge.bias,8.836133019940462e-06,8.830455044517294e-06,8.824783435557038e-06,8.819119102554396e-06,8.813465683488175e-06,8.80782499734778e-06,8.802201591606718e-06,8.796594556770287e-06,8.791005711827893e-06,8.785439604253042e-06,8.779895324551035e-06,8.77437287272187e-06,8.768874977249652e-06,8.763402547629084e-06,8.75795740284957e-06,8.752536814427003e-06,8.747145329834893e-06,8.741782039578538e-06,8.736446943657938e-06,8.731140951567795e-06
encoder.layers.0.scale_back.weight,5.880176104255952e-06,5.8787359193956945e-06,5.877294825040735e-06,5.875853275938425e-06,5.874408088857308e-06,5.8729601732920855e-06,5.871509074495407e-06,5.87005388297257e-06,5.868594143976225e-06,5.867129402759019e-06,5.865659204573603e-06,5.864183549419977e-06,5.862701982550789e-06,5.861214503966039e-06,5.8597188399289735e-06,5.858217718923697e-06,5.856710231455509e-06,5.855195468029706e-06,5.853672519151587e-06,5.852143658557907e-06
encoder.layers.0.scale_back.bias,1.552922981318261e-06,1.5531480812569498e-06,1.5533508985754452e-06,1.5535335933236638e-06,1.5536979844910093e-06,1.5538456636932096e-06,1.5539783362328308e-06,1.5540972526650876e-06,1.554203663545195e-06,1.5542987057415303e-06,1.5543836298093083e-06,1.5544590041827178e-06,1.5545257383564604e-06,1.5545851965725888e-06,1.5546374925179407e-06,1.5546833083135425e-06,1.5547234397672582e-06,1.554758227939601e-06,1.554788468638435e-06,1.5548142755505978e-06
encoder.layers.1.self_connection.weight,2.1885838577873074e-05,2.1845478840987198e-05,2.1805462893098593e-05,2.1765785277239047e-05,2.172645145037677e-05,2.1687461412511766e-05,2.1648813344654627e-05,2.1610512703773566e-05,2.157255403290037e-05,2.153493551304564e-05,2.1497660782188177e-05,2.1460728021338582e-05,2.1424133592518046e-05,2.138787749572657e-05,2.1351959730964154e-05,2.1316373022273183e-05,2.1281122826621868e-05,2.1246201868052594e-05,2.1211611965554766e-05,2.1177347662160173e-05
encoder.layers.1.self_connection.bias,4.03651438318775e-06,4.036644440930104e-06,4.036761310999282e-06,4.036864538647933e-06,4.036955942865461e-06,4.037036887893919e-06,4.037107828480657e-06,4.037170128867729e-06,4.037223789055133e-06,4.037270173284924e-06,4.037309736304451e-06,4.037343387608416e-06,4.0373711271968205e-06,4.037393864564365e-06,4.037411599711049e-06,4.037425696878927e-06,4.037435701320646e-06,4.037441613036208e-06,4.037444796267664e-06,4.037444796267664e-06
