epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,4.646637916564941,27.935587882995605,89.94517707824707
1,17.031108856201172,27.461676597595215,89.46040272712708
2,16.72249412536621,27.36587929725647,89.10137915611267
3,18.5943546295166,28.137438774108887,89.94534730911255
4,19.25092887878418,29.395505666732788,91.36702847480774
5,17.525789260864258,29.117960691452026,90.85660767555237
6,20.940446853637695,27.70794939994812,89.54135608673096
7,18.14981460571289,28.801028966903687,90.57047510147095
8,18.501991271972656,27.82071852684021,89.31914639472961
9,18.704864501953125,27.76601815223694,89.68392729759216
10,15.883522987365723,28.557663440704346,89.85575819015503
