epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,28.47447967529297,26.114317893981934,107.51575064659119
1,24.789274215698242,25.882670402526855,106.32148337364197
2,28.31621742248535,25.379054069519043,106.02424240112305
3,27.121007919311523,25.3735089302063,105.73325729370117
4,33.77113342285156,25.614363431930542,105.06805682182312
5,37.336002349853516,25.239246129989624,105.8383355140686
6,41.18982696533203,25.593985080718994,107.3603880405426
7,41.989463806152344,25.52661967277527,105.36155772209167
8,42.147212982177734,25.763965368270874,105.53952717781067
9,41.74786376953125,24.86863684654236,105.14370322227478
10,42.215755462646484,25.16727566719055,104.30497169494629
