layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,4.289580465410836e-05,4.289271601010114e-05,4.28896164521575e-05,4.288652053219266e-05,4.288341733627021e-05,4.288031050236896e-05,4.28772036684677e-05,4.287409319658764e-05,4.287097181077115e-05,4.286785770091228e-05,4.28647363150958e-05,4.2861611291300505e-05,4.2858486267505214e-05,4.285535396775231e-05,4.285222530597821e-05,4.2849089368246496e-05,4.284595343051478e-05,4.284281749278307e-05,4.283967427909374e-05,4.283652742742561e-05
encoder.layers.0.self_connection.bias,8.872651051206049e-06,8.872532816894818e-06,8.872413673088886e-06,8.872293619788252e-06,8.872171747498214e-06,8.872048965713475e-06,8.871926183928736e-06,8.871801583154593e-06,8.871676072885748e-06,8.871549653122202e-06,8.871424142853357e-06,8.87129772308981e-06,8.87116948433686e-06,8.87104124558391e-06,8.870912097336259e-06,8.870783858583309e-06,8.870654710335657e-06,8.870525562088005e-06,8.870395504345652e-06,8.870265446603298e-06
encoder.layers.0.scale_self_conn.weight,1.1305072803224903e-05,1.1304611689411104e-05,1.1304152394586708e-05,1.130369128077291e-05,1.1303229257464409e-05,1.1302767234155908e-05,1.1302304301352706e-05,1.1301842278044205e-05,1.13013775262516e-05,1.1300912774458993e-05,1.1300448022666387e-05,1.1299984180368483e-05,1.1299517609586474e-05,1.1299051948299166e-05,1.1298584468022455e-05,1.1298117897240445e-05,1.1297650416963734e-05,1.1297182936687022e-05,1.1296715456410311e-05,1.1296246157144196e-05
encoder.layers.0.scale_self_conn.bias,4.2556966945994645e-06,4.255667136021657e-06,4.255637122696498e-06,4.25560710937134e-06,4.25557618655148e-06,4.255545263731619e-06,4.25551479565911e-06,4.255483418091899e-06,4.255452950019389e-06,4.255421572452178e-06,4.255390649632318e-06,4.255358817317756e-06,4.255326985003194e-06,4.255295607435983e-06,4.255264684616122e-06,4.25523285230156e-06,4.255200565239647e-06,4.2551682781777345e-06,4.255136445863172e-06,4.2551041588012595e-06
encoder.layers.0.forward_edge.weight,3.59284458681941e-05,3.592568828025833e-05,3.592293069232255e-05,3.592016582842916e-05,3.591740096453577e-05,3.591463610064238e-05,3.5911867598770186e-05,3.590909545891918e-05,3.590631968108937e-05,3.590354390325956e-05,3.5900760849472135e-05,3.589798143366352e-05,3.58952020178549e-05,3.589241532608867e-05,3.5889628634322435e-05,3.588684558053501e-05,3.588405525078997e-05,3.588126492104493e-05,3.587846731534228e-05,3.587567334761843e-05
encoder.layers.0.forward_edge.bias,8.311189958476461e-06,8.311075362144038e-06,8.310961675306316e-06,8.31084525998449e-06,8.310728844662663e-06,8.310612429340836e-06,8.310496014019009e-06,8.310376870213076e-06,8.310259545396548e-06,8.310140401590616e-06,8.310021257784683e-06,8.309903023473453e-06,8.309782970172819e-06,8.309663826366886e-06,8.309544682560954e-06,8.309423719765618e-06,8.309303666464984e-06,8.309182703669649e-06,8.309062650369015e-06,8.308941687573679e-06
encoder.layers.0.scale_forward.weight,9.382053576700855e-06,9.381595191371161e-06,9.381134077557363e-06,9.380672054248862e-06,9.380208211950958e-06,9.379745279147755e-06,9.379279617860448e-06,9.378814866067842e-06,9.378348295285832e-06,9.377880815009121e-06,9.37741333473241e-06,9.376944944960997e-06,9.37647473620018e-06,9.376004527439363e-06,9.375534318678547e-06,9.375063200423028e-06,9.374592991662212e-06,9.37412005441729e-06,9.37364802666707e-06,9.373175089422148e-06
encoder.layers.0.scale_forward.bias,2.458037442920613e-06,2.45802311837906e-06,2.4580083390901564e-06,2.457993332427577e-06,2.457977871017647e-06,2.4579621822340414e-06,2.457946038703085e-06,2.457930122545804e-06,2.4579139790148474e-06,2.45789738073654e-06,2.4578805550845573e-06,2.45786395680625e-06,2.457847131154267e-06,2.457830078128609e-06,2.457813252476626e-06,2.457795744703617e-06,2.457778236930608e-06,2.4577611839049496e-06,2.457743448758265e-06,2.457725940985256e-06
encoder.layers.0.back_edge.weight,3.5130899050273e-05,3.5126879083691165e-05,3.5122851841151714e-05,3.511882096063346e-05,3.51147900801152e-05,3.5110755561618134e-05,3.510672104312107e-05,3.51026828866452e-05,3.509864109219052e-05,3.509459565975703e-05,3.509055022732355e-05,3.5086501156911254e-05,3.508245208649896e-05,3.5078395740129054e-05,3.5074343031737953e-05,3.5070286685368046e-05,3.506623033899814e-05,3.506216671667062e-05,3.50581067323219e-05,3.5054039472015575e-05
encoder.layers.0.back_edge.bias,8.504823199473321e-06,8.50465312396409e-06,8.504483048454858e-06,8.504312063450925e-06,8.50414016895229e-06,8.503968274453655e-06,8.503794560965616e-06,8.503619937982876e-06,8.503446224494837e-06,8.503271601512097e-06,8.503095159539953e-06,8.50291962706251e-06,8.502743185090367e-06,8.502566743118223e-06,8.502390301146079e-06,8.502212949679233e-06,8.502035598212387e-06,8.50185733725084e-06,8.501679985783994e-06,8.501500815327745e-06
