layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,2.8333175578154624e-05,2.8263584681553766e-05,2.8194073820486665e-05,2.812462298606988e-05,2.8055219445377588e-05,2.7985850465483963e-05,2.7916510589420795e-05,2.784722892101854e-05,2.7778009098256007e-05,2.7708856578101404e-05,2.763980046438519e-05,2.7570858947001398e-05,2.7502033844939433e-05,2.7433354262029752e-05,2.7364845664124005e-05,2.729651896515861e-05,2.7228405087953433e-05,2.7160502213519067e-05,2.7092832169728354e-05,2.7025442250305787e-05
encoder.layers.0.self_connection.bias,8.827983037917875e-06,8.817976777208969e-06,8.808253369352315e-06,8.798768249107525e-06,8.789490493654739e-06,8.780391908658203e-06,8.77144884725567e-06,8.762644029047806e-06,8.75396108312998e-06,8.745390005060472e-06,8.736918971408159e-06,8.728540706215426e-06,8.720248843019363e-06,8.712037924851757e-06,8.703902494744398e-06,8.695841643202584e-06,8.687851732247509e-06,8.679930033395067e-06,8.672074727655854e-06,8.664283996040467e-06
encoder.layers.0.scale_self_conn.weight,5.662009698426118e-06,5.649455033562845e-06,5.637897174892714e-06,5.627225164062111e-06,5.617343504127348e-06,5.60816715733381e-06,5.599622909358004e-06,5.591644821834052e-06,5.584175141848391e-06,5.577163847192423e-06,5.570564553636359e-06,5.564337698160671e-06,5.55844826521934e-06,5.5528630582557525e-06,5.547552973439451e-06,5.542492544918787e-06,5.537660399568267e-06,5.5330328905256465e-06,5.528593192138942e-06,5.52432402400882e-06
encoder.layers.0.scale_self_conn.bias,4.268549389507825e-07,4.368379222796648e-07,4.459242290977272e-07,4.5419696448334435e-07,4.617306501586427e-07,4.6859253188813454e-07,4.7484317633461615e-07,4.80537494240707e-07,4.857250814893632e-07,4.904511001768697e-07,4.947564207213873e-07,4.986782755622698e-07,5.022505433771585e-07,5.055039764556568e-07,5.084668259769387e-07,5.111646146360727e-07,5.136207050782104e-07,5.158564135854249e-07,5.178911237635475e-07,5.197426276026818e-07
encoder.layers.0.forward_edge.weight,2.9895840270910412e-05,2.9833538064849563e-05,2.9770308174192905e-05,2.9706208806601353e-05,2.964132363558747e-05,2.957573815365322e-05,2.9509510568459518e-05,2.9442728191497736e-05,2.9375440135481767e-05,2.9307730073924176e-05,2.9239661671454087e-05,2.917129677371122e-05,2.9102686312398873e-05,2.9033893952146173e-05,2.896495789173059e-05,2.8895921786897816e-05,2.8826867492171004e-05,2.8757798645528965e-05,2.868877345463261e-05,2.861980647139717e-05
encoder.layers.0.forward_edge.bias,8.530443665222265e-06,8.50713604449993e-06,8.484773388772737e-06,8.463257472612895e-06,8.442501894023735e-06,8.422433893429115e-06,8.40298889670521e-06,8.384109605685808e-06,8.365748726646416e-06,8.347858965862542e-06,8.330403034051415e-06,8.313350008393172e-06,8.29666623758385e-06,8.280326255771797e-06,8.264306416094769e-06,8.248584890679922e-06,8.23314258013852e-06,8.217962204071227e-06,8.20303012005752e-06,8.188329957192764e-06
encoder.layers.0.scale_forward.weight,6.9212364905979484e-06,6.929556548129767e-06,6.936773843335686e-06,6.9429693212441634e-06,6.948221653146902e-06,6.95260132488329e-06,6.956177912798012e-06,6.95901371727814e-06,6.96116831022664e-06,6.962696716072969e-06,6.963650776015129e-06,6.9640773290302604e-06,6.9640204856114e-06,6.963521627767477e-06,6.962618499528617e-06,6.9613452069461346e-06,6.959735856071347e-06,6.957819095987361e-06,6.955622666282579e-06,6.95317112331395e-06
encoder.layers.0.scale_forward.bias,6.410343758034287e-07,6.515026029774162e-07,6.610306968468649e-07,6.697058552163071e-07,6.776062377866765e-07,6.848022735539416e-07,6.913576271472266e-07,6.973295967327431e-07,7.02770478255843e-07,7.07727451754181e-07,7.122433771655778e-07,7.163573059187911e-07,7.201047651506087e-07,7.235180987663625e-07,7.266266948136035e-07,7.294574970728718e-07,7.320349482142774e-07,7.343813308580138e-07,7.365171654782898e-07,7.384609261862352e-07
encoder.layers.0.back_edge.weight,2.956392381747719e-05,2.9493625333998352e-05,2.942304672615137e-05,2.935219345090445e-05,2.928110188804567e-05,2.920979204645846e-05,2.913827665906865e-05,2.9066628485452384e-05,2.8994836611673236e-05,2.8922957426402718e-05,2.885102185246069e-05,2.87790553556988e-05,2.870711250579916e-05,2.8635206035687588e-05,2.8563375963130966e-05,2.8491627745097503e-05,2.8420015951269306e-05,2.834855877154041e-05,2.827727803378366e-05,2.82061992038507e-05
encoder.layers.0.back_edge.bias,8.885529496183153e-06,8.891081961337477e-06,8.89545935933711e-06,8.898757187125739e-06,8.901062756194733e-06,8.902460649551358e-06,8.903025445761159e-06,8.90283081389498e-06,8.901940418581944e-06,8.900417924451176e-06,8.898319720174186e-06,8.895697646948975e-06,8.892598089005332e-06,8.889070159057155e-06,8.885152055881917e-06,8.880882887751795e-06,8.876296305970754e-06,8.871424142853357e-06,8.866299140208866e-06,8.86094494489953e-06
encoder.layers.0.scale_back.weight,5.913155746384291e-06,5.903888450120576e-06,5.8952136896550655e-06,5.8870509747066535e-06,5.8793330026674084e-06,5.872001111129066e-06,5.86500618737773e-06,5.858305485162418e-06,5.851862169947708e-06,5.845647137903143e-06,5.8396321946929675e-06,5.833793693454936e-06,5.8281129895476624e-06,5.82257143832976e-06,5.817154942633351e-06,5.811849405290559e-06,5.806643912364962e-06,5.801528004667489e-06,5.796492587251123e-06,5.79153038415825e-06
