layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.5007044061785564e-05,3.500735328998417e-05,3.500727689242922e-05,3.5006865800824016e-05,3.500614911899902e-05,3.5005152312805876e-05,3.5003904486075044e-05,3.500243474263698e-05,3.5000761272385716e-05,3.49989059031941e-05,3.499688318697736e-05,3.499471858958714e-05,3.4992419386981055e-05,3.4989992855116725e-05,3.4987464459845796e-05,3.498484147712588e-05,3.4982123906956986e-05,3.4979333577211946e-05,3.497646684991196e-05,3.497353827697225e-05
encoder.layers.0.self_connection.bias,8.740179509914014e-06,8.740026714804117e-06,8.739849363337271e-06,8.739652912481688e-06,8.739434633753262e-06,8.739199074625503e-06,8.738947144593112e-06,8.738682481634896e-06,8.738404176256154e-06,8.73811495694099e-06,8.737814823689405e-06,8.737505595490802e-06,8.73718636285048e-06,8.736860763747245e-06,8.736527888686396e-06,8.736187737667933e-06,8.735843039175961e-06,8.735492883715779e-06,8.735137271287385e-06,8.734779839869589e-06
encoder.layers.0.scale_self_conn.weight,7.710526006121654e-06,7.711269972787704e-06,7.711910257057752e-06,7.712455953878816e-06,7.712916158197913e-06,7.713301783951465e-06,7.713618288107682e-06,7.713872037129477e-06,7.714070306974463e-06,7.714218554610852e-06,7.71432041801745e-06,7.714383173151873e-06,7.714407729508821e-06,7.714399544056505e-06,7.71436134527903e-06,7.714296771155205e-06,7.714206731179729e-06,7.714094863331411e-06,7.713964805589058e-06,7.713815648457967e-06
encoder.layers.0.scale_self_conn.bias,2.8051758818037342e-06,2.8057208965037717e-06,2.8062097499059746e-06,2.806647444231203e-06,2.8070401185686933e-06,2.807391865644604e-06,2.807706323437742e-06,2.8079878120479407e-06,2.80823883258563e-06,2.808463023029617e-06,2.8086628844903316e-06,2.8088406907045282e-06,2.808999170156312e-06,2.809140141835087e-06,2.8092645152355544e-06,2.8093747914681444e-06,2.8094714252802078e-06,2.80955714515585e-06,2.8096319510950707e-06,2.809697207339923e-06
encoder.layers.0.forward_edge.weight,3.256406853324734e-05,3.256385389249772e-05,3.2563420973019674e-05,3.2562795240664855e-05,3.2561994885327294e-05,3.2561030820943415e-05,3.2559928513364866e-05,3.255869887652807e-05,3.255734554841183e-05,3.25558939948678e-05,3.2554340577917174e-05,3.2552710763411596e-05,3.255099363741465e-05,3.2549211027799174e-05,3.254736657254398e-05,3.254546754760668e-05,3.254351395298727e-05,3.254151306464337e-05,3.253947215853259e-05,3.253739487263374e-05
encoder.layers.0.forward_edge.bias,8.318115760630462e-06,8.317491847265046e-06,8.316910680150613e-06,8.316368621308357e-06,8.315859304275364e-06,8.315382729051635e-06,8.31493434816366e-06,8.314510523632634e-06,8.314109436469153e-06,8.313729267683811e-06,8.313367288792506e-06,8.313021680805832e-06,8.312691534229089e-06,8.312373211083468e-06,8.312067620863672e-06,8.311773854075e-06,8.311488272738643e-06,8.311211786349304e-06,8.310943485412281e-06,8.310683369927574e-06
encoder.layers.0.scale_forward.weight,8.794163477432448e-06,8.793406777840573e-06,8.792651897238102e-06,8.791897926130332e-06,8.791146683506668e-06,8.790394531388301e-06,8.789644198259339e-06,8.788893865130376e-06,8.788144441496115e-06,8.787395927356556e-06,8.786646503722295e-06,8.785898899077438e-06,8.785150384937879e-06,8.78440187079832e-06,8.783654266153462e-06,8.782905752013903e-06,8.782159056863748e-06,8.78141145221889e-06,8.780664757068735e-06,8.779918061918579e-06
encoder.layers.0.scale_forward.bias,2.2896824702911545e-06,2.2895167148817563e-06,2.2893650566402357e-06,2.2892265860718908e-06,2.289099484187318e-06,2.2889828414918156e-06,2.2888759758643573e-06,2.288777295689215e-06,2.2886868009663885e-06,2.28860290008015e-06,2.288525365656824e-06,2.2884532882017083e-06,2.288386440341128e-06,2.2883241399540566e-06,2.2882657049194677e-06,2.2882111352373613e-06,2.288159748786711e-06,2.2881110908201663e-06,2.2880656160850776e-06,2.2880224150867434e-06
encoder.layers.0.back_edge.weight,3.090548489126377e-05,3.090525569859892e-05,3.0904786399332806e-05,3.090410245931707e-05,3.090322206844576e-05,3.0902159778634086e-05,3.0900937417754903e-05,3.089957681368105e-05,3.0898081604391336e-05,3.089646270382218e-05,3.0894741939846426e-05,3.089292295044288e-05,3.089102392550558e-05,3.0889041227055714e-05,3.0886989407008514e-05,3.0884872103342786e-05,3.088270022999495e-05,3.088047742494382e-05,3.0878207326168194e-05,3.0875893571646884e-05
encoder.layers.0.back_edge.bias,9.419220077688806e-06,9.418272384209558e-06,9.41739563131705e-06,9.416584362043068e-06,9.415832209924702e-06,9.415131899004336e-06,9.414480700797867e-06,9.413872248842381e-06,9.413302905159071e-06,9.412766303285025e-06,9.412262443220243e-06,9.411786777491216e-06,9.411334758624434e-06,9.410907296114601e-06,9.410498932993505e-06,9.410110578755848e-06,9.409737685928121e-06,9.409379345015623e-06,9.409035556018353e-06,9.408703590452205e-06
encoder.layers.0.scale_back.weight,7.445694791385904e-06,7.445904429914663e-06,7.446044492098736e-06,7.446122708643088e-06,7.446143627021229e-06,7.446114977938123e-06,7.446039944625227e-06,7.445924438798102e-06,7.445770734193502e-06,7.4455847425269894e-06,7.445366918545915e-06,7.44512317396584e-06,7.444853963534115e-06,7.4445633799768984e-06,7.444252332788892e-06,7.443923550454201e-06,7.443578397214878e-06,7.443218692060327e-06,7.4428457992326e-06,7.442460628226399e-06
encoder.layers.0.scale_back.bias,3.017444441866246e-06,3.0172184324328555e-06,3.017011522388202e-06,3.0168223474902334e-06,3.0166486340021947e-06,3.0164894724293845e-06,3.016342589035048e-06,3.016207529071835e-06,3.016082928297692e-06,3.015967422470567e-06,3.0158605568431085e-06,3.0157609671732644e-06,3.015668426087359e-06,3.0155815693433397e-06,3.015500624314882e-06,3.0154249088809593e-06,3.015353058799519e-06,3.015285756191588e-06,3.0152218641887885e-06,3.0151609280437697e-06
encoder.layers.1.self_connection.weight,3.2864812965271994e-05,3.2864136301213875e-05,3.286341961938888e-05,3.2862662919797e-05,3.286186984041706e-05,3.286104038124904e-05,3.2860185456229374e-05,3.2859294151421636e-05,3.2858384656719863e-05,3.285745333414525e-05,3.2856492907740176e-05,3.2855517929419875e-05,3.2854528399184346e-05,3.285352431703359e-05,3.2852502044988796e-05,3.285146885900758e-05,3.285042475908995e-05,3.284936974523589e-05,3.284830381744541e-05,3.284723061369732e-05
encoder.layers.1.self_connection.bias,4.434211405168753e-06,4.433761660038726e-06,4.433350113686174e-06,4.432973128132289e-06,4.432626155903563e-06,4.4323073780105915e-06,4.432013611221919e-06,4.431741217558738e-06,4.431489742273698e-06,4.431256002135342e-06,4.431039087648969e-06,4.430836270330474e-06,4.430646185937803e-06,4.430468379723607e-06,4.43030103269848e-06,4.430143690115074e-06,4.429994532983983e-06,4.429853106557857e-06,4.429718956089346e-06,4.429590717336396e-06
encoder.layers.1.scale_self_conn.weight,9.198148291034158e-06,9.197972758556716e-06,9.197766303259414e-06,9.197535291605163e-06,9.197278814099263e-06,9.196999599225819e-06,9.196703103953041e-06,9.196385690302122e-06,9.196054634230677e-06,9.195709026244003e-06,9.195348866342101e-06,9.19497870199848e-06,9.194598533213139e-06,9.194207450491376e-06,9.193809091812e-06,9.193401638185605e-06,9.192989637085702e-06,9.192569450533483e-06,9.192143807013053e-06,9.191713616019115e-06
encoder.layers.1.scale_self_conn.bias,2.8313502298260573e-06,2.8313513666944345e-06,2.8313486382103292e-06,2.8313424991210923e-06,2.8313338589214254e-06,2.831322262863978e-06,2.8313081656961003e-06,2.8312917947914684e-06,2.8312733775237575e-06,2.8312529138929676e-06,2.831231086020125e-06,2.8312081212789053e-06,2.8311831101746066e-06,2.8311574169492815e-06,2.8311303594819037e-06,2.8311026198934997e-06,2.8310741981840692e-06,2.831044412232586e-06,2.8310141715337522e-06,2.830983248713892e-06
encoder.layers.1.forward_edge.weight,2.90481184492819e-05,2.9047911084489897e-05,2.904758912336547e-05,2.9047165298834443e-05,2.9046648705843836e-05,2.904604480136186e-05,2.9045364499324933e-05,2.9044616894680075e-05,2.9043801987427287e-05,2.904293069150299e-05,2.90420139208436e-05,2.904104439949151e-05,2.9040034860372543e-05,2.90389871224761e-05,2.903790482378099e-05,2.9036789783276618e-05,2.9035649276920594e-05,2.903448330471292e-05,2.9033293685643002e-05,2.9032085876679048e-05
encoder.layers.1.forward_edge.bias,5.5242935559363104e-06,5.524153493752237e-06,5.52401616005227e-06,5.523883373825811e-06,5.5237528613361064e-06,5.523625077330507e-06,5.523499567061663e-06,5.5233763305295724e-06,5.523254912986886e-06,5.523134859686252e-06,5.52301617062767e-06,5.522898845811142e-06,5.522782430489315e-06,5.5226669246621896e-06,5.522553237824468e-06,5.522440005734097e-06,5.5223267736437265e-06,5.5222144510480575e-06,5.5221025831997395e-06,5.521991624846123e-06
encoder.layers.1.scale_forward.weight,7.149868906708434e-06,7.150759756768821e-06,7.151504632929573e-06,7.152117177611217e-06,7.152611942728981e-06,7.1529998422192875e-06,7.153289971029153e-06,7.153495062084403e-06,7.1536205723532476e-06,7.153676051530056e-06,7.1536687755724415e-06,7.153603291953914e-06,7.153486876632087e-06,7.15332407708047e-06,7.153119440772571e-06,7.152877060434548e-06,7.152601483539911e-06,7.152294529078063e-06,7.151960744522512e-06,7.1516019488626625e-06
