layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.470265801297501e-05,3.469975126790814e-05,3.4696844522841275e-05,3.46939341397956e-05,3.4691027394728735e-05,3.468811701168306e-05,3.4685210266616195e-05,3.468229260761291e-05,3.4679382224567235e-05,3.467646456556395e-05,3.4673550544539467e-05,3.467063288553618e-05,3.466771522653289e-05,3.4664797567529604e-05,3.466187627054751e-05,3.4658954973565415e-05,3.465603003860451e-05,3.465310874162242e-05,3.465018016868271e-05,3.464725523372181e-05
encoder.layers.0.self_connection.bias,8.810235158307478e-06,8.809780410956591e-06,8.809327482595108e-06,8.808872735244222e-06,8.80842071637744e-06,8.807967788015958e-06,8.807514859654475e-06,8.807062840787694e-06,8.806611731415614e-06,8.806159712548833e-06,8.805709512671456e-06,8.805259312794078e-06,8.804807293927297e-06,8.804358913039323e-06,8.803908713161945e-06,8.803460332273971e-06,8.803011041891295e-06,8.802562661003321e-06,8.802114280115347e-06,8.801666808722075e-06
encoder.layers.0.scale_self_conn.weight,8.266750228358433e-06,8.266451914096251e-06,8.266154509328771e-06,8.265857104561292e-06,8.265559699793812e-06,8.265260476036929e-06,8.264963071269449e-06,8.264664757007267e-06,8.264366442745086e-06,8.2640663094935e-06,8.263767085736617e-06,8.263469680969138e-06,8.263168638222851e-06,8.262868504971266e-06,8.262569281214382e-06,8.262269147962797e-06,8.261969014711212e-06,8.261669790954329e-06,8.26136783871334e-06,8.261066795967054e-06
encoder.layers.0.scale_self_conn.bias,2.822316218953347e-06,2.8222930268384516e-06,2.822269607349881e-06,2.8222464152349858e-06,2.822222995746415e-06,2.82219980363152e-06,2.8221768388903e-06,2.822153192028054e-06,2.8221302272868343e-06,2.8221068077982636e-06,2.822083843057044e-06,2.8220601961947978e-06,2.822037231453578e-06,2.8220138119650073e-06,2.821991074597463e-06,2.821967427735217e-06,2.8219440082466463e-06,2.821920816131751e-06,2.8218973966431804e-06,2.8218739771546097e-06
encoder.layers.0.forward_edge.weight,3.335560904815793e-05,3.3352600439684466e-05,3.334959546918981e-05,3.334659413667396e-05,3.334358552820049e-05,3.3340580557705835e-05,3.333756831125356e-05,3.33345597027801e-05,3.3331547456327826e-05,3.332853157189675e-05,3.332552296342328e-05,3.33225070789922e-05,3.3319491194561124e-05,3.3316475310130045e-05,3.331345578772016e-05,3.331043626531027e-05,3.330741310492158e-05,3.330439358251169e-05,3.3301370422123e-05,3.329834726173431e-05
encoder.layers.0.forward_edge.bias,8.118514415400568e-06,8.118131518131122e-06,8.117748620861676e-06,8.11736572359223e-06,8.116983735817485e-06,8.116600838548038e-06,8.116220669762697e-06,8.11583777249325e-06,8.115456694213208e-06,8.115074706438463e-06,8.114694537653122e-06,8.114314368867781e-06,8.113932381093036e-06,8.113553121802397e-06,8.113172953017056e-06,8.112791874737013e-06,8.112412615446374e-06,8.112033356155735e-06,8.111653187370393e-06,8.111273018585052e-06
encoder.layers.0.scale_forward.weight,1.074141346180113e-05,1.0740488505689427e-05,1.0739562640083022e-05,1.073863768397132e-05,1.0737710908870213e-05,1.0736784133769106e-05,1.0735856449173298e-05,1.0734929674072191e-05,1.0734001989476383e-05,1.0733073395385873e-05,1.073214389180066e-05,1.0731212569226045e-05,1.0730283065640833e-05,1.072935265256092e-05,1.0728420420491602e-05,1.0727488188422285e-05,1.0726555956352968e-05,1.0725622814788949e-05,1.072468967322493e-05,1.0723755622166209e-05
encoder.layers.0.scale_forward.bias,2.091758915412356e-06,2.0917395886499435e-06,2.091720261887531e-06,2.0917011624987936e-06,2.091681835736381e-06,2.0916625089739682e-06,2.091643409585231e-06,2.0916243101964938e-06,2.0916052108077565e-06,2.0915856566716684e-06,2.091566557282931e-06,2.0915472305205185e-06,2.091527903758106e-06,2.091508576995693e-06,2.0914892502332805e-06,2.0914696960971924e-06,2.0914503693347797e-06,2.091431042572367e-06,2.0914117158099543e-06,2.091392616421217e-06
encoder.layers.0.back_edge.weight,3.45575281244237e-05,3.455386831774376e-05,3.4550212149042636e-05,3.45465523423627e-05,3.454289253568277e-05,3.4539229091024026e-05,3.453555837040767e-05,3.4531898563727736e-05,3.452822784311138e-05,3.4524557122495025e-05,3.452089003985748e-05,3.451721931924112e-05,3.451354496064596e-05,3.4509870602050796e-05,3.4506192605476826e-05,3.4502518246881664e-05,3.449883661232889e-05,3.449515861575492e-05,3.449147698120214e-05,3.4487791708670557e-05
encoder.layers.0.back_edge.bias,9.474027137912344e-06,9.47365606407402e-06,9.473284990235697e-06,9.472914825892076e-06,9.472543752053753e-06,9.472173587710131e-06,9.471802513871808e-06,9.471431440033484e-06,9.471061275689863e-06,9.470691111346241e-06,9.47032094700262e-06,9.469949873164296e-06,9.469579708820675e-06,9.469209544477053e-06,9.468839380133431e-06,9.46846921578981e-06,9.468099051446188e-06,9.467727977607865e-06,9.467357813264243e-06,9.466987648920622e-06
encoder.layers.0.scale_back.weight,8.912154953577556e-06,8.911360964702908e-06,8.910565156838857e-06,8.909770258469507e-06,8.908974450605456e-06,8.908177733246703e-06,8.90738101588795e-06,8.906583389034495e-06,8.90578576218104e-06,8.904989044822287e-06,8.904189598979428e-06,8.903391062631272e-06,8.902592526283115e-06,8.901792170945555e-06,8.900991815607995e-06,8.900189641281031e-06,8.899389285943471e-06,8.898588021111209e-06,8.897785846784245e-06,8.89698276296258e-06
encoder.layers.0.scale_back.bias,3.0928536034480203e-06,3.0928258638596162e-06,3.092798124271212e-06,3.092770384682808e-06,3.0927428724680794e-06,3.092715360253351e-06,3.0926876206649467e-06,3.0926594263291918e-06,3.092631231993437e-06,3.0926032650313573e-06,3.0925752980692778e-06,3.0925473311071983e-06,3.0925191367714433e-06,3.0924909424356883e-06,3.0924632028472843e-06,3.0924352358852047e-06,3.0924072689231252e-06,3.092379529334721e-06,3.0923511076252908e-06,3.0923233680368867e-06
encoder.layers.1.self_connection.weight,3.6420671676751226e-05,3.641836883616634e-05,3.641606235760264e-05,3.641374860308133e-05,3.641143848653883e-05,3.640912473201752e-05,3.6406814615475014e-05,3.640449358499609e-05,3.6402183468453586e-05,3.639986243797466e-05,3.639754140749574e-05,3.639522037701681e-05,3.639289934653789e-05,3.639057104010135e-05,3.638824637164362e-05,3.6385921703185886e-05,3.638358975877054e-05,3.6381261452334e-05,3.6378929507918656e-05,3.637659756350331e-05
encoder.layers.1.self_connection.bias,4.344473381934222e-06,4.3443988033686765e-06,4.344324679550482e-06,4.3442505557322875e-06,4.344176431914093e-06,4.344102762843249e-06,4.344028639025055e-06,4.343953605712159e-06,4.343879481893964e-06,4.34380535807577e-06,4.343730324762873e-06,4.343655746197328e-06,4.343581167631783e-06,4.343506589066237e-06,4.343432010500692e-06,4.3433569771877956e-06,4.343281943874899e-06,4.343207365309354e-06,4.343132331996458e-06,4.343057298683561e-06
encoder.layers.1.scale_self_conn.weight,8.600619366916362e-06,8.600372893852182e-06,8.600126420788001e-06,8.599879038229119e-06,8.599631655670237e-06,8.599383363616653e-06,8.59913598105777e-06,8.598888598498888e-06,8.598640306445304e-06,8.59839201439172e-06,8.598144631832838e-06,8.59789452078985e-06,8.597647138230968e-06,8.597397936682682e-06,8.597147825639695e-06,8.596899533586111e-06,8.596650332037825e-06,8.596400220994838e-06,8.596151019446552e-06,8.595899998908862e-06
encoder.layers.1.scale_self_conn.bias,2.713581352509209e-06,2.7135517939314013e-06,2.713522462727269e-06,2.7134929041494615e-06,2.7134635729453294e-06,2.7134340143675217e-06,2.713404455789714e-06,2.713375124585582e-06,2.7133457933814498e-06,2.7133160074299667e-06,2.713286448852159e-06,2.7132568902743515e-06,2.713227331696544e-06,2.713198227866087e-06,2.7131686692882795e-06,2.7131388833367964e-06,2.7131095521326642e-06,2.7130795388075057e-06,2.713049980229698e-06,2.7130199669045396e-06
encoder.layers.1.forward_edge.weight,3.13103519147262e-05,3.1308140023611486e-05,3.130592449451797e-05,3.130370896542445e-05,3.130149343633093e-05,3.1299274269258603e-05,3.129705510218628e-05,3.1294832297135144e-05,3.129261313006282e-05,3.129038668703288e-05,3.1288163881981745e-05,3.1285937438951805e-05,3.1283710995921865e-05,3.128148091491312e-05,3.127925083390437e-05,3.1277020752895623e-05,3.127478703390807e-05,3.127255695289932e-05,3.127031959593296e-05,3.12680822389666e-05
encoder.layers.1.forward_edge.bias,5.336914910003543e-06,5.336769390851259e-06,5.336622962204274e-06,5.336476533557288e-06,5.336330559657654e-06,5.336184131010668e-06,5.336037702363683e-06,5.335890818969347e-06,5.335744390322361e-06,5.335597506928025e-06,5.335450168786338e-06,5.335303285392001e-06,5.335156401997665e-06,5.335009063855978e-06,5.33486127096694e-06,5.334713932825252e-06,5.334566594683565e-06,5.334418801794527e-06,5.33427146365284e-06,5.334123216016451e-06
encoder.layers.1.scale_forward.weight,7.277866188815096e-06,7.277611075551249e-06,7.277355507540051e-06,7.277099939528853e-06,7.276843916770304e-06,7.2765883487591054e-06,7.2763318712532055e-06,7.276074938999955e-06,7.2758189162414055e-06,7.2755624387355056e-06,7.275305506482255e-06,7.275048119481653e-06,7.274791187228402e-06,7.274534254975151e-06,7.274276413227199e-06,7.274018571479246e-06,7.2737602749839425e-06,7.273501978488639e-06,7.273244136740686e-06,7.272985840245383e-06
encoder.layers.1.scale_forward.bias,2.007293005590327e-06,2.0072752704436425e-06,2.007257535296958e-06,2.007239572776598e-06,2.007222065003589e-06,2.0072043298569042e-06,2.0071865947102197e-06,2.007168404816184e-06,2.007150442295824e-06,2.007132934522815e-06,2.0071147446287796e-06,2.007097009482095e-06,2.0070792743354104e-06,2.0070613118150504e-06,2.0070433492946904e-06,2.007025614148006e-06,2.0070074242539704e-06,2.006989689107286e-06,2.006971726586926e-06,2.0069537640665658e-06
encoder.layers.1.back_edge.weight,3.163241490256041e-05,3.163019573548809e-05,3.162798020639457e-05,3.162576103932224e-05,3.1623541872249916e-05,3.162131906719878e-05,3.161909990012646e-05,3.1616877095075324e-05,3.1614650652045384e-05,3.161242784699425e-05,3.16101941280067e-05,3.1607967684976757e-05,3.160573760396801e-05,3.1603503884980455e-05,3.16012701659929e-05,3.1599040084984154e-05,3.15968063659966e-05,3.159456537105143e-05,3.159232437610626e-05,3.159009065711871e-05
encoder.layers.1.back_edge.bias,5.404485818871763e-06,5.404372132034041e-06,5.40425889994367e-06,5.404145213105949e-06,5.404031071520876e-06,5.403918294177856e-06,5.403803697845433e-06,5.403690465755062e-06,5.40357632416999e-06,5.403461727837566e-06,5.403348040999845e-06,5.403233899414772e-06,5.4031197578297e-06,5.403005616244627e-06,5.402891019912204e-06,5.4027759688324295e-06,5.402661827247357e-06,5.4025476856622845e-06,5.40243263458251e-06,5.402318038250087e-06
encoder.layers.1.scale_back.weight,7.5825464591616765e-06,7.58224041419453e-06,7.581935278722085e-06,7.5816292337549385e-06,7.581323188787792e-06,7.581017143820645e-06,7.580709734611446e-06,7.5804036896442994e-06,7.580096735182451e-06,7.579789780720603e-06,7.579481916764053e-06,7.579174962302204e-06,7.578866643598303e-06,7.578558779641753e-06,7.578250460937852e-06,7.577942142233951e-06,7.57763382353005e-06,7.577325050078798e-06,7.577016276627546e-06,7.5767065936815925e-06
encoder.layers.1.scale_back.bias,2.3174188754637726e-06,2.3174013676907634e-06,2.3173834051704034e-06,2.3173658973973943e-06,2.3173479348770343e-06,2.317330427104025e-06,2.317312464583665e-06,2.3172947294369806e-06,2.3172772216639714e-06,2.317259486517287e-06,2.3172417513706023e-06,2.3172237888502423e-06,2.317206281077233e-06,2.3171885459305486e-06,2.317170810783864e-06,2.3171530756371794e-06,2.317134885743144e-06,2.3171171505964594e-06,2.3170991880760994e-06,2.317081452929415e-06
decoder.layers.0.self_connection.weight,0.0009166714153252542,0.0005418540094979107,0.0027119433507323265,0.0015132181579247117,0.0037077637389302254,0.0031322892755270004,0.005149976350367069,0.0012124066706746817,0.003208810230717063,0.00048086605966091156,0.0008301120833493769,0.0015057867858558893,0.0015729740262031555,0.0012316865613684058,0.0011617823038250208,0.00041220555431209505,0.0029235458932816982,0.001718225423246622,0.00037390421493910253,0.0013474259758368134
decoder.layers.0.self_connection.bias,6.559109169756994e-05,3.4004719054792076e-05,0.00018766423454508185,9.559747559251264e-05,0.00030761456582695246,0.00024616890004836023,0.000392027257476002,0.0001089228899218142,0.00022666610311716795,3.65147934644483e-05,5.896924631088041e-05,0.0001231787318829447,0.00012745754793286324,8.317076571984217e-05,0.00010400074097560719,3.2796073355711997e-05,0.0002140214928658679,0.00013030138507019728,3.178064071107656e-05,0.00010752656089607626
decoder.layers.0.scale_self_conn.weight,1.3402124750427902e-05,8.4979892562842e-06,2.0075496649951674e-05,2.3303598936763592e-05,2.1385007130447775e-05,8.312879799632356e-06,1.004854857455939e-05,5.360804607335012e-06,1.6415511709055863e-05,7.116401320672594e-06,8.638779036118649e-06,9.074787158169784e-06,9.498823601461481e-06,1.142724522651406e-05,1.425709342584014e-05,9.885661711450666e-06,1.150064872490475e-05,8.21933826955501e-06,7.637479939148761e-06,7.410495982185239e-06
