layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,4.469773921300657e-05,4.469541454454884e-05,4.4693078962154686e-05,4.46907251898665e-05,4.4688353227684274e-05,4.468597035156563e-05,4.468355837161653e-05,4.468112456379458e-05,4.467867620405741e-05,4.467619874048978e-05,4.467370672500692e-05,4.467119651963003e-05,4.4668664486380294e-05,4.466611790121533e-05,4.466355312615633e-05,4.4660981075139716e-05,4.465838719625026e-05,4.465578604140319e-05,4.465317033464089e-05,4.465054371394217e-05
encoder.layers.0.self_connection.bias,8.531799721822608e-06,8.533772415830754e-06,8.535543202015106e-06,8.537131179764401e-06,8.538554538972676e-06,8.539826922060456e-06,8.540964699932374e-06,8.541981515008956e-06,8.542887371731922e-06,8.543694093532395e-06,8.544410775357392e-06,8.545047421648633e-06,8.54561039886903e-06,8.5461078924709e-06,8.54654354043305e-06,8.546928256691899e-06,8.547262950742152e-06,8.54755489854142e-06,8.54780591907911e-06,8.548022378818132e-06
encoder.layers.0.scale_self_conn.weight,1.1487781193864066e-05,1.148662886407692e-05,1.1485564755275846e-05,1.1484583410492633e-05,1.148367391579086e-05,1.1482828995212913e-05,1.1482045010779984e-05,1.1481311958050355e-05,1.148062710853992e-05,1.1479985005280469e-05,1.1479381100798491e-05,1.1478812666609883e-05,1.1478276064735837e-05,1.1477766747702844e-05,1.14772819870268e-05,1.1476820873213e-05,1.1476380677777342e-05,1.1475956853246316e-05,1.1475551218609326e-05,1.1475160135887563e-05
encoder.layers.0.scale_self_conn.bias,4.1650564526207745e-06,4.1652124309621286e-06,4.165350674156798e-06,4.165473455941537e-06,4.165583050053101e-06,4.165678546996787e-06,4.165763130004052e-06,4.1658372538222466e-06,4.1659018279460724e-06,4.165958216617582e-06,4.166007329331478e-06,4.16604916608776e-06,4.16608509112848e-06,4.166114649706287e-06,4.166140115557937e-06,4.166160579188727e-06,4.16617740484071e-06,4.1661901377665345e-06,4.166199687460903e-06,4.166206508671166e-06
encoder.layers.0.forward_edge.weight,3.927356010535732e-05,3.927420038962737e-05,3.9274342270800844e-05,3.927404395653866e-05,3.927333455067128e-05,3.927224679500796e-05,3.9270824345294386e-05,3.926909630536102e-05,3.9267084503080696e-05,3.926481804228388e-05,3.926232238882221e-05,3.9259619370568544e-05,3.925673081539571e-05,3.925366763724014e-05,3.925045166397467e-05,3.924710108549334e-05,3.9243619539774954e-05,3.924003249267116e-05,3.9236339944181964e-05,3.923255280824378e-05
encoder.layers.0.forward_edge.bias,7.709448254900053e-06,7.711253601883072e-06,7.712876140431035e-06,7.714332241448574e-06,7.715639185335021e-06,7.716810614510905e-06,7.717860171396751e-06,7.71879876992898e-06,7.719637324044015e-06,7.720384928688873e-06,7.721052497799974e-06,7.72164548834553e-06,7.722172085777856e-06,7.72264047554927e-06,7.723052476649173e-06,7.723417184024584e-06,7.723737326159608e-06,7.724018360022455e-06,7.724263014097232e-06,7.724475835857447e-06
encoder.layers.0.scale_forward.weight,9.723455150378868e-06,9.724070878291968e-06,9.724593837745488e-06,9.725034942675848e-06,9.725401469040662e-06,9.72569796431344e-06,9.725936251925305e-06,9.726117241370957e-06,9.726249118102714e-06,9.726336429594085e-06,9.726383723318577e-06,9.726392818265595e-06,9.72637008089805e-06,9.726317330205347e-06,9.726239113660995e-06,9.726134521770291e-06,9.726009920996148e-06,9.725864401843864e-06,9.725701602292247e-06,9.725521522341296e-06
encoder.layers.0.scale_forward.bias,2.1652756458934164e-06,2.1656867374986177e-06,2.166056219721213e-06,2.166388640034711e-06,2.1666869542968925e-06,2.166954573112889e-06,2.167195134461508e-06,2.1674106847058283e-06,2.167603952329955e-06,2.167776756323292e-06,2.167932279917295e-06,2.1680709778593155e-06,2.1681951238861075e-06,2.168305627492373e-06,2.168404762414866e-06,2.1684927560272627e-06,2.168570972571615e-06,2.1686405489163008e-06,2.1687023945560213e-06,2.1687569642381277e-06
encoder.layers.0.back_edge.weight,3.924890552298166e-05,3.924850534531288e-05,3.924754855688661e-05,3.924607881344855e-05,3.924415068468079e-05,3.9241804188350216e-05,3.9239064790308475e-05,3.9235987060237676e-05,3.923259282601066e-05,3.922891482943669e-05,3.922498581232503e-05,3.9220816688612103e-05,3.9216436562128365e-05,3.9211870898725465e-05,3.920713788829744e-05,3.920224844478071e-05,3.919722075806931e-05,3.919207301805727e-05,3.918680886272341e-05,3.918144648196176e-05
encoder.layers.0.back_edge.bias,8.054944373725448e-06,8.057127161009703e-06,8.059087122092023e-06,8.060842446866445e-06,8.062415872700512e-06,8.063822861004155e-06,8.065080692176707e-06,8.066202099143993e-06,8.067201633821242e-06,8.068091119639575e-06,8.068880561040714e-06,8.069579052971676e-06,8.070197509368882e-06,8.070742296695244e-06,8.071221600403078e-06,8.071639967965893e-06,8.072006494330708e-06,8.072322998486925e-06,8.072595846897457e-06,8.072829587035812e-06
encoder.layers.0.scale_back.weight,8.0988320405595e-06,8.099706974462606e-06,8.100471859506797e-06,8.101136700133793e-06,8.10170968179591e-06,8.102203537418973e-06,8.10262281447649e-06,8.102975698420778e-06,8.103267646220047e-06,8.103507752821315e-06,8.103697837213986e-06,8.103844265860971e-06,8.103950676741078e-06,8.104022526822519e-06,8.104061635094695e-06,8.10406982054701e-06,8.104052540147677e-06,8.104011612886097e-06,8.103949767246377e-06,8.103868822217919e-06
encoder.layers.0.scale_back.bias,8.838363783070236e-07,8.843758223520126e-07,8.848616062095971e-07,8.85299016317731e-07,8.856928275235987e-07,8.860473030836147e-07,8.863664220370993e-07,8.866536518326029e-07,8.869121757015819e-07,8.871446652847226e-07,8.873538490661304e-07,8.875421144693973e-07,8.877111667970894e-07,8.878633934727986e-07,8.880001587385777e-07,8.881228836798982e-07,8.882333304427448e-07,8.883322948349814e-07,8.884211979420797e-07,8.885009492587415e-07
encoder.layers.1.self_connection.weight,3.733835546881892e-05,3.733960329554975e-05,3.7340483686421067e-05,3.734103302122094e-05,3.73412694898434e-05,3.734123311005533e-05,3.734094207175076e-05,3.7340421840781346e-05,3.7339686969062313e-05,3.73387556464877e-05,3.7337656976887956e-05,3.73363982362207e-05,3.733499033842236e-05,3.733345874934457e-05,3.733180710696615e-05,3.733004996320233e-05,3.732819459401071e-05,3.732625918928534e-05,3.7324236473068595e-05,3.7322148273233324e-05
encoder.layers.1.self_connection.bias,4.943471139995381e-06,4.943529347656295e-06,4.9435743676440325e-06,4.943606654705945e-06,4.943628482578788e-06,4.943639396515209e-06,4.943641215504613e-06,4.943635303789051e-06,4.943621661368525e-06,4.943600742990384e-06,4.943573912896682e-06,4.943541625834769e-06,4.943504791299347e-06,4.943462499795714e-06,4.943416115565924e-06,4.943367002852028e-06,4.9433137974119745e-06,4.943257408740465e-06,4.943198291584849e-06,4.943136445945129e-06
encoder.layers.1.scale_self_conn.weight,1.0493547961232252e-05,1.0492757610336412e-05,1.0491919965716079e-05,1.0491036846360657e-05,1.0490112799743656e-05,1.0489151463843882e-05,1.048815556714544e-05,1.0487130566616543e-05,1.0486076462257188e-05,1.0484999620530289e-05,1.0483900041435845e-05,1.0482780453457963e-05,1.0481647223059554e-05,1.0480496712261811e-05,1.0479335287527647e-05,1.047816203936236e-05,1.0476981515239459e-05,1.0475793715158943e-05,1.0474598639120813e-05,1.0473400834598579e-05
encoder.layers.1.scale_self_conn.bias,1.8615676253830316e-06,1.861529426605557e-06,1.8614938426253502e-06,1.8614606460687355e-06,1.8614294958751998e-06,1.8614002783579053e-06,1.861372652456339e-06,1.8613468455441762e-06,1.861322402874066e-06,1.861299097072333e-06,1.8612771555126528e-06,1.8612560097608366e-06,1.8612358871905599e-06,1.8612165604281472e-06,1.8611979157867609e-06,1.8611800669532386e-06,1.8611629002407426e-06,1.8611460745887598e-06,1.8611297036841279e-06,1.8611139012136846e-06
encoder.layers.1.forward_edge.weight,3.302321783849038e-05,3.302613549749367e-05,3.3028543839463964e-05,3.3030482882168144e-05,3.3031996281351894e-05,3.3033120416803285e-05,3.3033898944268e-05,3.30343573295977e-05,3.303451740066521e-05,3.303442645119503e-05,3.303408811916597e-05,3.30335387843661e-05,3.3032796636689454e-05,3.303187622805126e-05,3.303079211036675e-05,3.302957338746637e-05,3.302822005935013e-05,3.302674667793326e-05,3.302516779513098e-05,3.3023490686900914e-05
encoder.layers.1.forward_edge.bias,4.601057298714295e-06,4.6015761654416565e-06,4.602039098244859e-06,4.602450644597411e-06,4.602815806720173e-06,4.603139586834004e-06,4.603425622917712e-06,4.603678007697454e-06,4.603899924404686e-06,4.604094101523515e-06,4.6042637222853955e-06,4.604410605679732e-06,4.604537025443278e-06,4.604646164807491e-06,4.60473802377237e-06,4.60481487607467e-06,4.604879450198496e-06,4.604930836649146e-06,4.604971763910726e-06,4.605003141477937e-06
encoder.layers.1.scale_forward.weight,9.199894520861562e-06,9.203961781167891e-06,9.207544280798174e-06,9.210683856508695e-06,9.213424164045136e-06,9.215800673700869e-06,9.217851584253367e-06,9.219604180543683e-06,9.221086656907573e-06,9.222328117175493e-06,9.223350389220286e-06,9.224174391420092e-06,9.224817404174246e-06,9.225300345860887e-06,9.225637768395245e-06,9.225842404703144e-06,9.22592789720511e-06,9.225906069332268e-06,9.22578874451574e-06,9.225583198713139e-06
encoder.layers.1.scale_forward.bias,1.8237168433188344e-06,1.8239113614981761e-06,1.8240856434204034e-06,1.824240939640731e-06,1.8243796375827515e-06,1.8245032151753549e-06,1.824613036660594e-06,1.8247109210278722e-06,1.8247975503982161e-06,1.8248742890136782e-06,1.8249420463689603e-06,1.8250015045850887e-06,1.8250538005304406e-06,1.8250996163260425e-06,1.8251395204060827e-06,1.825173740144237e-06,1.8252034124088823e-06,1.8252287645736942e-06,1.8252502513860236e-06,1.8252682139063836e-06
encoder.layers.1.back_edge.weight,3.376150561962277e-05,3.37643941747956e-05,3.3766762498999014e-05,3.3768661523936316e-05,3.3770127629395574e-05,3.377120810910128e-05,3.377193206688389e-05,3.377233224455267e-05,3.377243774593808e-05,3.377228495082818e-05,3.37718847731594e-05,3.377127359271981e-05,3.377046232344583e-05,3.37694727932103e-05,3.3768326829886064e-05,3.376702807145193e-05,3.376560198375955e-05,3.376405584276654e-05,3.376240420038812e-05,3.37606506946031e-05
encoder.layers.1.back_edge.bias,5.664033324137563e-06,5.663871434080647e-06,5.663716819981346e-06,5.66356993658701e-06,5.6634298744029365e-06,5.663296178681776e-06,5.663167030434124e-06,5.663042884407332e-06,5.662922831106698e-06,5.662806415784871e-06,5.662693638441851e-06,5.662584044330288e-06,5.662477178702829e-06,5.6623725868121255e-06,5.662270268658176e-06,5.66216976949363e-06,5.662071089318488e-06,5.661973773385398e-06,5.661877821694361e-06,5.661782779498026e-06
encoder.layers.1.scale_back.weight,8.870498277246952e-06,8.875121238816064e-06,8.879224878910463e-06,8.882858310244046e-06,8.886063369573094e-06,8.888881893653888e-06,8.891352990758605e-06,8.893507583707105e-06,8.895374776329845e-06,8.896985491446685e-06,8.898361556930467e-06,8.89952752913814e-06,8.90050159796374e-06,8.901303772290703e-06,8.901950423023663e-06,8.902458830561955e-06,8.902838999347296e-06,8.903104571800213e-06,8.90326737135183e-06,8.903338311938569e-06
encoder.layers.1.scale_back.bias,2.4229059363278793e-06,2.423081241431646e-06,2.4232383566413773e-06,2.423378646199126e-06,2.423503929094295e-06,2.423615796942613e-06,2.4237153866124572e-06,2.4238038349722046e-06,2.423882506263908e-06,2.423952309982269e-06,2.4240137008746387e-06,2.424068270556745e-06,2.424116019028588e-06,2.424158083158545e-06,2.4241946903202916e-06,2.4242260678875027e-06,2.4242535801022314e-06,2.4242772269644774e-06,2.4242972358479165e-06,2.4243142888735747e-06
decoder.layers.0.self_connection.weight,0.006057801190763712,0.009740517474710941,0.007346749771386385,0.003618477378040552,0.005682290997356176,0.0018344438867643476,0.008525893092155457,0.010294863022863865,0.012341629713773727,0.00647839717566967,0.0039200433529913425,0.0032857670448720455,0.005858500953763723,0.0024122970644384623,0.009973203763365746,0.0030105726327747107,0.004416713956743479,0.0034901273902505636,0.004337316378951073,0.002164617646485567
decoder.layers.0.self_connection.bias,0.0003902191238012165,0.0004445014928933233,0.0003467783099040389,0.0001849404361564666,0.0003811101196333766,0.00010579578520264477,0.000501838221680373,0.0005370411672629416,0.000650587200652808,0.00031619821675121784,0.00026116211665794253,0.00020456494530662894,0.00031862049945630133,0.0001217609315062873,0.0004621752887032926,0.00018524409097153693,0.0002026400761678815,0.00016735325334593654,0.00020912245963700116,0.00012379487452562898
decoder.layers.0.scale_self_conn.weight,0.0006930837407708168,0.00044659728882834315,0.00019865106150973588,0.00016158154176082462,0.0003029502113349736,0.00013682823919225484,0.0006523794145323336,0.0007618445088155568,0.00024015925009734929,0.0004028488474432379,0.00012134722055634484,5.1334813178982586e-05,0.00011839681246783584,6.233571912162006e-05,0.000617333862464875,0.00019866198999807239,0.00016640423564240336,5.181776941753924e-05,6.264397961786017e-05,2.111227331624832e-05
decoder.layers.0.scale_self_conn.bias,7.287067273864523e-05,6.991225382080302e-05,3.198526246706024e-05,2.6347310267738067e-05,2.584234971436672e-05,1.3813771147397347e-05,8.141544822137803e-05,8.311128476634622e-05,3.4659966331673786e-05,5.119464549352415e-05,5.47299441677751e-06,5.738851086789509e-06,1.853245157690253e-05,9.687428246252239e-06,5.6548818974988535e-05,2.890202267735731e-05,1.3729470083490014e-05,5.0514736358309165e-06,1.0200825272477232e-05,5.050427489550202e-07
decoder.layers.0.forward_edge.weight,0.007624850608408451,0.007136177271604538,0.005167853552848101,0.002735804533585906,0.006911512929946184,0.0018493157112970948,0.009280708618462086,0.010971548035740852,0.011419367045164108,0.005209636874496937,0.004940525162965059,0.0030618556775152683,0.004226589109748602,0.001750315772369504,0.00930920708924532,0.003515220247209072,0.0032971263863146305,0.002423524623736739,0.0028118013869971037,0.0019251842750236392
decoder.layers.0.forward_edge.bias,0.0003901546879205853,0.00042612897232174873,0.0003314560162834823,0.0001737970014801249,0.00037556595634669065,0.0001022650467348285,0.0005092961946502328,0.0005421054665930569,0.0006379730184562504,0.00031010492239147425,0.00026302316109649837,0.00020440392836462706,0.0003123786300420761,0.00012189719564048573,0.0004596487560775131,0.00018793136405292898,0.0001982930552912876,0.00016334746032953262,0.00019860280735883862,0.00012270764273125678
decoder.layers.0.scale_forward.weight,7.70187471061945e-05,0.000223756447667256,0.00012546811194624752,6.119609315646812e-05,0.00012662640074267983,1.851722481660545e-05,7.609096064697951e-05,0.0002889515017159283,0.0002774843305815011,0.00019443318888079375,3.637236659415066e-05,2.5112192815868184e-05,0.0001537134958198294,8.437117503490299e-05,0.0004207198217045516,0.00010587240103632212,0.00023275498824659735,8.118753612507135e-05,5.671179678756744e-05,5.52879755559843e-05
decoder.layers.0.scale_forward.bias,6.456948540289886e-06,2.4179029423976317e-05,1.2527006219897885e-05,7.335321697610198e-06,1.405617604177678e-05,6.59834086036426e-07,9.847718501987401e-06,3.079674206674099e-05,3.673808532766998e-05,1.9618535588961095e-05,2.6753114070743322e-06,3.240402747906046e-06,1.6124115063576028e-05,8.89675720827654e-06,4.121995152672753e-05,1.178954425995471e-05,2.227905315521639e-05,7.54144730308326e-06,5.218234036874492e-06,7.727317097305786e-06
decoder.layers.0.back_edge.weight,0.007616646122187376,0.007142080459743738,0.005173558834940195,0.0027492160443216562,0.0069062975235283375,0.0018505040789023042,0.009276327677071095,0.010920830070972443,0.01142597384750843,0.0051895990036427975,0.004937783814966679,0.0030766220297664404,0.004261541645973921,0.0017647354397922754,0.009259544312953949,0.003512915223836899,0.003291170811280608,0.0024285237304866314,0.002817535772919655,0.001928503392264247
decoder.layers.0.back_edge.bias,0.00038895997568033636,0.000429500883910805,0.00033578608417883515,0.00017866629059426486,0.00037637713830918074,0.0001060320864780806,0.0005055351066403091,0.0005307672545313835,0.0006388684851117432,0.0003032728855032474,0.0002620427112560719,0.00020600024436134845,0.0003173360601067543,0.0001233514485647902,0.00044798117596656084,0.0001910233695525676,0.00020004947145935148,0.0001641579729039222,0.0001999235391849652,0.00012257810158189386
