epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,13.84597396850586,26.396533012390137,108.5240786075592
1,19.290876388549805,24.285146951675415,106.03592491149902
2,15.153145790100098,24.154237985610962,106.74424195289612
3,20.419872283935547,23.612481117248535,104.47947001457214
4,21.6306095123291,23.96007251739502,105.32695245742798
5,21.393035888671875,24.18224811553955,105.58784890174866
6,21.195972442626953,24.06791925430298,105.66812419891357
7,21.48983383178711,24.107305765151978,105.17189908027649
8,22.047359466552734,23.84114694595337,105.29354906082153
9,22.602331161499023,23.704825162887573,104.78333783149719
10,21.36979103088379,23.986093521118164,106.07508206367493
