layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.624914461397566e-05,3.624886448960751e-05,3.624858436523937e-05,3.624830424087122e-05,3.624802047852427e-05,3.624774035415612e-05,3.6247460229787976e-05,3.6247172829462215e-05,3.6246896343072876e-05,3.624661258072592e-05,3.624632881837897e-05,3.6246048694010824e-05,3.624576493166387e-05,3.624548116931692e-05,3.6245197406969965e-05,3.624491364462301e-05,3.624462988227606e-05,3.6244346119929105e-05,3.624406235758215e-05,3.62437785952352e-05
encoder.layers.0.self_connection.bias,8.414779586018994e-06,8.41475684865145e-06,8.414733201789204e-06,8.41471046442166e-06,8.414687727054115e-06,8.414664989686571e-06,8.414641342824325e-06,8.414617695962079e-06,8.414594958594535e-06,8.414571311732288e-06,8.414549483859446e-06,8.4145258369972e-06,8.414503099629655e-06,8.41447945276741e-06,8.414456715399865e-06,8.414433068537619e-06,8.414410331170075e-06,8.41438759380253e-06,8.414363946940284e-06,8.414340300078038e-06
encoder.layers.0.scale_self_conn.weight,8.424559382547159e-06,8.424534826190211e-06,8.424509360338561e-06,8.424483894486912e-06,8.424459338129964e-06,8.424434781773016e-06,8.424410225416068e-06,8.424384759564418e-06,8.424359293712769e-06,8.42433473735582e-06,8.42430836200947e-06,8.42428289615782e-06,8.424258339800872e-06,8.424232873949222e-06,8.424206498602871e-06,8.424181032751221e-06,8.424156476394273e-06,8.424131920037325e-06,8.424106454185676e-06,8.424080078839324e-06
encoder.layers.0.scale_self_conn.bias,3.0387029710254865e-06,3.038701152036083e-06,3.0386993330466794e-06,3.0386977414309513e-06,3.0386959224415477e-06,3.038694103452144e-06,3.038692057089065e-06,3.0386906928470125e-06,3.0386886464839336e-06,3.0386870548682055e-06,3.038685235878802e-06,3.0386834168893984e-06,3.038681143152644e-06,3.038679551536916e-06,3.038678187294863e-06,3.0386763683054596e-06,3.038674549316056e-06,3.0386727303266525e-06,3.038670911337249e-06,3.03866886497417e-06
encoder.layers.0.forward_edge.weight,3.695911436807364e-05,3.695880513987504e-05,3.695850318763405e-05,3.6958197597414255e-05,3.695788836921565e-05,3.695758277899586e-05,3.695727718877606e-05,3.695696796057746e-05,3.6956658732378855e-05,3.695635314215906e-05,3.6956047551939264e-05,3.695574196171947e-05,3.695542909554206e-05,3.695512350532226e-05,3.695481791510247e-05,3.6954508686903864e-05,3.6954195820726454e-05,3.695388659252785e-05,3.6953581002308056e-05,3.6953268136130646e-05
encoder.layers.0.forward_edge.bias,7.78964204073418e-06,7.789624760334846e-06,7.789607479935512e-06,7.789589290041476e-06,7.789572009642143e-06,7.789554729242809e-06,7.789536539348774e-06,7.789520168444142e-06,7.789501069055405e-06,7.78948378865607e-06,7.789466508256737e-06,7.789448318362702e-06,7.789431037963368e-06,7.789412848069333e-06,7.789395567669999e-06,7.789379196765367e-06,7.78936009737663e-06,7.789343726471998e-06,7.789323717588559e-06,7.789307346683927e-06
encoder.layers.0.scale_forward.weight,1.0385932910139672e-05,1.0385889254393987e-05,1.0385845598648302e-05,1.0385799214418512e-05,1.0385756468167529e-05,1.038571099343244e-05,1.0385667337686755e-05,1.038562368194107e-05,1.0385579116700683e-05,1.0385535460954998e-05,1.0385491805209313e-05,1.0385446330474224e-05,1.0385402674728539e-05,1.0385358109488152e-05,1.0385313544247765e-05,1.0385268979007378e-05,1.0385225323261693e-05,1.0385181667516008e-05,1.0385135283286218e-05,1.038509071804583e-05
encoder.layers.0.scale_forward.bias,2.648500867508119e-06,2.648499275892391e-06,2.6484976842766628e-06,2.64849632003461e-06,2.6484949557925574e-06,2.6484933641768293e-06,2.6484919999347767e-06,2.648490635692724e-06,2.6484888167033205e-06,2.6484876798349433e-06,2.648486088219215e-06,2.648484496603487e-06,2.6484831323614344e-06,2.6484817681193817e-06,2.6484801765036536e-06,2.6484785848879255e-06,2.6484769932721974e-06,2.6484754016564693e-06,2.648474264788092e-06,2.648472673172364e-06
encoder.layers.0.back_edge.weight,3.53850336978212e-05,3.5384702641749755e-05,3.53843679476995e-05,3.5384040529606864e-05,3.538370947353542e-05,3.5383374779485166e-05,3.538304372341372e-05,3.538270902936347e-05,3.5382374335313216e-05,3.538204327924177e-05,3.538170858519152e-05,3.538137752912007e-05,3.538104283506982e-05,3.538070814101957e-05,3.5380373446969315e-05,3.538004239089787e-05,3.537970769684762e-05,3.5379373002797365e-05,3.537903830874711e-05,3.537870361469686e-05
encoder.layers.0.back_edge.bias,9.52427762968e-06,9.524265806248877e-06,9.524255801807158e-06,9.524243978376035e-06,9.524233973934315e-06,9.524222150503192e-06,9.524213055556174e-06,9.524201232125051e-06,9.524191227683332e-06,9.52418031374691e-06,9.52416939981049e-06,9.524158485874068e-06,9.524147571937647e-06,9.524135748506524e-06,9.524123015580699e-06,9.524113920633681e-06,9.524101187707856e-06,9.524091183266137e-06,9.524080269329716e-06,9.524069355393294e-06
encoder.layers.0.scale_back.weight,8.019530469027814e-06,8.019488632271532e-06,8.019448614504654e-06,8.01940586825367e-06,8.019364031497389e-06,8.01932310423581e-06,8.019281267479528e-06,8.019239430723246e-06,8.019197593966965e-06,8.019155757210683e-06,8.019113920454402e-06,8.019071174203418e-06,8.019030246941838e-06,8.018987500690855e-06,8.018946573429275e-06,8.018903827178292e-06,8.018861080927309e-06,8.018819244171027e-06,8.018777407414746e-06,8.018735570658464e-06
encoder.layers.0.scale_back.bias,3.286676019342849e-06,3.286674427727121e-06,3.2866730634850683e-06,3.286671926616691e-06,3.286670335000963e-06,3.286668743385235e-06,3.286667379143182e-06,3.2866655601537786e-06,3.286664195911726e-06,3.286662604295998e-06,3.2866614674276207e-06,3.2866598758118926e-06,3.28665851156984e-06,3.286656919954112e-06,3.2866553283383837e-06,3.286653964096331e-06,3.286652372480603e-06,3.286650780864875e-06,3.2866491892491467e-06,3.2866480523807695e-06
encoder.layers.1.self_connection.weight,3.5612927604233846e-05,3.5612778447102755e-05,3.561263292795047e-05,3.561248377081938e-05,3.56123382516671e-05,3.5612192732514814e-05,3.561204357538372e-05,3.561189805623144e-05,3.5611752537079155e-05,3.561160701792687e-05,3.561146149877459e-05,3.56113123416435e-05,3.5611166822491214e-05,3.561101766536012e-05,3.561086850822903e-05,3.561071935109794e-05,3.561057383194566e-05,3.561042467481457e-05,3.561027915566228e-05,3.561012999853119e-05
encoder.layers.1.self_connection.bias,4.7586445361957885e-06,4.75863998872228e-06,4.75863498650142e-06,4.758630439027911e-06,4.758625436807051e-06,4.7586208893335424e-06,4.758615887112683e-06,4.758611339639174e-06,4.758605882670963e-06,4.758601789944805e-06,4.7585963329765946e-06,4.758592240250437e-06,4.758586783282226e-06,4.758582235808717e-06,4.758577233587857e-06,4.7585726861143485e-06,4.75856813864084e-06,4.758562681672629e-06,4.75855813419912e-06,4.758553586725611e-06
encoder.layers.1.scale_self_conn.weight,9.941833923221566e-06,9.941742064256687e-06,9.941652024281211e-06,9.941560165316332e-06,9.941468306351453e-06,9.941376447386574e-06,9.941285497916397e-06,9.941193638951518e-06,9.941101779986639e-06,9.941009011527058e-06,9.940918971551582e-06,9.940827112586703e-06,9.940734344127122e-06,9.940641575667541e-06,9.940550626197364e-06,9.940457857737783e-06,9.940365998772904e-06,9.940273230313323e-06,9.940181371348444e-06,9.940088602888864e-06
encoder.layers.1.scale_self_conn.bias,2.5501449272269383e-06,2.5501435629848856e-06,2.5501419713691575e-06,2.5501408345007803e-06,2.5501390155113768e-06,2.550137651269324e-06,2.5501358322799206e-06,2.550134468037868e-06,2.5501331037958153e-06,2.550131512180087e-06,2.5501301479380345e-06,2.5501285563223064e-06,2.5501271920802537e-06,2.55012537309085e-06,2.550124236222473e-06,2.550122644606745e-06,2.550121280364692e-06,2.550119688748964e-06,2.550118097133236e-06,2.550116505517508e-06
encoder.layers.1.forward_edge.weight,3.357885725563392e-05,3.3578715374460444e-05,3.357857349328697e-05,3.3578427974134684e-05,3.35782824549824e-05,3.357814057380892e-05,3.357799869263545e-05,3.3577849535504356e-05,3.357770401635207e-05,3.3577562135178596e-05,3.357741661602631e-05,3.357727109687403e-05,3.357712921570055e-05,3.3576987334527075e-05,3.3576838177395985e-05,3.357669629622251e-05,3.357654713909142e-05,3.357640889589675e-05,3.357625973876566e-05,3.357611421961337e-05
encoder.layers.1.forward_edge.bias,5.807836259918986e-06,5.807830348203424e-06,5.807824436487863e-06,5.8078180700249504e-06,5.80781261305674e-06,5.807806246593827e-06,5.807800334878266e-06,5.807794423162704e-06,5.807789420941845e-06,5.807782599731581e-06,5.80777668801602e-06,5.807770776300458e-06,5.807764409837546e-06,5.807758952869335e-06,5.807753041153774e-06,5.807746674690861e-06,5.807741217722651e-06,5.807734851259738e-06,5.8077293942915276e-06,5.807723027828615e-06
encoder.layers.1.scale_forward.weight,9.150342521024868e-06,9.150217920250725e-06,9.150095138465986e-06,9.149972356681246e-06,9.149846846412402e-06,9.14972315513296e-06,9.149600373348221e-06,9.149475772574078e-06,9.149352081294637e-06,9.149226571025793e-06,9.149103789241053e-06,9.14897918846691e-06,9.148854587692767e-06,9.148730896413326e-06,9.148606295639183e-06,9.148482604359742e-06,9.148357094090898e-06,9.148233402811456e-06,9.148107892542612e-06,9.14798420126317e-06
encoder.layers.1.scale_forward.bias,2.081203547277255e-06,2.0812021830352023e-06,2.0812012735405006e-06,2.0812001366721233e-06,2.081198999803746e-06,2.0811976355616935e-06,2.0811967260669917e-06,2.0811951344512636e-06,2.081194224956562e-06,2.0811930880881846e-06,2.081191723846132e-06,2.0811905869777547e-06,2.0811894501093775e-06,2.0811883132410003e-06,2.0811869489989476e-06,2.0811858121305704e-06,2.081184675262193e-06,2.081183538393816e-06,2.081181946778088e-06,2.081181037283386e-06
encoder.layers.1.back_edge.weight,3.304682104499079e-05,3.304668280179612e-05,3.304653728264384e-05,3.3046391763491556e-05,3.3046253520296887e-05,3.304611163912341e-05,3.3045969757949933e-05,3.304582787677646e-05,3.304568235762417e-05,3.3045540476450697e-05,3.304539859527722e-05,3.3045253076124936e-05,3.304510755697265e-05,3.304496931377798e-05,3.304482015664689e-05,3.3044678275473416e-05,3.304453275632113e-05,3.3044390875147656e-05,3.304424899397418e-05,3.3044103474821895e-05
encoder.layers.1.back_edge.bias,5.479363153426675e-06,5.479358151205815e-06,5.479352239490254e-06,5.479346782522043e-06,5.4793413255538326e-06,5.479336323332973e-06,5.479330411617411e-06,5.47932449990185e-06,5.479319042933639e-06,5.479313131218078e-06,5.479307674249867e-06,5.479302217281656e-06,5.479296760313446e-06,5.479290848597884e-06,5.4792853916296735e-06,5.479280389408814e-06,5.479274477693252e-06,5.479269020725042e-06,5.47926310900948e-06,5.479257197293919e-06
encoder.layers.1.scale_back.weight,8.503875505994074e-06,8.503738172294106e-06,8.503599929099437e-06,8.503461685904767e-06,8.503323442710098e-06,8.503184290020727e-06,8.503046956320759e-06,8.502909622620791e-06,8.50277046993142e-06,8.50263222673675e-06,8.502493983542081e-06,8.502355740347411e-06,8.502217497152742e-06,8.502079253958073e-06,8.501940101268701e-06,8.501801858074032e-06,8.50166270538466e-06,8.50152355269529e-06,8.50138530950062e-06,8.501246156811249e-06
encoder.layers.1.scale_back.bias,2.5255312721128576e-06,2.525529907870805e-06,2.5255287710024277e-06,2.525527406760375e-06,2.525526269891998e-06,2.5255251330236206e-06,2.5255239961552434e-06,2.525522859286866e-06,2.525521722418489e-06,2.5255203581764363e-06,2.525519221308059e-06,2.525518084439682e-06,2.5255169475713046e-06,2.5255158107029274e-06,2.52551467383455e-06,2.5255133095924975e-06,2.5255121727241203e-06,2.525511035855743e-06,2.525509898987366e-06,2.5255085347453132e-06
