layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.708450822159648e-05,3.7081259506521747e-05,3.707799987751059e-05,3.7074743886478245e-05,3.70714878954459e-05,3.706823190441355e-05,3.7064975913381204e-05,3.706171264639124e-05,3.705845301738009e-05,3.705519702634774e-05,3.705193739733659e-05,3.704867776832543e-05,3.704541450133547e-05,3.7042147596366704e-05,3.703888796735555e-05,3.703562106238678e-05,3.703235779539682e-05,3.702909089042805e-05,3.702582398545928e-05,3.702255344251171e-05
encoder.layers.0.self_connection.bias,8.624556357972324e-06,8.62404158397112e-06,8.623524990980513e-06,8.623008397989906e-06,8.622489986009896e-06,8.62197430251399e-06,8.62145589053398e-06,8.620938388048671e-06,8.62041997606866e-06,8.61990156408865e-06,8.619384061603341e-06,8.618864740128629e-06,8.618344509159215e-06,8.617825187684502e-06,8.617306775704492e-06,8.616785635240376e-06,8.61626449477626e-06,8.615745173301548e-06,8.615224032837432e-06,8.614702892373316e-06
encoder.layers.0.scale_self_conn.weight,7.349486168095609e-06,7.349323823291343e-06,7.349162387981778e-06,7.348999588430161e-06,7.348837243625894e-06,7.348674444074277e-06,7.3485116445226595e-06,7.348348844971042e-06,7.348185590672074e-06,7.3480227911204565e-06,7.3478586273267865e-06,7.347695373027818e-06,7.347531663981499e-06,7.34736795493518e-06,7.347203336394159e-06,7.34703962734784e-06,7.34687546355417e-06,7.346710845013149e-06,7.346545771724777e-06,7.346381607931107e-06
encoder.layers.0.scale_self_conn.bias,2.9573361643997487e-06,2.9573197934951168e-06,2.957303422590485e-06,2.9572868243121775e-06,2.957270680781221e-06,2.9572540825029137e-06,2.9572377115982817e-06,2.9572215680673253e-06,2.9572051971626934e-06,2.9571883715107106e-06,2.957172227979754e-06,2.9571554023277713e-06,2.9571394861704903e-06,2.957122887892183e-06,2.9571062896138756e-06,2.9570892365882173e-06,2.9570728656835854e-06,2.957055812657927e-06,2.9570394417532953e-06,2.9570226161013125e-06
encoder.layers.0.forward_edge.weight,3.851198925985955e-05,3.850886059808545e-05,3.850572829833254e-05,3.850260691251606e-05,3.849947825074196e-05,3.849634595098905e-05,3.849322456517257e-05,3.849009590339847e-05,3.848697087960318e-05,3.8483845855807886e-05,3.848071719403379e-05,3.8477592170238495e-05,3.84744671464432e-05,3.847134576062672e-05,3.846822073683143e-05,3.8465095713036135e-05,3.8461967051262036e-05,3.845884566544555e-05,3.845572064165026e-05,3.8452599255833775e-05
encoder.layers.0.forward_edge.bias,8.285252988571301e-06,8.284866453323048e-06,8.284479008580092e-06,8.284092473331839e-06,8.283704119094182e-06,8.283316674351227e-06,8.28292832011357e-06,8.282540875370614e-06,8.282151611638255e-06,8.281762347905897e-06,8.281373084173538e-06,8.280983820441179e-06,8.28059455670882e-06,8.28020438348176e-06,8.279814210254699e-06,8.279423127532937e-06,8.279032044811174e-06,8.278640962089412e-06,8.278248969872948e-06,8.277857887151185e-06
encoder.layers.0.scale_forward.weight,1.3568627764470875e-05,1.3567913811129984e-05,1.3567199857789092e-05,1.3566484085458796e-05,1.3565769222623203e-05,1.3565053450292908e-05,1.3564335858973209e-05,1.3563619177148212e-05,1.356289976683911e-05,1.3562181266024709e-05,1.3561461855715606e-05,1.3560742445406504e-05,1.3560021216107998e-05,1.3559299986809492e-05,1.3558576938521583e-05,1.3557854799728375e-05,1.3557131751440465e-05,1.3556408703152556e-05,1.3555682926380541e-05,1.355495896859793e-05
encoder.layers.0.scale_forward.bias,2.2778140191803686e-06,2.2778001493861666e-06,2.2777867343393154e-06,2.2777728645451134e-06,2.2777594494982623e-06,2.2777458070777357e-06,2.2777319372835336e-06,2.2777180674893316e-06,2.2777046524424804e-06,2.277690555274603e-06,2.277677140227752e-06,2.2776632704335498e-06,2.277649628013023e-06,2.277635758218821e-06,2.2776221157982945e-06,2.2776082460040925e-06,2.2775943762098905e-06,2.2775805064156884e-06,2.2775666366214864e-06,2.2775527668272844e-06
encoder.layers.0.back_edge.weight,3.8279260479612276e-05,3.8275658880593255e-05,3.827205364359543e-05,3.8268452044576406e-05,3.826485408353619e-05,3.826125248451717e-05,3.825765088549815e-05,3.825405292445794e-05,3.8250454963417724e-05,3.82468533643987e-05,3.824325176537968e-05,3.8239646528381854e-05,3.823605220532045e-05,3.823244696832262e-05,3.8228849007282406e-05,3.822525104624219e-05,3.822164944722317e-05,3.821805148618296e-05,3.821444624918513e-05,3.821085192612372e-05
encoder.layers.0.back_edge.bias,9.568198038323317e-06,9.567876986693591e-06,9.567555025569163e-06,9.567233064444736e-06,9.566912922309712e-06,9.566590051690582e-06,9.566269000060856e-06,9.565947038936429e-06,9.5656241683173e-06,9.56530129769817e-06,9.56497842707904e-06,9.564657375449315e-06,9.564334504830185e-06,9.564010724716354e-06,9.563687854097225e-06,9.563364073983394e-06,9.563041203364264e-06,9.562717423250433e-06,9.562393643136602e-06,9.562068953528069e-06
encoder.layers.0.scale_back.weight,1.0769746950245462e-05,1.0769246728159487e-05,1.0768746506073512e-05,1.0768246283987537e-05,1.0767744242912158e-05,1.0767244930320885e-05,1.0766741979750805e-05,1.0766239938675426e-05,1.0765736988105346e-05,1.0765234037535265e-05,1.0764730177470483e-05,1.07642263174057e-05,1.0763721547846217e-05,1.0763216778286733e-05,1.0762712008727249e-05,1.0762206329673063e-05,1.0761699741124175e-05,1.076119406206999e-05,1.0760684745036997e-05,1.076017815648811e-05
encoder.layers.0.scale_back.bias,3.264384986323421e-06,3.2643656595610082e-06,3.264345650677569e-06,3.264326096541481e-06,3.264306087658042e-06,3.2642867608956294e-06,3.2642667520121904e-06,3.264246515755076e-06,3.264226506871637e-06,3.264206952735549e-06,3.26418694385211e-06,3.2641667075949954e-06,3.264146926085232e-06,3.2641266898281174e-06,3.2641071356920293e-06,3.264086899434915e-06,3.2640671179251513e-06,3.2640466542943614e-06,3.2640271001582732e-06,3.264006863901159e-06
encoder.layers.1.self_connection.weight,3.5921264498028904e-05,3.591840868466534e-05,3.591555287130177e-05,3.59126970579382e-05,3.590983760659583e-05,3.590698179323226e-05,3.5904125979868695e-05,3.590127016650513e-05,3.5898410715162754e-05,3.589555490179919e-05,3.589269545045681e-05,3.588984327507205e-05,3.5886987461708486e-05,3.588413164834492e-05,3.588127583498135e-05,3.587841638363898e-05,3.587556420825422e-05,3.5872704756911844e-05,3.5869852581527084e-05,3.586699313018471e-05
encoder.layers.1.self_connection.bias,4.129150511289481e-06,4.129105491301743e-06,4.129060016566655e-06,4.129014996578917e-06,4.128969976591179e-06,4.1289245018560905e-06,4.128879027121002e-06,4.128833552385913e-06,4.1287885323981754e-06,4.128743057663087e-06,4.128697582927998e-06,4.128651653445559e-06,4.12860617871047e-06,4.1285602492280304e-06,4.128514774492942e-06,4.128469299757853e-06,4.128423370275414e-06,4.128377440792974e-06,4.1283319660578854e-06,4.128286036575446e-06
encoder.layers.1.scale_self_conn.weight,1.0436455340823159e-05,1.0434236173750833e-05,1.0432019735162612e-05,1.0429808753542602e-05,1.0427602319396101e-05,1.0425400432723109e-05,1.0423204003018327e-05,1.0421011211292353e-05,1.0418823876534589e-05,1.0416641089250334e-05,1.0414462849439587e-05,1.041228915710235e-05,1.0410120921733323e-05,1.0407957233837806e-05,1.0405797183921095e-05,1.0403641681477893e-05,1.0401492545497604e-05,1.039934613800142e-05,1.0397205187473446e-05,1.0395068784418982e-05
encoder.layers.1.scale_self_conn.bias,2.806892325679655e-06,2.80686913356476e-06,2.80684616882354e-06,2.806823431455996e-06,2.806800466714776e-06,2.8067775019735564e-06,2.8067545372323366e-06,2.8067317998647923e-06,2.806709062497248e-06,2.8066858703823527e-06,2.8066631330148084e-06,2.8066401682735886e-06,2.8066169761586934e-06,2.8065940114174737e-06,2.806570591928903e-06,2.806547399814008e-06,2.806523980325437e-06,2.8065010155842174e-06,2.8064775960956467e-06,2.806454176607076e-06
