layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,5.401706584962085e-05,5.4015956266084686e-05,5.4014843044569716e-05,5.4013729823054746e-05,5.4012616601539776e-05,5.4011499742046e-05,5.401038652053103e-05,5.400927329901606e-05,5.400816007750109e-05,5.400704321800731e-05,5.4005926358513534e-05,5.400480949901976e-05,5.400368900154717e-05,5.4002572142053396e-05,5.400145164458081e-05,5.400033114710823e-05,5.399921428761445e-05,5.399809015216306e-05,5.399697329266928e-05,5.399584915721789e-05
encoder.layers.0.self_connection.bias,8.386997251363937e-06,8.386961781070568e-06,8.386925401282497e-06,8.386889930989128e-06,8.386853551201057e-06,8.386817171412986e-06,8.386780791624915e-06,8.386744411836844e-06,8.386708941543475e-06,8.386672561755404e-06,8.386637091462035e-06,8.386600711673964e-06,8.386565241380595e-06,8.386528861592524e-06,8.386492481804453e-06,8.386456102016382e-06,8.386420631723013e-06,8.386384251934942e-06,8.386347872146871e-06,8.386310582864098e-06
encoder.layers.0.scale_self_conn.weight,1.3392304026638158e-05,1.3392200344242156e-05,1.3392096661846153e-05,1.3391993888944853e-05,1.3391891116043553e-05,1.339178743364755e-05,1.339168466074625e-05,1.339158188784495e-05,1.3391478205448948e-05,1.3391375432547648e-05,1.3391271750151645e-05,1.3391168977250345e-05,1.3391065294854343e-05,1.339096161245834e-05,1.339085883955704e-05,1.3390755157161038e-05,1.3390651474765036e-05,1.3390547792369034e-05,1.3390444109973032e-05,1.3390339518082328e-05
encoder.layers.0.scale_self_conn.bias,4.443955731403548e-06,4.443949819687987e-06,4.443943907972425e-06,4.443938451004215e-06,4.443933448783355e-06,4.443927082320442e-06,4.443921625352232e-06,4.443916168384021e-06,4.443909801921109e-06,4.443904344952898e-06,4.4438988879846875e-06,4.443893431016477e-06,4.443887519300915e-06,4.443881607585354e-06,4.443876150617143e-06,4.4438706936489325e-06,4.44386432718602e-06,4.4438588702178095e-06,4.443853413249599e-06,4.443847501534037e-06
encoder.layers.0.forward_edge.weight,3.512010880513117e-05,3.5118722735205665e-05,3.511734030325897e-05,3.5115957871312276e-05,3.5114571801386774e-05,3.511318936944008e-05,3.511180329951458e-05,3.511041359161027e-05,3.5109027521684766e-05,3.510763781378046e-05,3.5106251743854955e-05,3.510486567392945e-05,3.510347960400395e-05,3.5102086258120835e-05,3.5100696550216526e-05,3.509930320433341e-05,3.5097909858450294e-05,3.509651651256718e-05,3.509512316668406e-05,3.5093729820800945e-05
encoder.layers.0.forward_edge.bias,8.197568604373373e-06,8.197534953069407e-06,8.197501301765442e-06,8.197468559956178e-06,8.197434908652212e-06,8.197402166842949e-06,8.197368515538983e-06,8.197334864235017e-06,8.197302122425754e-06,8.19726938061649e-06,8.197234819817822e-06,8.197201168513857e-06,8.197169336199295e-06,8.197134775400627e-06,8.197101124096662e-06,8.197067472792696e-06,8.197034730983432e-06,8.197001079679467e-06,8.196967428375501e-06,8.196933777071536e-06
encoder.layers.0.scale_forward.weight,1.0479274351382628e-05,1.0479006959940307e-05,1.0478740477992687e-05,1.0478473086550366e-05,1.0478204785613343e-05,1.0477937394171022e-05,1.04776700027287e-05,1.0477401701791678e-05,1.0477132491359953e-05,1.0476865099917632e-05,1.0476596798980609e-05,1.0476329407538287e-05,1.0476060197106563e-05,1.047579189616954e-05,1.0475523595232517e-05,1.0475254384800792e-05,1.0474984264874365e-05,1.047471505444264e-05,1.0474446753505617e-05,1.047417663357919e-05
encoder.layers.0.scale_forward.bias,1.7933004983206047e-06,1.7932972014023107e-06,1.7932940181708545e-06,1.7932907212525606e-06,1.7932874243342667e-06,1.7932841274159728e-06,1.7932808304976788e-06,1.793277533579385e-06,1.793274236661091e-06,1.793270939742797e-06,1.7932677565113408e-06,1.7932643459062092e-06,1.7932610489879153e-06,1.793257865756459e-06,1.7932544551513274e-06,1.7932512719198712e-06,1.7932479750015773e-06,1.793244791770121e-06,1.7932413811649894e-06,1.7932380842466955e-06
encoder.layers.0.back_edge.weight,3.7435893318615854e-05,3.7434452679008245e-05,3.743300840142183e-05,3.743157139979303e-05,3.7430123484227806e-05,3.74286828446202e-05,3.742723856703378e-05,3.742578701348975e-05,3.742434273590334e-05,3.7422894820338115e-05,3.742144690477289e-05,3.741999898920767e-05,3.741854743566364e-05,3.741709952009842e-05,3.7415651604533195e-05,3.7414200050989166e-05,3.741274485946633e-05,3.74112933059223e-05,3.740983811439946e-05,3.740838656085543e-05
encoder.layers.0.back_edge.bias,7.471852313756244e-06,7.471813205484068e-06,7.471774097211892e-06,7.471735898434417e-06,7.47169633541489e-06,7.471657227142714e-06,7.471618118870538e-06,7.471579465345712e-06,7.471540357073536e-06,7.471500794054009e-06,7.471461685781833e-06,7.4714230322570074e-06,7.47138346923748e-06,7.471344815712655e-06,7.471305252693128e-06,7.471265689673601e-06,7.471226126654074e-06,7.471187473129248e-06,7.471148364857072e-06,7.471109256584896e-06
