layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,2.9989287213538773e-05,2.9988728783791885e-05,2.9988168535055593e-05,2.9987606467329897e-05,2.9987051675561816e-05,2.998648960783612e-05,2.998593481606804e-05,2.9985372748342343e-05,2.998481249960605e-05,2.9984254069859162e-05,2.998369382112287e-05,2.9983137210365385e-05,2.9982576961629093e-05,2.99820167128928e-05,2.9981460102135316e-05,2.998089803440962e-05,2.998033960466273e-05,2.997977935592644e-05,2.997922092617955e-05,2.9978658858453855e-05
encoder.layers.0.self_connection.bias,8.585070645494852e-06,8.584949682699516e-06,8.58482871990418e-06,8.584708666603547e-06,8.58458770380821e-06,8.584466741012875e-06,8.58434577821754e-06,8.584224815422203e-06,8.58410476212157e-06,8.583983799326234e-06,8.583862836530898e-06,8.583741873735562e-06,8.583621820434928e-06,8.583500857639592e-06,8.583379894844256e-06,8.58325893204892e-06,8.583137969253585e-06,8.583016096963547e-06,8.582895134168211e-06,8.582774171372876e-06
encoder.layers.0.scale_self_conn.weight,6.661812676611589e-06,6.661784027528483e-06,6.661754014203325e-06,6.661725365120219e-06,6.6616958065424114e-06,6.661666702711955e-06,6.661637144134147e-06,6.661607130808989e-06,6.661577572231181e-06,6.661548468400724e-06,6.661518455075566e-06,6.661489351245109e-06,6.6614593379199505e-06,6.661429324594792e-06,6.6613993112696335e-06,6.661369752691826e-06,6.661339739366667e-06,6.661309726041509e-06,6.66127971271635e-06,6.66124878989649e-06
encoder.layers.0.scale_self_conn.bias,2.16776288652909e-06,2.167761977034388e-06,2.1677612949133618e-06,2.16776038541866e-06,2.1677594759239582e-06,2.1677585664292565e-06,2.1677576569345547e-06,2.167756747439853e-06,2.167755837945151e-06,2.1677549284504494e-06,2.1677540189557476e-06,2.1677533368347213e-06,2.1677524273400195e-06,2.1677512904716423e-06,2.1677503809769405e-06,2.1677494714822387e-06,2.167748561987537e-06,2.167747652492835e-06,2.1677467429981334e-06,2.1677458335034316e-06
encoder.layers.0.forward_edge.weight,2.8246531655895524e-05,2.824575494742021e-05,2.8244976419955492e-05,2.8244199711480178e-05,2.824342118401546e-05,2.8242644475540146e-05,2.8241869586054236e-05,2.8241094696568325e-05,2.8240314350114204e-05,2.823953764163889e-05,2.823876275215298e-05,2.8237986043677665e-05,2.823720933520235e-05,2.8236430807737634e-05,2.8235655918251723e-05,2.823487920977641e-05,2.823410068231169e-05,2.8233323973836377e-05,2.823254544637166e-05,2.8231772375875153e-05
encoder.layers.0.forward_edge.bias,8.069178875302896e-06,8.068982424447313e-06,8.068785064097028e-06,8.068587703746744e-06,8.068390343396459e-06,8.068193892540876e-06,8.067996532190591e-06,8.067799171840306e-06,8.067601811490022e-06,8.067404451139737e-06,8.067207090789452e-06,8.06701063993387e-06,8.066812370088883e-06,8.0666159192333e-06,8.066418558883015e-06,8.066220289038029e-06,8.066022928687744e-06,8.065825568337459e-06,8.065629117481876e-06,8.06543084763689e-06
encoder.layers.0.scale_forward.weight,6.369499260472367e-06,6.369414677465102e-06,6.369329639710486e-06,6.369245056703221e-06,6.369160473695956e-06,6.369075890688691e-06,6.368991307681426e-06,6.3689067246741615e-06,6.3688225964142475e-06,6.368738013406983e-06,6.368653430399718e-06,6.368568392645102e-06,6.368484264385188e-06,6.368399681377923e-06,6.368315098370658e-06,6.368230970110744e-06,6.368146387103479e-06,6.368061349348864e-06,6.36797722108895e-06,6.367892638081685e-06
encoder.layers.0.scale_forward.bias,1.5270611584128346e-06,1.527060589978646e-06,1.5270600215444574e-06,1.5270594531102688e-06,1.5270588846760802e-06,1.5270582025550539e-06,1.5270575204340275e-06,1.527056951999839e-06,1.5270562698788126e-06,1.527055701444624e-06,1.5270550193235977e-06,1.5270545645762468e-06,1.5270539961420582e-06,1.5270534277078696e-06,1.5270526319000055e-06,1.527052063465817e-06,1.527051608718466e-06,1.5270510402842774e-06,1.527050358163251e-06,1.5270497897290625e-06
encoder.layers.0.back_edge.weight,2.7302497983328067e-05,2.730171399889514e-05,2.7300931833451614e-05,2.7300151486997493e-05,2.729937114054337e-05,2.7298588975099847e-05,2.7297806809656322e-05,2.72970264632022e-05,2.7296244297758676e-05,2.7295463951304555e-05,2.7294679966871627e-05,2.7293897801428102e-05,2.729311745497398e-05,2.7292335289530456e-05,2.729155312408693e-05,2.729077277763281e-05,2.7289990612189285e-05,2.7289210265735164e-05,2.7288426281302236e-05,2.728764411585871e-05
encoder.layers.0.back_edge.bias,8.23317895992659e-06,8.233108019339852e-06,8.233036169258412e-06,8.232964319176972e-06,8.232893378590234e-06,8.232823347498197e-06,8.232752406911459e-06,8.23268146632472e-06,8.23260961624328e-06,8.232539585151244e-06,8.232468644564506e-06,8.232397703977767e-06,8.232327672885731e-06,8.23225582280429e-06,8.232184882217553e-06,8.232115760620218e-06,8.232043910538778e-06,8.231973879446741e-06,8.231902938860003e-06,8.231831998273265e-06
encoder.layers.0.scale_back.weight,5.417756256065331e-06,5.417661213868996e-06,5.417566626420012e-06,5.417472038971027e-06,5.417377451522043e-06,5.417282864073059e-06,5.417188276624074e-06,5.417093234427739e-06,5.4169986469787546e-06,5.416903604782419e-06,5.416808562586084e-06,5.4167144298844505e-06,5.416618932940764e-06,5.41652434549178e-06,5.416429758042796e-06,5.41633471584646e-06,5.416239673650125e-06,5.416145086201141e-06,5.416050044004805e-06,5.41595500180847e-06
encoder.layers.0.scale_back.bias,2.287348024765379e-06,2.287347115270677e-06,2.2873459784023e-06,2.287345068907598e-06,2.2873441594128963e-06,2.287343022544519e-06,2.287341885676142e-06,2.2873407488077646e-06,2.2873400666867383e-06,2.287338929818361e-06,2.287337792949984e-06,2.287336883455282e-06,2.287335746586905e-06,2.2873350644658785e-06,2.287333700223826e-06,2.2873325633554487e-06,2.2873314264870714e-06,2.2873302896186942e-06,2.287329607497668e-06,2.2873284706292907e-06
