layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,2.9966869988129474e-05,2.996658622578252e-05,2.996630792040378e-05,2.9966024158056825e-05,2.9965740395709872e-05,2.9965460271341726e-05,2.9965176508994773e-05,2.9964894565637223e-05,2.9964614441269077e-05,2.996432885993272e-05,2.9964045097585768e-05,2.996376497321762e-05,2.9963479391881265e-05,2.996319562953431e-05,2.9962913686176762e-05,2.9962626285851002e-05,2.996234252350405e-05,2.9962056942167692e-05,2.9961774998810142e-05,2.9961487598484382e-05
encoder.layers.0.self_connection.bias,8.580220310250297e-06,8.580159374105278e-06,8.58009843796026e-06,8.580036592320539e-06,8.579976565670222e-06,8.579914720030501e-06,8.579852874390781e-06,8.579792847740464e-06,8.579730092606042e-06,8.579669156461023e-06,8.579607310821302e-06,8.579545465181582e-06,8.579484529036563e-06,8.579422683396842e-06,8.579361747251824e-06,8.579299901612103e-06,8.579238055972382e-06,8.57917530083796e-06,8.579114364692941e-06,8.579051609558519e-06
encoder.layers.0.scale_self_conn.weight,6.660605777142337e-06,6.6605898609850556e-06,6.660574854322476e-06,6.660559392912546e-06,6.660543476755265e-06,6.660527560597984e-06,6.660511644440703e-06,6.660496183030773e-06,6.660480721620843e-06,6.660464350716211e-06,6.660448889306281e-06,6.660432973149e-06,6.660416602244368e-06,6.660401140834438e-06,6.660384769929806e-06,6.660368853772525e-06,6.660353392362595e-06,6.660337021457963e-06,6.660320650553331e-06,6.66030473439605e-06
encoder.layers.0.scale_self_conn.bias,2.1677262793673435e-06,2.1677258246199926e-06,2.1677253698726417e-06,2.167724915125291e-06,2.16772446037794e-06,2.167724005630589e-06,2.167723550883238e-06,2.1677230961358873e-06,2.1677226413885364e-06,2.167722414014861e-06,2.1677217318938347e-06,2.1677215045201592e-06,2.167720822399133e-06,2.167720367651782e-06,2.1677201402781066e-06,2.1677194581570802e-06,2.1677192307834048e-06,2.1677185486623785e-06,2.167718321288703e-06,2.167717866541352e-06
encoder.layers.0.forward_edge.weight,2.8215417842147872e-05,2.8215030397404917e-05,2.8214641133672558e-05,2.8214248231961392e-05,2.8213858968229033e-05,2.8213466066517867e-05,2.8213074983796105e-05,2.8212685720063746e-05,2.821229281835258e-05,2.821190355462022e-05,2.8211510652909055e-05,2.821111775119789e-05,2.8210726668476127e-05,2.821033376676496e-05,2.8209939046064392e-05,2.8209546144353226e-05,2.820915324264206e-05,2.820875852194149e-05,2.820836380124092e-05,2.8207970899529755e-05
encoder.layers.0.forward_edge.bias,8.061269909376279e-06,8.061170774453785e-06,8.061071639531292e-06,8.060971595114097e-06,8.060871550696902e-06,8.060771506279707e-06,8.060672371357214e-06,8.060572326940019e-06,8.060474101512227e-06,8.06037314760033e-06,8.060273103183135e-06,8.06017305876594e-06,8.060073014348745e-06,8.05997296993155e-06,8.059873835009057e-06,8.05977288109716e-06,8.059672836679965e-06,8.059571882768068e-06,8.059470928856172e-06,8.059370884438977e-06
encoder.layers.0.scale_forward.weight,6.36611548543442e-06,6.366072739183437e-06,6.366029992932454e-06,6.365987701428821e-06,6.365944955177838e-06,6.3659026636742055e-06,6.365860372170573e-06,6.36581762591959e-06,6.3657748796686064e-06,6.365732588164974e-06,6.365689841913991e-06,6.3656466409156565e-06,6.365604349412024e-06,6.36556114841369e-06,6.365518856910057e-06,6.365476565406425e-06,6.365433364408091e-06,6.365390618157107e-06,6.365347871906124e-06,6.365305125655141e-06
encoder.layers.0.scale_forward.bias,1.5270339872586192e-06,1.5270337598849437e-06,1.5270334188244306e-06,1.5270331914507551e-06,1.5270330777639174e-06,1.5270327367034042e-06,1.5270325093297288e-06,1.5270321682692156e-06,1.5270319408955402e-06,1.5270314861481893e-06,1.5270311450876761e-06,1.5270309177140007e-06,1.5270305766534875e-06,1.5270302355929743e-06,1.527030008219299e-06,1.5270296671587857e-06,1.5270294397851103e-06,1.5270290987245971e-06,1.527028757664084e-06,1.5270285302904085e-06
encoder.layers.0.back_edge.weight,2.727119681367185e-05,2.7270805730950087e-05,2.727041282923892e-05,2.727002174651716e-05,2.7269628844805993e-05,2.7269235943094827e-05,2.726884304138366e-05,2.7268450139672495e-05,2.7268053599982522e-05,2.7267658879281953e-05,2.7267265977570787e-05,2.726687307585962e-05,2.7266474717180245e-05,2.726608181546908e-05,2.726568709476851e-05,2.7265290555078536e-05,2.7264894015388563e-05,2.7264499294687994e-05,2.726410275499802e-05,2.7263704396318644e-05
encoder.layers.0.back_edge.bias,8.23035225039348e-06,8.230316780100111e-06,8.230281309806742e-06,8.230246749008074e-06,8.230212188209407e-06,8.230176717916038e-06,8.230141247622669e-06,8.230104867834598e-06,8.230072126025334e-06,8.230035746237263e-06,8.230000275943894e-06,8.229965715145227e-06,8.229929335357156e-06,8.229894774558488e-06,8.229860213759821e-06,8.22982383397175e-06,8.229789273173083e-06,8.229752893385012e-06,8.229717423091643e-06,8.229682862292975e-06
encoder.layers.0.scale_back.weight,5.413953658717219e-06,5.413906364992727e-06,5.413858161773533e-06,5.4138104133016896e-06,5.4137626648298465e-06,5.4137144616106525e-06,5.41366716788616e-06,5.4136185099196155e-06,5.413570761447772e-06,5.413522558228578e-06,5.413475264504086e-06,5.413426606537541e-06,5.4133779485709965e-06,5.4133297453518026e-06,5.41328245162731e-06,5.4132337936607655e-06,5.413185135694221e-06,5.413136932475027e-06,5.413088274508482e-06,5.413040526036639e-06
encoder.layers.0.scale_back.bias,2.28730505114072e-06,2.2873043690196937e-06,2.287303914272343e-06,2.287303004777641e-06,2.28730255003029e-06,2.287301867909264e-06,2.2873011857882375e-06,2.2873007310408866e-06,2.2873000489198603e-06,2.2872995941725094e-06,2.287298912051483e-06,2.2872982299304567e-06,2.287297775183106e-06,2.287297320435755e-06,2.2872966383147286e-06,2.2872961835673777e-06,2.2872955014463514e-06,2.287294819325325e-06,2.2872941372042987e-06,2.2872934550832724e-06
encoder.layers.1.self_connection.weight,2.9356338927755132e-05,2.9356180675677024e-05,2.9356018785620108e-05,2.9355860533542e-05,2.9355700462474488e-05,2.9355540391406976e-05,2.9355380320339464e-05,2.935522024927195e-05,2.935506017820444e-05,2.9354900107136928e-05,2.9354738217080012e-05,2.9354576327023096e-05,2.935441443696618e-05,2.935425436589867e-05,2.9354092475841753e-05,2.9353930585784838e-05,2.9353770514717326e-05,2.935360862466041e-05,2.9353441277635284e-05,2.9353279387578368e-05
encoder.layers.1.self_connection.bias,4.278721917216899e-06,4.278720098227495e-06,4.278718733985443e-06,4.278716460248688e-06,4.278715096006636e-06,4.278713731764583e-06,4.278711912775179e-06,4.278709639038425e-06,4.278707820049021e-06,4.278706455806969e-06,4.278704636817565e-06,4.278702817828162e-06,4.278700544091407e-06,4.278698725102004e-06,4.278696451365249e-06,4.2786950871231966e-06,4.278693268133793e-06,4.27869190389174e-06,4.278689630154986e-06,4.278687811165582e-06
encoder.layers.1.scale_self_conn.weight,7.469349384336965e-06,7.469318916264456e-06,7.469288902939297e-06,7.469257980119437e-06,7.469227057299577e-06,7.469196589227067e-06,7.469165666407207e-06,7.469135198334698e-06,7.469104730262188e-06,7.469073352694977e-06,7.469042884622468e-06,7.469011961802607e-06,7.468981038982747e-06,7.468950116162887e-06,7.4689191933430266e-06,7.468887815775815e-06,7.468856892955955e-06,7.468825970136095e-06,7.468794592568884e-06,7.468763669749023e-06
encoder.layers.1.scale_self_conn.bias,2.1008247585996287e-06,2.1008240764786024e-06,2.1008231669839006e-06,2.1008224848628743e-06,2.1008215753681725e-06,2.100820893247146e-06,2.1008204384997953e-06,2.1008195290050935e-06,2.100818846884067e-06,2.1008179373893654e-06,2.1008170278946636e-06,2.1008163457736373e-06,2.1008158910262864e-06,2.10081520890526e-06,2.100814072036883e-06,2.1008133899158565e-06,2.1008129351685056e-06,2.100812025673804e-06,2.100811116179102e-06,2.1008104340580758e-06
encoder.layers.1.forward_edge.weight,2.8442031180020422e-05,2.844182017724961e-05,2.8441605536499992e-05,2.8441390895750374e-05,2.844117807399016e-05,2.8440967071219347e-05,2.8440750611480325e-05,2.844053778972011e-05,2.8440324967959896e-05,2.8440108508220874e-05,2.843989568646066e-05,2.8439679226721637e-05,2.8439466404961422e-05,2.8439251764211804e-05,2.8439033485483378e-05,2.843881884473376e-05,2.8438602384994738e-05,2.8438384106266312e-05,2.8438169465516694e-05,2.8437953005777672e-05
encoder.layers.1.forward_edge.bias,5.18334991284064e-06,5.183346274861833e-06,5.183342636883026e-06,5.183338544156868e-06,5.183334906178061e-06,5.183331722946605e-06,5.183327630220447e-06,5.18332399224164e-06,5.183319899515482e-06,5.1833167162840255e-06,5.183313078305218e-06,5.1833085308317095e-06,5.1833044381055515e-06,5.183301254874095e-06,5.183297616895288e-06,5.183293069421779e-06,5.183289886190323e-06,5.183286248211516e-06,5.183282155485358e-06,5.183278517506551e-06
encoder.layers.1.scale_forward.weight,6.7813384703185875e-06,6.7812743509421125e-06,6.781209776818287e-06,6.781145202694461e-06,6.781080173823284e-06,6.781016054446809e-06,6.780951025575632e-06,6.780886451451806e-06,6.78082142258063e-06,6.780756393709453e-06,6.780691819585627e-06,6.780626335967099e-06,6.780560852348572e-06,6.780496278224746e-06,6.780430794606218e-06,6.780365765735041e-06,6.780300282116514e-06,6.780234343750635e-06,6.780169314879458e-06,6.78010337651358e-06
encoder.layers.1.scale_forward.bias,1.742579001984268e-06,1.7425784335500794e-06,1.7425780924895662e-06,1.7425775240553776e-06,1.7425770693080267e-06,1.7425767282475135e-06,1.7425762735001626e-06,1.7425758187528118e-06,1.7425754776922986e-06,1.74257490925811e-06,1.742574454510759e-06,1.7425739997634082e-06,1.7425735450160573e-06,1.7425732039555442e-06,1.7425727492081933e-06,1.7425724081476801e-06,1.7425718397134915e-06,1.7425712712793029e-06,1.742570816531952e-06,1.7425703617846011e-06
encoder.layers.1.back_edge.weight,2.866656541300472e-05,2.8666385333053768e-05,2.866620161512401e-05,2.8666019716183655e-05,2.86658378172433e-05,2.8665654099313542e-05,2.866547401936259e-05,2.866528848244343e-05,2.866510476451367e-05,2.8664922865573317e-05,2.8664737328654155e-05,2.86645554297138e-05,2.8664373530773446e-05,2.866418617486488e-05,2.8664004275924526e-05,2.8663818739005364e-05,2.8663633202086203e-05,2.866344766516704e-05,2.866326212824788e-05,2.866307841031812e-05
encoder.layers.1.back_edge.bias,5.1440442803141195e-06,5.144041097082663e-06,5.144038823345909e-06,5.144035640114453e-06,5.144033821125049e-06,5.144031092640944e-06,5.144027909409488e-06,5.144025180925382e-06,5.144022452441277e-06,5.144019723957172e-06,5.144017450220417e-06,5.144014721736312e-06,5.144011993252207e-06,5.144009264768101e-06,5.144006536283996e-06,5.144003807799891e-06,5.144001079315785e-06,5.14399835083168e-06,5.1439960770949256e-06,5.14399334861082e-06
encoder.layers.1.scale_back.weight,5.441887424240122e-06,5.4418596846517175e-06,5.441832854558015e-06,5.441806024464313e-06,5.441778284875909e-06,5.441751000034856e-06,5.441724169941153e-06,5.4416968851001e-06,5.441668690764345e-06,5.441641860670643e-06,5.441613666334888e-06,5.441586381493835e-06,5.441559096652782e-06,5.441531811811728e-06,5.441504072223324e-06,5.44147633263492e-06,5.441448593046516e-06,5.441420853458112e-06,5.441393568617059e-06,5.441365829028655e-06
encoder.layers.1.scale_back.bias,2.2251826976571465e-06,2.2251822429097956e-06,2.2251817881624447e-06,2.225181333415094e-06,2.225180878667743e-06,2.225180423920392e-06,2.225179969173041e-06,2.2251795144256903e-06,2.2251790596783394e-06,2.2251786049309885e-06,2.2251781501836376e-06,2.2251776954362867e-06,2.225177240688936e-06,2.225176785941585e-06,2.2251765585679095e-06,2.2251761038205586e-06,2.2251756490732078e-06,2.225175194325857e-06,2.2251745122048305e-06,2.225174284831155e-06
decoder.layers.0.self_connection.weight,0.0008037549559958279,0.0005019056261517107,0.00011280242324573919,0.004025273956358433,0.003174666315317154,0.00046356095117516816,0.0011701423209160566,0.0017745689256116748,0.00047129549784585834,0.0009605606901459396,0.0006954068085178733,0.0004476392059586942,0.0008087501628324389,0.0019068284891545773,0.0014576786197721958,0.0009727788856253028,0.0007335366681218147,0.0004356609715614468,0.0008580363355576992,0.0010534360771998763
decoder.layers.0.self_connection.bias,0.00010094395111082122,6.265546107897535e-05,1.6488193068653345e-05,0.0005132887745276093,0.0003901862364728004,5.524151856661774e-05,0.00015546749636996537,0.0002188344660680741,6.43374805804342e-05,0.00012441197759471834,9.373640932608396e-05,6.135150033514947e-05,0.00010780101729324088,0.0002400867233518511,0.0001841768535086885,0.0001105035626096651,9.71507397480309e-05,5.593313107965514e-05,0.00011021311365766451,0.00011777124018408358
decoder.layers.0.scale_self_conn.weight,0.00017609642236493528,0.000245341012487188,4.9222806410398334e-05,0.0006194076850079,0.0006849033525213599,0.00012918982247356325,8.083978173090145e-05,0.00036230607656762004,0.00013941472570877522,0.0001988857111427933,0.00011729785182978958,3.8894992030691355e-05,8.412691386183724e-05,0.00034697537194006145,0.00023681418679188937,0.00021228971309028566,3.6597575672203675e-05,0.0001520765945315361,5.275428338791244e-05,0.0002081799611914903
