epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,12.292981147766113,26.85465097427368,112.51656341552734
1,21.230871200561523,25.365095138549805,111.18247985839844
2,18.62575340270996,24.935180187225342,111.33216691017151
3,18.55449104309082,24.415205478668213,108.45591330528259
4,18.608850479125977,24.587677478790283,108.94699478149414
5,17.414796829223633,24.124004125595093,107.35872292518616
6,18.19230842590332,23.63139319419861,107.24203968048096
7,20.06012725830078,24.31828761100769,107.4903256893158
8,18.499677658081055,24.379567623138428,108.10473823547363
9,21.174091339111328,24.26966142654419,107.82309913635254
10,18.753480911254883,24.216678142547607,108.20406293869019
