layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,4.645595618057996e-05,4.644996079150587e-05,4.644396176445298e-05,4.643795909942128e-05,4.643196371034719e-05,4.6425964683294296e-05,4.641996929422021e-05,4.6413970267167315e-05,4.640797124011442e-05,4.6401975851040334e-05,4.639597318600863e-05,4.6389977796934545e-05,4.638397876988165e-05,4.637798701878637e-05,4.6371987991733477e-05,4.636599260265939e-05,4.6359993575606495e-05,4.63539945485536e-05,4.6347999159479514e-05,4.634200013242662e-05
encoder.layers.0.self_connection.bias,8.305174560518935e-06,8.305005394504406e-06,8.304836228489876e-06,8.304666152980644e-06,8.304496986966114e-06,8.304327820951585e-06,8.304158654937055e-06,8.303989488922525e-06,8.303819413413294e-06,8.303651156893466e-06,8.303480171889532e-06,8.303311915369704e-06,8.303140930365771e-06,8.302971764351241e-06,8.30280168884201e-06,8.30263252282748e-06,8.302461537823547e-06,8.302292371809017e-06,8.302121386805084e-06,8.301952220790554e-06
encoder.layers.0.scale_self_conn.weight,1.0927034963970073e-05,1.0926342838502023e-05,1.0925647984549869e-05,1.0924954040092416e-05,1.0924259186140262e-05,1.0923564332188107e-05,1.0922869478235953e-05,1.0922172805294394e-05,1.092147795134224e-05,1.0920781278400682e-05,1.0920084605459124e-05,1.0919387932517566e-05,1.0918691259576008e-05,1.0917993677139748e-05,1.0917296094703488e-05,1.0916597602772526e-05,1.0915899110841565e-05,1.0915199709415901e-05,1.091450121748494e-05,1.0913800906564575e-05
encoder.layers.0.scale_self_conn.bias,3.938898316846462e-06,3.938868758268654e-06,3.938838744943496e-06,3.9388082768709864e-06,3.93877917304053e-06,3.938749159715371e-06,3.938719601137564e-06,3.938689587812405e-06,3.9386600292345975e-06,3.938630015909439e-06,3.938600457331631e-06,3.938570444006473e-06,3.938540430681314e-06,3.938510872103507e-06,3.938481313525699e-06,3.93845084545319e-06,3.938421286875382e-06,3.938390818802873e-06,3.938361260225065e-06,3.9383312468999065e-06
encoder.layers.0.forward_edge.weight,3.3428681490477175e-05,3.342212221468799e-05,3.3415559300919995e-05,3.3408996387152e-05,3.3402437111362815e-05,3.3395870559616014e-05,3.338930764584802e-05,3.338274473208003e-05,3.337618545629084e-05,3.336961890454404e-05,3.336305235279724e-05,3.335648580105044e-05,3.334991924930364e-05,3.3343356335535645e-05,3.3336789783788845e-05,3.333022687002085e-05,3.3323656680295244e-05,3.331709012854844e-05,3.3310519938822836e-05,3.3303953387076035e-05
encoder.layers.0.forward_edge.bias,9.213832527166232e-06,9.213658813678194e-06,9.213485100190155e-06,9.213310477207415e-06,9.213135854224674e-06,9.212961231241934e-06,9.212788427248597e-06,9.212613804265857e-06,9.212439181283116e-06,9.212264558300376e-06,9.212089935317636e-06,9.211914402840193e-06,9.211739779857453e-06,9.21156424738001e-06,9.21138962439727e-06,9.211214091919828e-06,9.211039468937088e-06,9.210863936459646e-06,9.210688403982203e-06,9.210512871504761e-06
encoder.layers.0.scale_forward.weight,8.984970008896198e-06,8.984051419247407e-06,8.983131920103915e-06,8.982212420960423e-06,8.981292012322228e-06,8.980372513178736e-06,8.979452104540542e-06,8.978531695902348e-06,8.977611287264153e-06,8.976689059636556e-06,8.975768650998361e-06,8.974847332865465e-06,8.973925105237868e-06,8.973003787104972e-06,8.972080649982672e-06,8.971158422355074e-06,8.970237104222178e-06,8.969313967099879e-06,8.96839082997758e-06,8.967468602349982e-06
encoder.layers.0.scale_forward.bias,2.174828296119813e-06,2.1748014660261106e-06,2.1747748633060837e-06,2.174747805838706e-06,2.1747209757450037e-06,2.1746941456513014e-06,2.174667315557599e-06,2.1746402580902213e-06,2.174613427996519e-06,2.174586143155466e-06,2.1745593130617635e-06,2.1745322555943858e-06,2.174505198127008e-06,2.174478595406981e-06,2.174451310565928e-06,2.174424707845901e-06,2.1743971956311725e-06,2.17437036553747e-06,2.1743433080700925e-06,2.1743162506027147e-06
encoder.layers.0.back_edge.weight,3.4500390029279515e-05,3.449320502113551e-05,3.448602365097031e-05,3.447884591878392e-05,3.447166091063991e-05,3.4464475902495906e-05,3.445729453233071e-05,3.445011316216551e-05,3.4442924516042694e-05,3.443573950789869e-05,3.442855449975468e-05,3.442136585363187e-05,3.4414177207509056e-05,3.440698856138624e-05,3.4399803553242236e-05,3.439261490711942e-05,3.4385418985038996e-05,3.437823033891618e-05,3.437104169279337e-05,3.436384577071294e-05
encoder.layers.0.back_edge.bias,7.638199349457864e-06,7.638025635969825e-06,7.637851012987085e-06,7.637676390004344e-06,7.637502676516306e-06,7.637328963028267e-06,7.637154340045527e-06,7.636980626557488e-06,7.636806003574748e-06,7.636630471097305e-06,7.636455848114565e-06,7.636281225131825e-06,7.636106602149084e-06,7.635931979166344e-06,7.635756446688902e-06,7.63558091421146e-06,7.635406291228719e-06,7.635230758751277e-06,7.635055226273835e-06,7.63487878430169e-06
