epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,28.168529510498047,25.92043709754944,126.47914290428162
1,26.979393005371094,14.116108179092407,111.77679204940796
2,32.79994583129883,23.29878520965576,121.81415843963623
3,31.726377487182617,14.800798177719116,113.92772650718689
4,34.3221435546875,25.26786708831787,124.55248546600342
5,30.561477661132812,14.423590183258057,112.56520104408264
6,29.20443344116211,25.432246446609497,123.39224648475647
7,31.349557876586914,14.330390691757202,112.4206109046936
8,30.911701202392578,24.850290775299072,122.98806357383728
9,29.058063507080078,14.83258605003357,113.19861960411072
10,29.029333114624023,24.88426899909973,123.9551088809967
