epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,17.470991134643555,27.082751512527466,132.70412635803223
1,12.23350715637207,14.646175622940063,118.12478542327881
2,18.691980361938477,25.831642150878906,129.57493686676025
3,26.34685707092285,15.25842547416687,119.36665654182434
4,22.650157928466797,25.82361340522766,130.10208654403687
5,21.858060836791992,15.25071096420288,119.47228813171387
6,28.53069305419922,26.709123611450195,130.7419617176056
7,23.16716957092285,15.252210855484009,118.30365228652954
8,18.84745979309082,26.320743083953857,129.8103301525116
9,21.339946746826172,15.308311700820923,118.90870523452759
10,20.104812622070312,26.515368223190308,129.8043384552002
