layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.711983299581334e-05,3.711968383868225e-05,3.711953468155116e-05,3.711938552442007e-05,3.711922909133136e-05,3.711907993420027e-05,3.711893441504799e-05,3.711878161993809e-05,3.7118632462807e-05,3.711848330567591e-05,3.711833051056601e-05,3.711818135343492e-05,3.711802855832502e-05,3.711787940119393e-05,3.7117726606084034e-05,3.711757744895294e-05,3.711742829182185e-05,3.7117275496711954e-05,3.7117126339580864e-05,3.7116973544470966e-05
encoder.layers.0.self_connection.bias,9.116625733440742e-06,9.116616638493724e-06,9.116606634052005e-06,9.116595720115583e-06,9.116586625168566e-06,9.116576620726846e-06,9.116567525779828e-06,9.116556611843407e-06,9.11654751689639e-06,9.11653751245467e-06,9.116526598518249e-06,9.116516594076529e-06,9.116507499129511e-06,9.116497494687792e-06,9.116488399740774e-06,9.116477485804353e-06,9.116468390857335e-06,9.116458386415616e-06,9.116448381973896e-06,9.116439287026878e-06
encoder.layers.0.scale_self_conn.weight,9.111845429288223e-06,9.111826329899486e-06,9.11180814000545e-06,9.111789950111415e-06,9.111770850722678e-06,9.11175175133394e-06,9.111733561439905e-06,9.111713552556466e-06,9.111694453167729e-06,9.111677172768395e-06,9.111658073379658e-06,9.111638973990921e-06,9.111619874602184e-06,9.111600775213446e-06,9.111580766330007e-06,9.111562576435972e-06,9.111544386541937e-06,9.1115252871532e-06,9.11150527826976e-06,9.111486178881023e-06
encoder.layers.0.scale_self_conn.bias,4.133215497859055e-06,4.133213678869652e-06,4.133212314627599e-06,4.1332104956381954e-06,4.133208676648792e-06,4.133206857659388e-06,4.133205038669985e-06,4.133203219680581e-06,4.133201400691178e-06,4.133199581701774e-06,4.133197762712371e-06,4.133195943722967e-06,4.1331941247335635e-06,4.13319230574416e-06,4.1331900320074055e-06,4.133189122512704e-06,4.1331873035233e-06,4.133185484533897e-06,4.133183210797142e-06,4.13318184655509e-06
encoder.layers.0.forward_edge.weight,3.276644565630704e-05,3.2766292861197144e-05,3.276614370406605e-05,3.276599818491377e-05,3.276584538980387e-05,3.276569623267278e-05,3.276554343756288e-05,3.276539428043179e-05,3.276524876127951e-05,3.2765092328190804e-05,3.276494317105971e-05,3.276479401392862e-05,3.2764641218818724e-05,3.2764492061687633e-05,3.2764339266577736e-05,3.276418647146784e-05,3.276403731433675e-05,3.2763888157205656e-05,3.276373536209576e-05,3.276358256698586e-05
encoder.layers.0.forward_edge.bias,8.03186594566796e-06,8.031859579205047e-06,8.031853212742135e-06,8.03184593678452e-06,8.031839570321608e-06,8.031832294363994e-06,8.031824108911678e-06,8.031818651943468e-06,8.031811375985853e-06,8.03180410002824e-06,8.031798643060029e-06,8.031791367102414e-06,8.031785000639502e-06,8.031777724681888e-06,8.031771358218975e-06,8.03176317276666e-06,8.031756806303747e-06,8.031749530346133e-06,8.03174316388322e-06,8.031735887925606e-06
encoder.layers.0.scale_forward.weight,8.11925929156132e-06,8.119245649140794e-06,8.119232006720267e-06,8.119217454805039e-06,8.119203812384512e-06,8.119189260469284e-06,8.119175618048757e-06,8.11916197562823e-06,8.119149242702406e-06,8.119134690787178e-06,8.119121048366651e-06,8.119107405946124e-06,8.119092854030896e-06,8.11907921161037e-06,8.119065569189843e-06,8.119051017274614e-06,8.119037374854088e-06,8.119023732433561e-06,8.119009180518333e-06,8.118995538097806e-06
encoder.layers.0.scale_forward.bias,2.508033503545448e-06,2.5080321393033955e-06,2.508030775061343e-06,2.508029865566641e-06,2.508028728698264e-06,2.5080273644562112e-06,2.5080260002141586e-06,2.5080248633457813e-06,2.5080239538510796e-06,2.508022589609027e-06,2.5080212253669742e-06,2.5080203158722725e-06,2.5080191790038953e-06,2.5080178147618426e-06,2.50801645051979e-06,2.508015541025088e-06,2.508014404156711e-06,2.5080130399146583e-06,2.5080116756726056e-06,2.508010766177904e-06
encoder.layers.0.back_edge.weight,3.135663428111002e-05,3.135643419227563e-05,3.135623046546243e-05,3.135602310067043e-05,3.135581937385723e-05,3.135561564704403e-05,3.135541555820964e-05,3.135520819341764e-05,3.135500446660444e-05,3.135479710181244e-05,3.135458973702043e-05,3.135438964818604e-05,3.1354185921372846e-05,3.135397855658084e-05,3.1353774829767644e-05,3.135357110295445e-05,3.135336737614125e-05,3.1353160011349246e-05,3.135295264655724e-05,3.135274528176524e-05
encoder.layers.0.back_edge.bias,8.35250011732569e-06,8.352488293894567e-06,8.352475560968742e-06,8.35246464703232e-06,8.352452823601197e-06,8.352441000170074e-06,8.352429176738951e-06,8.352416443813127e-06,8.352405529876705e-06,8.352393706445582e-06,8.352380973519757e-06,8.352369150088634e-06,8.352357326657511e-06,8.352345503226388e-06,8.352333679795265e-06,8.352321856364142e-06,8.352310032933019e-06,8.352298209501896e-06,8.352286386070773e-06,8.35227456263965e-06
