epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,35.279441833496094,24.728121280670166,103.77665090560913
1,34.55954360961914,24.878308296203613,105.47852182388306
2,34.76401138305664,26.0015287399292,105.87093162536621
3,33.14120101928711,25.073970556259155,104.57293772697449
4,32.171661376953125,24.47174835205078,105.01124405860901
5,31.963539123535156,26.068782567977905,106.54939198493958
6,32.82520294189453,26.16024899482727,106.91799116134644
7,32.39695358276367,25.897468328475952,106.41028904914856
8,32.18798828125,25.819372177124023,106.22520160675049
9,32.4589729309082,25.888000011444092,107.2396912574768
10,32.58107376098633,26.57611060142517,107.57677435874939
