layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.8092151953605935e-05,3.808820838457905e-05,3.808426117757335e-05,3.808031033258885e-05,3.807636312558316e-05,3.8072412280598655e-05,3.8068461435614154e-05,3.806450331467204e-05,3.806054883170873e-05,3.805659434874542e-05,3.80526325898245e-05,3.804867446888238e-05,3.804470907198265e-05,3.804074731306173e-05,3.8036785554140806e-05,3.803281288128346e-05,3.8028843846404925e-05,3.8024878449505195e-05,3.802090577664785e-05,3.801693310379051e-05
encoder.layers.0.self_connection.bias,9.591593880031724e-06,9.591272828401998e-06,9.590952686266974e-06,9.59063254413195e-06,9.590312401996925e-06,9.5899913503672e-06,9.589671208232176e-06,9.589351066097151e-06,9.589030014467426e-06,9.588710781827103e-06,9.588389730197378e-06,9.588069588062353e-06,9.58774944592733e-06,9.587429303792305e-06,9.58710825216258e-06,9.58678538154345e-06,9.586466148903128e-06,9.586145097273402e-06,9.585823136148974e-06,9.58550299401395e-06
encoder.layers.0.scale_self_conn.weight,9.813017641135957e-06,9.812595635594334e-06,9.812171811063308e-06,9.811748896026984e-06,9.81132598099066e-06,9.810901246964931e-06,9.810477422433905e-06,9.810053597902879e-06,9.809629773371853e-06,9.809205948840827e-06,9.808779395825695e-06,9.808354661799967e-06,9.80792992777424e-06,9.807503374759108e-06,9.807079550228082e-06,9.80665299721295e-06,9.806225534703117e-06,9.805800800677389e-06,9.805373338167556e-06,9.804946785152424e-06
encoder.layers.0.scale_self_conn.bias,3.3019973670889158e-06,3.3019618967955466e-06,3.3019264265021775e-06,3.301890728835133e-06,3.301855485915439e-06,3.30182001562207e-06,3.301784545328701e-06,3.3017490750353318e-06,3.3017136047419626e-06,3.3016781344485935e-06,3.301642436781549e-06,3.3016069664881798e-06,3.3015714961948106e-06,3.301535798527766e-06,3.3015001008607214e-06,3.3014641758200014e-06,3.301428478152957e-06,3.3013930078595877e-06,3.3013570828188676e-06,3.3013211577781476e-06
encoder.layers.0.forward_edge.weight,3.3115968108177185e-05,3.31128467223607e-05,3.3109725336544216e-05,3.310659667477012e-05,3.310347528895363e-05,3.310034662717953e-05,3.3097217965405434e-05,3.309408566565253e-05,3.309096064185724e-05,3.3087824704125524e-05,3.308469240437262e-05,3.308156010461971e-05,3.3078424166888e-05,3.307528459117748e-05,3.3072148653445765e-05,3.306900543975644e-05,3.306586586404592e-05,3.306272265035659e-05,3.3059579436667264e-05,3.305643986095674e-05
encoder.layers.0.forward_edge.bias,8.952631105785258e-06,8.952355528890621e-06,8.952079951995984e-06,8.951804375101347e-06,8.95152879820671e-06,8.951253221312072e-06,8.950976734922733e-06,8.950702067522798e-06,8.950425581133459e-06,8.950150004238822e-06,8.949873517849483e-06,8.949598850449547e-06,8.949322364060208e-06,8.949047696660273e-06,8.948772119765636e-06,8.948495633376297e-06,8.94822005648166e-06,8.947945389081724e-06,8.947668902692385e-06,8.947393325797748e-06
encoder.layers.0.scale_forward.weight,8.741739293327555e-06,8.741231795283966e-06,8.740724297240376e-06,8.740217708691489e-06,8.7397102106479e-06,8.739201803109609e-06,8.73869430506602e-06,8.738185897527728e-06,8.737677489989437e-06,8.737169082451146e-06,8.736659765418153e-06,8.73615044838516e-06,8.735641131352168e-06,8.735130904824473e-06,8.73462158779148e-06,8.734112270758487e-06,8.733600225241389e-06,8.733089998713695e-06,8.732578862691298e-06,8.732068636163604e-06
encoder.layers.0.scale_forward.bias,2.470590743541834e-06,2.470560048095649e-06,2.4705288979021134e-06,2.470498429829604e-06,2.4704675070097437e-06,2.470436356816208e-06,2.4704058887436986e-06,2.470374738550163e-06,2.4703438157303026e-06,2.4703128929104423e-06,2.4702817427169066e-06,2.4702508198970463e-06,2.470219897077186e-06,2.470188519509975e-06,2.47015782406379e-06,2.470126446496579e-06,2.4700955236767186e-06,2.4700641461095074e-06,2.4700329959159717e-06,2.4700020730961114e-06
encoder.layers.0.back_edge.weight,3.228188870707527e-05,3.227808701922186e-05,3.2274285331368446e-05,3.227048000553623e-05,3.226667831768282e-05,3.22628729918506e-05,3.225906766601838e-05,3.225525506422855e-05,3.225144973839633e-05,3.22476371366065e-05,3.2243828172795475e-05,3.2240011933026835e-05,3.2236199331237e-05,3.2232383091468364e-05,3.222856321372092e-05,3.222474333597347e-05,3.222092709620483e-05,3.221710358047858e-05,3.221328370273113e-05,3.220945654902607e-05
encoder.layers.0.back_edge.bias,8.416327546001412e-06,8.416031960223336e-06,8.415734555455856e-06,8.41543896967778e-06,8.4151415649103e-06,8.414845979132224e-06,8.414549483859446e-06,8.414252079091966e-06,8.413955583819188e-06,8.413657269557007e-06,8.41336168377893e-06,8.41306427901145e-06,8.412766874243971e-06,8.412469469476491e-06,8.41217115521431e-06,8.41187375044683e-06,8.41157634567935e-06,8.411279850406572e-06,8.41098153614439e-06,8.41068322188221e-06
