layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.8402711652452126e-05,3.839888813672587e-05,3.8395071896957234e-05,3.839124838123098e-05,3.838742122752592e-05,3.8383597711799666e-05,3.83797669201158e-05,3.837593612843193e-05,3.837210897472687e-05,3.8368274545064196e-05,3.836444011540152e-05,3.836060204776004e-05,3.8356767618097365e-05,3.8352925912477076e-05,3.8349087844835594e-05,3.8345246139215305e-05,3.834140079561621e-05,3.8337555452017114e-05,3.833371010841802e-05,3.8329861126840115e-05
encoder.layers.0.self_connection.bias,9.617078831070103e-06,9.616760507924482e-06,9.616444003768265e-06,9.616126590117346e-06,9.61581008596113e-06,9.615491762815509e-06,9.615175258659292e-06,9.614857845008373e-06,9.614540431357455e-06,9.614222108211834e-06,9.613904694560915e-06,9.613587280909996e-06,9.61327077675378e-06,9.612951544113457e-06,9.612634130462538e-06,9.612317626306321e-06,9.611998393666e-06,9.611680070520379e-06,9.611363566364162e-06,9.611045243218541e-06
encoder.layers.0.scale_self_conn.weight,9.84611233434407e-06,9.845708518696483e-06,9.845303793554194e-06,9.844898158917204e-06,9.844492524280213e-06,9.844086889643222e-06,9.843681255006231e-06,9.843274710874539e-06,9.842869076237548e-06,9.842462532105856e-06,9.842055078479461e-06,9.841648534347769e-06,9.841240171226673e-06,9.84083362709498e-06,9.840425263973884e-06,9.84001781034749e-06,9.839608537731692e-06,9.839201084105298e-06,9.838792720984202e-06,9.838383448368404e-06
encoder.layers.0.scale_self_conn.bias,3.3047595024982e-06,3.30472607856791e-06,3.304692199890269e-06,3.3046585485863034e-06,3.304624442534987e-06,3.3045907912310213e-06,3.304557367300731e-06,3.30452348862309e-06,3.3044900646928e-06,3.304455731267808e-06,3.3044220799638424e-06,3.3043877465388505e-06,3.3043538678612094e-06,3.3043199891835684e-06,3.304285883132252e-06,3.304252004454611e-06,3.304217671029619e-06,3.304183792351978e-06,3.304149913674337e-06,3.304116034996696e-06
encoder.layers.0.forward_edge.weight,3.336181544000283e-05,3.3358792279614136e-05,3.335576184326783e-05,3.3352738682879135e-05,3.334970824653283e-05,3.334668144816533e-05,3.334365101181902e-05,3.3340616937493905e-05,3.3337579225189984e-05,3.3334548788843676e-05,3.3331511076539755e-05,3.332847336423583e-05,3.332543565193191e-05,3.332239793962799e-05,3.331935658934526e-05,3.331631523906253e-05,3.3313270250801e-05,3.331022526253946e-05,3.3307180274277925e-05,3.330413164803758e-05
encoder.layers.0.forward_edge.bias,8.974730008048937e-06,8.9744544311543e-06,8.974177035270259e-06,8.97390054888092e-06,8.973622243502177e-06,8.97334666660754e-06,8.9730692707235e-06,8.972791874839459e-06,8.972516297944821e-06,8.972239811555482e-06,8.97196150617674e-06,8.971685019787401e-06,8.971408533398062e-06,8.971131137514021e-06,8.970855560619384e-06,8.970579074230045e-06,8.970300768851303e-06,8.970025191956665e-06,8.969748705567326e-06,8.969472219177987e-06
encoder.layers.0.scale_forward.weight,8.78150331118377e-06,8.781015822023619e-06,8.780527423368767e-06,8.780040843703318e-06,8.779551535553765e-06,8.779063136898912e-06,8.778573828749359e-06,8.778084520599805e-06,8.777596121944953e-06,8.7771077232901e-06,8.776617505645845e-06,8.77612728800159e-06,8.775637070357334e-06,8.775146852713078e-06,8.774655725574121e-06,8.774165507929865e-06,8.773673471296206e-06,8.773182344157249e-06,8.772691217018291e-06,8.772199180384632e-06
encoder.layers.0.scale_forward.bias,2.4729959022806725e-06,2.4729665710765403e-06,2.4729370124987327e-06,2.4729076812946005e-06,2.4728783500904683e-06,2.4728487915126607e-06,2.4728194603085285e-06,2.4727901291043963e-06,2.472760797900264e-06,2.4727312393224565e-06,2.472701680744649e-06,2.4726723495405167e-06,2.472642790962709e-06,2.4726132323849015e-06,2.472583673807094e-06,2.4725541152292863e-06,2.472524329277803e-06,2.4724947706999956e-06,2.4724649847485125e-06,2.4724351987970294e-06
encoder.layers.0.back_edge.weight,3.2581432606093585e-05,3.2577743695583194e-05,3.2574051147093996e-05,3.25703585986048e-05,3.25666660501156e-05,3.2562969863647595e-05,3.255927367717959e-05,3.255557385273278e-05,3.2551874028285965e-05,3.254817420383915e-05,3.2544470741413534e-05,3.254077091696672e-05,3.2537063816562295e-05,3.253335671615787e-05,3.252964961575344e-05,3.252593887737021e-05,3.252223177696578e-05,3.251851740060374e-05,3.251480666222051e-05,3.251108864787966e-05
encoder.layers.0.back_edge.bias,8.439729754172731e-06,8.439439625362866e-06,8.439151315542404e-06,8.438861186732538e-06,8.438572876912076e-06,8.438283657596912e-06,8.437993528787047e-06,8.437704309471883e-06,8.437415090156719e-06,8.437124961346854e-06,8.43683574203169e-06,8.436544703727122e-06,8.436255484411959e-06,8.435964446107391e-06,8.435675226792227e-06,8.43538418848766e-06,8.435094059677795e-06,8.434803930867929e-06,8.434512892563362e-06,8.434222763753496e-06
