epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,10.663464546203613,27.14270830154419,90.16851925849915
1,17.243820190429688,28.597153186798096,92.21641063690186
2,14.83922290802002,27.944559335708618,91.25456118583679
3,18.619680404663086,28.57538938522339,92.43805575370789
4,18.001293182373047,28.200933933258057,91.8854193687439
5,15.725702285766602,27.867406368255615,91.82367515563965
6,18.999492645263672,28.17786455154419,91.55236434936523
7,17.042551040649414,27.95678186416626,91.78503441810608
8,17.53236961364746,27.974817752838135,92.10477185249329
9,17.201692581176758,28.483611822128296,91.7808256149292
10,14.808496475219727,27.898407459259033,91.400550365448
