layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,4.2793952161446214e-05,4.279105269233696e-05,4.2788145947270095e-05,4.278523556422442e-05,4.278233245713636e-05,4.277942207409069e-05,4.277650805306621e-05,4.277359403204173e-05,4.277068001101725e-05,4.276776235201396e-05,4.276483741705306e-05,4.276191975804977e-05,4.275899482308887e-05,4.275606988812797e-05,4.2753144953167066e-05,4.275021638022736e-05,4.274728780728765e-05,4.274435559636913e-05,4.2741427023429424e-05,4.273849481251091e-05
encoder.layers.0.self_connection.bias,8.978981895779725e-06,8.978893674793653e-06,8.978805453807581e-06,8.978714504337404e-06,8.978623554867227e-06,8.978530786407646e-06,8.978437108453363e-06,8.978342521004379e-06,8.978247933555394e-06,8.978152436611708e-06,8.97805603017332e-06,8.97795871424023e-06,8.977863217296544e-06,8.977764082374051e-06,8.977666766440962e-06,8.977567631518468e-06,8.977468496595975e-06,8.977369361673482e-06,8.977269317256287e-06,8.977171091828495e-06
encoder.layers.0.scale_self_conn.weight,1.057872395904269e-05,1.0578372894087806e-05,1.0578021829132922e-05,1.0577668945188634e-05,1.0577315151749644e-05,1.0576962267805357e-05,1.0576608474366367e-05,1.0576253771432675e-05,1.0575899977993686e-05,1.0575545275059994e-05,1.0575189662631601e-05,1.057483495969791e-05,1.0574479347269516e-05,1.0574122825346421e-05,1.0573766303423326e-05,1.0573409781500231e-05,1.0573053259577136e-05,1.057269582815934e-05,1.0572337487246841e-05,1.0571979146334343e-05
encoder.layers.0.scale_self_conn.bias,4.7060029828571714e-06,4.7059629650902934e-06,4.7059229473234154e-06,4.7058824748091865e-06,4.705841092800256e-06,4.705800165538676e-06,4.705758783529745e-06,4.705716946773464e-06,4.705674655269831e-06,4.705633728008252e-06,4.705590981757268e-06,4.705547780758934e-06,4.705505489255302e-06,4.7054622882569674e-06,4.705419542005984e-06,4.705376795755001e-06,4.7053335947566666e-06,4.705290848505683e-06,4.705246738012647e-06,4.705203537014313e-06
encoder.layers.0.forward_edge.weight,4.088011701242067e-05,4.0876970160752535e-05,4.08738233090844e-05,4.087066918145865e-05,4.086751869181171e-05,4.0864360926207155e-05,4.08612031606026e-05,4.085804903297685e-05,4.085488762939349e-05,4.085172258783132e-05,4.0848561184247956e-05,4.0845396142685786e-05,4.0842231101123616e-05,4.083905878360383e-05,4.083588646608405e-05,4.083271778654307e-05,4.082954546902329e-05,4.082636587554589e-05,4.08231899200473e-05,4.082001396454871e-05
encoder.layers.0.forward_edge.bias,8.442700163868722e-06,8.442622856819071e-06,8.442544640274718e-06,8.442465514235664e-06,8.442384569207206e-06,8.442303624178749e-06,8.442220860160887e-06,8.442137186648324e-06,8.442053513135761e-06,8.441968930128496e-06,8.441882528131828e-06,8.441797035629861e-06,8.441710633633193e-06,8.441623322141822e-06,8.441536010650452e-06,8.441448699159082e-06,8.44136047817301e-06,8.441272257186938e-06,8.441183126706164e-06,8.441094905720092e-06
encoder.layers.0.scale_forward.weight,1.0969684808515012e-05,1.0969222785206512e-05,1.0968758942908607e-05,1.0968296919600107e-05,1.09678321678075e-05,1.0967365597025491e-05,1.0966899935738184e-05,1.0966433364956174e-05,1.0965966794174165e-05,1.0965499313897453e-05,1.0965031833620742e-05,1.0964563443849329e-05,1.0964094144583214e-05,1.09636248453171e-05,1.0963155546050984e-05,1.0962685337290168e-05,1.0962215128529351e-05,1.0961744010273833e-05,1.0961271982523613e-05,1.0960800864268094e-05
encoder.layers.0.scale_forward.bias,2.9146040105842985e-06,2.9145794542273507e-06,2.9145546704967273e-06,2.914529886766104e-06,2.91450464828813e-06,2.9144787276891293e-06,2.9144530344638042e-06,2.914427341238479e-06,2.9144014206394786e-06,2.9143752726668026e-06,2.9143491246941267e-06,2.9143222946004244e-06,2.9142961466277484e-06,2.9142695439077215e-06,2.9142427138140192e-06,2.914215883720317e-06,2.914188826252939e-06,2.9141617687855614e-06,2.9141344839445082e-06,2.914107653850806e-06
encoder.layers.0.back_edge.weight,3.8476504414575174e-05,3.847238622256555e-05,3.846826803055592e-05,3.8464146200567484e-05,3.846002073260024e-05,3.8455895264633e-05,3.8451762520708144e-05,3.8447633414762095e-05,3.844349703285843e-05,3.843935701297596e-05,3.843521699309349e-05,3.843107697321102e-05,3.842693695332855e-05,3.842279329546727e-05,3.841864236164838e-05,3.84144987037871e-05,3.8410344131989405e-05,3.840619319817051e-05,3.840204226435162e-05,3.839788769255392e-05
encoder.layers.0.back_edge.bias,9.015025170810986e-06,9.014902389026247e-06,9.01478051673621e-06,9.014656825456768e-06,9.014531315187924e-06,9.014405804919079e-06,9.014279385155533e-06,9.014152965391986e-06,9.014024726639036e-06,9.013897397380788e-06,9.013768249133136e-06,9.013639100885484e-06,9.013510862132534e-06,9.013379894895479e-06,9.013249837153126e-06,9.01311886991607e-06,9.012987902679015e-06,9.01285693544196e-06,9.0127241492155e-06,9.012593181978446e-06
encoder.layers.0.scale_back.weight,8.859657100401819e-06,8.859203262545634e-06,8.858748515194748e-06,8.858291948854458e-06,8.857835382514168e-06,8.857377906679176e-06,8.85691861185478e-06,8.856459317030385e-06,8.855999112711288e-06,8.85553799889749e-06,8.85507688508369e-06,8.854615771269891e-06,8.854151928971987e-06,8.853688996168785e-06,8.85322515387088e-06,8.852759492583573e-06,8.852294740790967e-06,8.851829988998361e-06,8.851363418216351e-06,8.850897756929044e-06
encoder.layers.0.scale_back.bias,1.5265185311363894e-06,1.526511368865613e-06,1.526503979221161e-06,1.5264964758898714e-06,1.5264881767507177e-06,1.5264801049852394e-06,1.5264714647855726e-06,1.526462710899068e-06,1.526453729638888e-06,1.5264446346918703e-06,1.5264350849975017e-06,1.526425535303133e-06,1.5264159856087645e-06,1.5264060948538827e-06,1.526396204099001e-06,1.5263860859704437e-06,1.5263760815287242e-06,1.526365963400167e-06,1.5263558452716097e-06,1.5263453860825393e-06
encoder.layers.1.self_connection.weight,3.846483741654083e-05,3.846345134661533e-05,3.846206527668983e-05,3.846067556878552e-05,3.8459278584923595e-05,3.845788160106167e-05,3.845648097922094e-05,3.8455076719401404e-05,3.845367245958187e-05,3.845226456178352e-05,3.845085302600637e-05,3.844943785225041e-05,3.8448022678494453e-05,3.8446607504738495e-05,3.844518505502492e-05,3.8443766243290156e-05,3.844234379357658e-05,3.844092498184182e-05,3.843949889414944e-05,3.843806916847825e-05
encoder.layers.1.self_connection.bias,4.865329628955806e-06,4.865227310801856e-06,4.865124992647907e-06,4.8650222197466064e-06,4.864919901592657e-06,4.864816673944006e-06,4.8647134462953545e-06,4.864610218646703e-06,4.86450608150335e-06,4.864402399107348e-06,4.864298261963995e-06,4.864194579567993e-06,4.864089987677289e-06,4.863985395786585e-06,4.863881258643232e-06,4.8637762120051775e-06,4.863671620114474e-06,4.86356702822377e-06,4.863461981585715e-06,4.86335693494766e-06
encoder.layers.1.scale_self_conn.weight,1.0326914889446925e-05,1.0326562005502637e-05,1.0326210031053051e-05,1.0325857147108763e-05,1.0325505172659177e-05,1.0325151379220188e-05,1.03247984952759e-05,1.0324446520826314e-05,1.0324092727387324e-05,1.0323738933948334e-05,1.0323385140509345e-05,1.0323031347070355e-05,1.0322676644136664e-05,1.0322322850697674e-05,1.0321969057258684e-05,1.0321613444830291e-05,1.0321257832401898e-05,1.0320904038962908e-05,1.0320548426534515e-05,1.0320192814106122e-05
encoder.layers.1.scale_self_conn.bias,1.8377226069787866e-06,1.8376968000666238e-06,1.837670993154461e-06,1.8376450725554605e-06,1.8376193793301354e-06,1.8375936861048103e-06,1.837568106566323e-06,1.8375422996541602e-06,1.8375169474893482e-06,1.8374914816376986e-06,1.837466015786049e-06,1.837440663621237e-06,1.8374150840827497e-06,1.8373898456047755e-06,1.8373644934399636e-06,1.8373392549619894e-06,1.8373139027971774e-06,1.8372885506323655e-06,1.8372631984675536e-06,1.8372378463027417e-06
encoder.layers.1.forward_edge.weight,3.4420383599353954e-05,3.441921580815688e-05,3.441805165493861e-05,3.4416880225762725e-05,3.4415705158608034e-05,3.4414526453474537e-05,3.441334774834104e-05,3.441217268118635e-05,3.4410986700095236e-05,3.4409800719004124e-05,3.4408611099934205e-05,3.44074287568219e-05,3.4406235499773175e-05,3.4405045880703256e-05,3.440385262365453e-05,3.44026593666058e-05,3.440146247157827e-05,3.4400269214529544e-05,3.4399068681523204e-05,3.439787178649567e-05
encoder.layers.1.forward_edge.bias,5.135319042892661e-06,5.13521581524401e-06,5.135113042342709e-06,5.135009814694058e-06,5.134906132298056e-06,5.134802449902054e-06,5.13469785801135e-06,5.134594175615348e-06,5.134490038471995e-06,5.134385901328642e-06,5.134280854690587e-06,5.134176262799883e-06,5.1340712161618285e-06,5.1339670790184755e-06,5.133862032380421e-06,5.133756985742366e-06,5.13365148435696e-06,5.1335464377189055e-06,5.1334409363335e-06,5.133335434948094e-06
encoder.layers.1.scale_forward.weight,8.947957212512847e-06,8.947662536229473e-06,8.947366950451396e-06,8.94707136467332e-06,8.946775778895244e-06,8.946480193117168e-06,8.946184607339092e-06,8.945888112066314e-06,8.945592526288237e-06,8.945295121520758e-06,8.94499862624798e-06,8.944702130975202e-06,8.944404726207722e-06,8.944107321440242e-06,8.943810826167464e-06,8.943513421399985e-06,8.943215107137803e-06,8.942918611865025e-06,8.942620297602843e-06,8.94232107384596e-06
encoder.layers.1.scale_forward.bias,1.954113258761936e-06,1.9540818811947247e-06,1.954050276253838e-06,1.954018443939276e-06,1.9539863842510385e-06,1.953954779310152e-06,1.95392294699559e-06,1.9538915694283787e-06,1.9538595097401412e-06,1.9538279047992546e-06,1.953796299858368e-06,1.953764467543806e-06,1.953732635229244e-06,1.9537010302883573e-06,1.9536691979737952e-06,1.9536375930329086e-06,1.9536057607183466e-06,1.953573701030109e-06,1.9535416413418716e-06,1.9535098090273095e-06
encoder.layers.1.back_edge.weight,3.4937278542201966e-05,3.493609619908966e-05,3.493490658001974e-05,3.493372059892863e-05,3.49325237039011e-05,3.4931326808873564e-05,3.4930126275867224e-05,3.4928922104882076e-05,3.492771793389693e-05,3.4926510124932975e-05,3.492529867799021e-05,3.492408723104745e-05,3.492287578410469e-05,3.492166069918312e-05,3.492043833830394e-05,3.491922325338237e-05,3.491800089250319e-05,3.491678216960281e-05,3.491555617074482e-05,3.491433380986564e-05
encoder.layers.1.back_edge.bias,5.083644737169379e-06,5.083536507299868e-06,5.083428277430357e-06,5.083320502308197e-06,5.083212272438686e-06,5.083104042569175e-06,5.082996267447015e-06,5.082888037577504e-06,5.082780262455344e-06,5.082672487333184e-06,5.082564257463673e-06,5.082456937088864e-06,5.082348707219353e-06,5.082240022602491e-06,5.082132247480331e-06,5.082024472358171e-06,5.08191624248866e-06,5.081807557871798e-06,5.081699328002287e-06,5.081591552880127e-06
encoder.layers.1.scale_back.weight,8.559587513445877e-06,8.559370144212153e-06,8.559155503462534e-06,8.558937224734109e-06,8.558719855500385e-06,8.55850157677196e-06,8.558283298043534e-06,8.558064109820407e-06,8.557844012102578e-06,8.55762482387945e-06,8.557404726161622e-06,8.557185537938494e-06,8.556963621231262e-06,8.556743523513433e-06,8.556522516300902e-06,8.55630059959367e-06,8.556078682886437e-06,8.555856766179204e-06,8.555635758966673e-06,8.55541384225944e-06
encoder.layers.1.scale_back.bias,2.5778715553315124e-06,2.577844270490459e-06,2.577816985649406e-06,2.5777899281820282e-06,2.5777624159672996e-06,2.577734903752571e-06,2.5777073915378423e-06,2.5776796519494383e-06,2.5776525944820605e-06,2.577625082267332e-06,2.577597342678928e-06,2.577569830464199e-06,2.577542090875795e-06,2.577514351287391e-06,2.577486611698987e-06,2.577458872110583e-06,2.577431132522179e-06,2.5774033929337747e-06,2.5773756533453707e-06,2.5773479137569666e-06
