epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,15.953636169433594,26.429463148117065,127.03552508354187
1,18.714433670043945,15.577036619186401,115.95596480369568
2,16.042232513427734,26.461058616638184,127.17889523506165
3,16.666358947753906,15.69936990737915,116.05091500282288
4,19.99010467529297,26.077888011932373,126.5651388168335
5,19.39485740661621,15.25055193901062,115.4382848739624
6,20.56426429748535,25.92624807357788,125.6615936756134
7,21.821582794189453,15.169432163238525,114.7782711982727
8,18.62851905822754,25.826815128326416,125.81278443336487
9,17.69841957092285,15.09465217590332,114.48814535140991
10,18.170303344726562,26.910147666931152,127.16852474212646
