layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,3.8071873859735206e-05,3.806711902143434e-05,3.806236418313347e-05,3.80576093448326e-05,3.805285086855292e-05,3.804809239227325e-05,3.8043341191951185e-05,3.80385790776927e-05,3.8033820601413026e-05,3.802906212513335e-05,3.8024303648853675e-05,3.8019548810552806e-05,3.801479033427313e-05,3.801003549597226e-05,3.800528065767139e-05,3.800052581937052e-05,3.799577461904846e-05,3.79910234187264e-05,3.7986275856383145e-05,3.798152465606108e-05
encoder.layers.0.self_connection.bias,7.70980568631785e-06,7.709578312642407e-06,7.709350938966963e-06,7.709122655796818e-06,7.708896191616077e-06,7.708668817940634e-06,7.708442353759892e-06,7.708214070589747e-06,7.707987606409006e-06,7.707760232733563e-06,7.707531949563418e-06,7.707304575887974e-06,7.707079021201935e-06,7.70685073803179e-06,7.706623364356346e-06,7.706395990680903e-06,7.706167707510758e-06,7.705941243330017e-06,7.705713869654574e-06,7.705485586484428e-06
encoder.layers.0.scale_self_conn.weight,9.721782589622308e-06,9.7212141554337e-06,9.720643902255688e-06,9.720072739582974e-06,9.719501576910261e-06,9.718928595248144e-06,9.718354704091325e-06,9.717779903439805e-06,9.717205102788284e-06,9.71662848314736e-06,9.716050954011735e-06,9.715473424876109e-06,9.714896805235185e-06,9.714316547615454e-06,9.713738108985126e-06,9.713157851365395e-06,9.712576684250962e-06,9.711996426631231e-06,9.711414350022096e-06,9.710833182907663e-06
encoder.layers.0.scale_self_conn.bias,3.891284450219246e-06,3.891251708409982e-06,3.891218966600718e-06,3.891185315296752e-06,3.891151663992787e-06,3.891118467436172e-06,3.8910848161322065e-06,3.891051164828241e-06,3.891017058776924e-06,3.890982497978257e-06,3.890948846674291e-06,3.890913831128273e-06,3.890878815582255e-06,3.8908442547835875e-06,3.890810148732271e-06,3.890775133186253e-06,3.8907401176402345e-06,3.890705102094216e-06,3.890669177053496e-06,3.890634616254829e-06
encoder.layers.0.forward_edge.weight,3.52823844878003e-05,3.5277585993753746e-05,3.527278749970719e-05,3.526798900566064e-05,3.5263190511614084e-05,3.525839565554634e-05,3.525360079947859e-05,3.5248805943410844e-05,3.524401836330071e-05,3.523923078319058e-05,3.523443592712283e-05,3.5229651984991506e-05,3.522486440488137e-05,3.5220084100728855e-05,3.5215303796576336e-05,3.5210527130402625e-05,3.520575046422891e-05,3.52009737980552e-05,3.5196204407839105e-05,3.519143501762301e-05
encoder.layers.0.forward_edge.bias,8.283786883112043e-06,8.283611350634601e-06,8.28343672765186e-06,8.283260285679717e-06,8.283085662696976e-06,8.282910130219534e-06,8.282734597742092e-06,8.28255906526465e-06,8.282383532787208e-06,8.282208000309765e-06,8.282032467832323e-06,8.281856935354881e-06,8.281680493382737e-06,8.281504960905295e-06,8.281329428427853e-06,8.281152986455709e-06,8.280977453978267e-06,8.280801012006123e-06,8.280624570033979e-06,8.280448128061835e-06
encoder.layers.0.scale_forward.weight,9.658736416895408e-06,9.658177077653818e-06,9.657616828917526e-06,9.657055670686532e-06,9.656494512455538e-06,9.655933354224544e-06,9.655370377004147e-06,9.654808309278451e-06,9.654244422563352e-06,9.653681445342954e-06,9.653116649133153e-06,9.652551852923352e-06,9.651987966208253e-06,9.65142226050375e-06,9.650856554799248e-06,9.650289939600043e-06,9.649723324400838e-06,9.649156709201634e-06,9.64859009400243e-06,9.648021659813821e-06
encoder.layers.0.scale_forward.bias,2.3257507564267144e-06,2.325730065422249e-06,2.325709601791459e-06,2.325688910786994e-06,2.3256682197825285e-06,2.3256470740307122e-06,2.325626383026247e-06,2.3256052372744307e-06,2.32558431889629e-06,2.3255631731444737e-06,2.325541800018982e-06,2.3255204268934904e-06,2.3254988263943233e-06,2.3254774532688316e-06,2.32545608014334e-06,2.325434479644173e-06,2.3254128791450057e-06,2.325391506019514e-06,2.3253696781466715e-06,2.325347850273829e-06
encoder.layers.0.back_edge.weight,3.140516855637543e-05,3.139933687634766e-05,3.139349792036228e-05,3.1387662602355704e-05,3.138182728434913e-05,3.137599560432136e-05,3.13701675622724e-05,3.136433588224463e-05,3.1358504202216864e-05,3.135268343612552e-05,3.1346855394076556e-05,3.134103462798521e-05,3.133521386189386e-05,3.132940037176013e-05,3.132358324364759e-05,3.1317773391492665e-05,3.131195990135893e-05,3.1306153687182814e-05,3.13003511109855e-05,3.129454853478819e-05
encoder.layers.0.back_edge.bias,8.284746400022414e-06,8.284473551611882e-06,8.284201612696052e-06,8.283929673780221e-06,8.28365682536969e-06,8.283383976959158e-06,8.283111128548626e-06,8.282838280138094e-06,8.282566341222264e-06,8.282293492811732e-06,8.2820206444012e-06,8.281747795990668e-06,8.281474038085435e-06,8.281202099169604e-06,8.28092834126437e-06,8.280654583359137e-06,8.280380825453904e-06,8.28010706754867e-06,8.279833309643436e-06,8.279559551738203e-06
