epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,12.11577033996582,28.25178098678589,131.58744168281555
1,17.220842361450195,14.171152114868164,116.5974588394165
2,14.075970649719238,24.418684244155884,126.27789735794067
3,10.992026329040527,14.070821523666382,116.46566033363342
4,12.55037784576416,24.4318368434906,127.09651637077332
5,13.28151798248291,13.959155082702637,115.63688492774963
6,15.675515174865723,24.428799867630005,126.46286225318909
7,16.760326385498047,13.969327449798584,115.24483108520508
8,17.455589294433594,23.73035717010498,125.11730623245239
9,14.48090648651123,13.955569505691528,115.437824010849
10,14.650249481201172,23.599119663238525,125.0844178199768
