layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,2.5792658561840653e-05,2.576289807620924e-05,2.5733261281857267e-05,2.5703742721816525e-05,2.56743351201294e-05,2.5645040295785293e-05,2.5615845515858382e-05,2.558675259933807e-05,2.5557759727234952e-05,2.5528857804602012e-05,2.5500048650428653e-05,2.5471328626736067e-05,2.5442695914534852e-05,2.5414148694835603e-05,2.5385688786627725e-05,2.5357308913953602e-05,2.5329012714792043e-05,2.530079655116424e-05,2.5272660423070192e-05,2.52446043305099e-05
encoder.layers.0.self_connection.bias,8.46986768010538e-06,8.466331564704888e-06,8.462815458187833e-06,8.459315722575411e-06,8.455832357867621e-06,8.452368092548568e-06,8.44891656015534e-06,8.445481398666743e-06,8.442060789093375e-06,8.438653821940534e-06,8.435260497208219e-06,8.431881724391133e-06,8.42851477500517e-06,8.425162377534434e-06,8.42182089400012e-06,8.418492143391632e-06,8.415176125708967e-06,8.411872840952128e-06,8.40858047013171e-06,8.405299922742415e-06
encoder.layers.0.scale_self_conn.weight,5.444330781756435e-06,5.443122063297778e-06,5.44192243978614e-06,5.44073236596887e-06,5.439549568109214e-06,5.4383749557018746e-06,5.437205345515395e-06,5.436042556539178e-06,5.43488431503647e-06,5.433731075754622e-06,5.432581929198932e-06,5.4314368753694e-06,5.430294550023973e-06,5.429155862657353e-06,5.428019449027488e-06,5.426885309134377e-06,5.42575298823067e-06,5.424623850558419e-06,5.423494712886168e-06,5.422368303698022e-06
encoder.layers.0.scale_self_conn.bias,5.102926934341667e-07,5.103996727484628e-07,5.104962497171073e-07,5.105834475216398e-07,5.106620619699243e-07,5.107329457132437e-07,5.107967808726244e-07,5.108541927256738e-07,5.109058065499994e-07,5.109520770929521e-07,5.109935727887205e-07,5.110306915412366e-07,5.110639449412702e-07,5.110934466756589e-07,5.111198220220103e-07,5.111431846671621e-07,5.111638188282086e-07,5.111820655656629e-07,5.11197981722944e-07,5.112120220474026e-07
encoder.layers.0.forward_edge.weight,2.714002584980335e-05,2.7108180802315474e-05,2.707646126509644e-05,2.704485996218864e-05,2.7013369617634453e-05,2.698198841244448e-05,2.6950714527629316e-05,2.6919540687231347e-05,2.6888463253271766e-05,2.6857484044739977e-05,2.6826597604667768e-05,2.6795802114065737e-05,2.6765097572933882e-05,2.6734478524303995e-05,2.6703946787165478e-05,2.6673500542528927e-05,2.6643139790394343e-05,2.661286089278292e-05,2.6582663849694654e-05,2.6552552299108356e-05
encoder.layers.0.forward_edge.bias,7.950093277031556e-06,7.94413426774554e-06,7.93820981925819e-06,7.932318112580106e-06,7.926458238216583e-06,7.920628377178218e-06,7.91482761997031e-06,7.909055057098158e-06,7.903307960077655e-06,7.897586328908801e-06,7.891891073086299e-06,7.886218554631341e-06,7.880568773543928e-06,7.87494263931876e-06,7.869338332966436e-06,7.863755854486953e-06,7.858194294385612e-06,7.852653652662411e-06,7.847133929317351e-06,7.841635124350432e-06
encoder.layers.0.scale_forward.weight,6.743028279743157e-06,6.740678600181127e-06,6.738318916177377e-06,6.735949682479259e-06,6.733572718076175e-06,6.731187113473425e-06,6.728795597155113e-06,6.7263972596265376e-06,6.7239943746244535e-06,6.72158648740151e-06,6.719174507452408e-06,6.71675934427185e-06,6.714340088365134e-06,6.711919013469014e-06,6.7094952100887895e-06,6.70706913297181e-06,6.704642146360129e-06,6.7022133407590445e-06,6.699784080410609e-06,6.697353910567472e-06
encoder.layers.0.scale_forward.bias,7.578531153740187e-07,7.57969360165589e-07,7.580743499602249e-07,7.581695626868168e-07,7.582555667795532e-07,7.583332148897171e-07,7.58403473355429e-07,7.584668537674588e-07,7.585239245599951e-07,7.58575424697483e-07,7.586219226141111e-07,7.586637593703927e-07,7.587013328702596e-07,7.58735097861063e-07,7.587652248730592e-07,7.587924528706935e-07,7.588167250105471e-07,7.588384960399708e-07,7.588577091155457e-07,7.588748189846228e-07
encoder.layers.0.back_edge.weight,2.6830581191461533e-05,2.679897988855373e-05,2.6767509552882984e-05,2.6736155632534064e-05,2.6704919946496375e-05,2.6673795218812302e-05,2.664277417352423e-05,2.6611854991642758e-05,2.6581034035189077e-05,2.655030766618438e-05,2.651967588462867e-05,2.6489131414564326e-05,2.645867789397016e-05,2.6428309865877964e-05,2.6398027330287732e-05,2.636782664922066e-05,2.6337707822676748e-05,2.6307669031666592e-05,2.6277712095179595e-05,2.624783337523695e-05
encoder.layers.0.back_edge.bias,8.67005110194441e-06,8.666330359119456e-06,8.662616892252117e-06,8.658910701342393e-06,8.655209967400879e-06,8.651516509416979e-06,8.647831236885395e-06,8.644153240311425e-06,8.640483429189771e-06,8.636823622509837e-06,8.633172001282219e-06,8.62953038449632e-06,8.62589877215214e-06,8.62227625475498e-06,8.61866556078894e-06,8.615063052275218e-06,8.611472367192619e-06,8.607891686551739e-06,8.604323738836683e-06,8.600765795563348e-06
