layer,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,batch_10,batch_11,batch_12,batch_13,batch_14,batch_15,batch_16,batch_17,batch_18,batch_19
encoder.layers.0.self_connection.weight,5.240396421868354e-05,5.240316386334598e-05,5.2402370783966035e-05,5.240157770458609e-05,5.2400780987227336e-05,5.239998426986858e-05,5.2399191190488636e-05,5.2398394473129883e-05,5.239759775577113e-05,5.239680103841238e-05,5.239600795903243e-05,5.2395214879652485e-05,5.239440724835731e-05,5.2393614168977365e-05,5.239281745161861e-05,5.239201709628105e-05,5.23912203789223e-05,5.2390423661563545e-05,5.2389623306225985e-05,5.238883022684604e-05
encoder.layers.0.self_connection.bias,7.731601726845838e-06,7.731585355941206e-06,7.731568985036574e-06,7.73155170463724e-06,7.731533514743205e-06,7.731516234343871e-06,7.73149986343924e-06,7.731481673545204e-06,7.731465302640572e-06,7.731448022241239e-06,7.731429832347203e-06,7.73141255194787e-06,7.731396181043237e-06,7.731378900643904e-06,7.731360710749868e-06,7.731343430350535e-06,7.731327059445903e-06,7.731309779046569e-06,7.731292498647235e-06,7.7312743087532e-06
encoder.layers.0.scale_self_conn.weight,1.2856306057074107e-05,1.2856249668402597e-05,1.2856195098720491e-05,1.2856138710048981e-05,1.2856082321377471e-05,1.2856026842200663e-05,1.2855970453529153e-05,1.2855914064857643e-05,1.2855859495175537e-05,1.2855802197009325e-05,1.2855745808337815e-05,1.2855689419666305e-05,1.2855633940489497e-05,1.2855576642323285e-05,1.2855520253651775e-05,1.2855462955485564e-05,1.2855407476308756e-05,1.2855349268647842e-05,1.2855293789471034e-05,1.2855236491304822e-05
encoder.layers.0.scale_self_conn.bias,4.261891717760591e-06,4.261889898771187e-06,4.261888079781784e-06,4.26188626079238e-06,4.261884441802977e-06,4.261882622813573e-06,4.2618808038241696e-06,4.261878984834766e-06,4.2618771658453625e-06,4.261875346855959e-06,4.261873527866555e-06,4.261871708877152e-06,4.26187079938245e-06,4.2618689803930465e-06,4.261867161403643e-06,4.2618648876668885e-06,4.261863068677485e-06,4.261861704435432e-06,4.261859885446029e-06,4.261858066456625e-06
encoder.layers.0.forward_edge.weight,3.271878449595533e-05,3.2718355214456096e-05,3.271792593295686e-05,3.271749665145762e-05,3.271707100793719e-05,3.271663808845915e-05,3.271621244493872e-05,3.2715779525460675e-05,3.2715353881940246e-05,3.27149209624622e-05,3.2714491680962965e-05,3.271405876148492e-05,3.2713629479985684e-05,3.271319656050764e-05,3.2712767279008403e-05,3.271233435953036e-05,3.271190507803112e-05,3.271147215855308e-05,3.271103560109623e-05,3.27106099575758e-05
encoder.layers.0.forward_edge.bias,7.87428598414408e-06,7.874269613239449e-06,7.874252332840115e-06,7.874235961935483e-06,7.87421868153615e-06,7.874203220126219e-06,7.874185939726885e-06,7.874169568822253e-06,7.87415228842292e-06,7.874135008023586e-06,7.874118637118954e-06,7.87410135671962e-06,7.87408589530969e-06,7.874068614910357e-06,7.874051334511023e-06,7.874034963606391e-06,7.874017683207057e-06,7.874002221797127e-06,7.873985850892495e-06,7.87396766099846e-06
encoder.layers.0.scale_forward.weight,7.925951649667695e-06,7.925907084427308e-06,7.925862519186921e-06,7.925817044451833e-06,7.925772479211446e-06,7.925727004476357e-06,7.92568243923597e-06,7.925636964500882e-06,7.925591489765793e-06,7.925546015030704e-06,7.92550235928502e-06,7.925455975055229e-06,7.92541050032014e-06,7.925365935079753e-06,7.925320460344665e-06,7.925274985609576e-06,7.925229510874487e-06,7.925184036139399e-06,7.925139470899012e-06,7.92509217717452e-06
encoder.layers.0.scale_forward.bias,1.9507267552398844e-06,1.950725618371507e-06,1.9507237993821036e-06,1.950722435140051e-06,1.9507206161506474e-06,1.95071947928227e-06,1.950717887666542e-06,1.950716296050814e-06,1.9507151591824368e-06,1.950713794940384e-06,1.950711748577305e-06,1.950710611708928e-06,1.9507090200932e-06,1.9507072011037963e-06,1.9507058368617436e-06,1.950704472619691e-06,1.9507031083776383e-06,1.95070151676191e-06,1.9507001525198575e-06,1.9506985609041294e-06
encoder.layers.0.back_edge.weight,3.2669358915882185e-05,3.2668907806510106e-05,3.2668456697138026e-05,3.266800558776595e-05,3.266755084041506e-05,3.266709973104298e-05,3.26666486216709e-05,3.266619751229882e-05,3.266574640292674e-05,3.2665291655575857e-05,3.266483690822497e-05,3.266438579885289e-05,3.2663931051502004e-05,3.2663479942129925e-05,3.266302155680023e-05,3.2662566809449345e-05,3.266211206209846e-05,3.266166095272638e-05,3.266119892941788e-05,3.2660751458024606e-05
encoder.layers.0.back_edge.bias,7.716671461821534e-06,7.716649633948691e-06,7.716626896581147e-06,7.716605068708304e-06,7.716583240835462e-06,7.716559593973216e-06,7.716538675595075e-06,7.71651593822753e-06,7.71649501984939e-06,7.716473191976547e-06,7.716449545114301e-06,7.71642862673616e-06,7.716405889368616e-06,7.716383152001072e-06,7.71636132412823e-06,7.716339496255387e-06,7.716317668382544e-06,7.716294931015e-06,7.716273103142157e-06,7.716250365774613e-06
