epoch,mmd_loss,dataset_gen_time,epoch_runtime
0,13.551748275756836,26.32958197593689,111.35972690582275
1,18.126445770263672,26.399540901184082,110.42541480064392
2,23.545730590820312,26.289550065994263,110.95690059661865
3,36.948062896728516,26.30871295928955,110.28376126289368
4,35.96917724609375,26.628135681152344,110.27352333068848
5,35.07337951660156,26.45518159866333,110.34823155403137
6,39.76419448852539,26.500442504882812,109.90731525421143
7,40.84782028198242,26.408003330230713,109.97936344146729
8,34.64881896972656,26.66311740875244,110.09115147590637
9,37.72941589355469,26.672128200531006,110.0019052028656
10,37.908973693847656,26.505327701568604,109.62958717346191
